4, INSAT-3DR Imager  Water Vapor (6.5-7.1mu)
Number of data points:
81
Wavenumber (cm-1)   Filter response
     1373.626400       0.000000
     1375.515800       0.005000
     1377.410500       0.010000
     1379.310300       0.021300
     1381.215500       0.029600
     1383.125900       0.041200
     1385.041600       0.044200
     1386.962600       0.063000
     1388.888900       0.078500
     1390.820600       0.135400
     1392.757700       0.214500
     1394.700100       0.263100
     1396.648000       0.368700
     1398.601400       0.483400
     1400.560200       0.529400
     1402.524500       0.597200
     1404.494400       0.629100
     1406.469800       0.626500
     1408.450700       0.625200
     1410.437200       0.620300
     1412.429400       0.674100
     1414.427200       0.692900
     1416.430600       0.788800
     1418.439700       0.800300
     1420.454500       0.847400
     1422.475100       0.921100
     1424.501400       0.868700
     1426.533500       0.788000
     1428.571400       0.847600
     1430.615200       0.880600
     1432.664800       0.963900
     1434.720200       0.963200
     1436.781600       0.932600
     1438.848900       0.960800
     1440.922200       0.926800
     1443.001400       0.946200
     1445.086700       0.797800
     1447.178000       0.911100
     1449.275400       0.860100
     1451.378800       0.812100
     1453.488400       0.869700
     1455.604100       0.843800
     1457.725900       0.829300
     1459.854000       0.864300
     1461.988300       0.893900
     1464.128800       0.803600
     1466.275700       0.795100
     1468.428800       1.000000
     1470.588200       0.897100
     1472.754100       0.950300
     1474.926300       0.926100
     1477.104900       0.944000
     1479.289900       0.832900
     1481.481500       0.887600
     1483.679500       0.822400
     1485.884100       0.736800
     1488.095200       0.650300
     1490.313000       0.730300
     1492.537300       0.764700
     1494.768300       0.488900
     1497.006000       0.530300
     1499.250400       0.651500
     1501.501500       0.640900
     1503.759400       0.610800
     1506.024100       0.502200
     1508.295600       0.511000
     1510.574000       0.529400
     1512.859300       0.529100
     1515.151500       0.437500
     1517.450700       0.362300
     1519.756800       0.332400
     1522.070000       0.248600
     1524.390200       0.210500
     1526.717600       0.163800
     1529.052000       0.129300
     1531.393600       0.104400
     1533.742300       0.116100
     1536.098300       0.028900
     1538.461500       0.020600
     1540.832000       0.008900
     1543.209900       0.000000
