6, INSAT-3DR Imager  Long Wave Infared Window (TIR-2) (11.5-12.5mu)
Number of data points:
68
Wavenumber (cm-1)   Filter response
      787.401600       0.000000
      788.643500       0.020000
      789.889400       0.037700
      791.139200       0.063800
      792.393000       0.088900
      793.650800       0.123000
      794.912600       0.185400
      796.178300       0.243800
      797.448200       0.309000
      798.722000       0.307500
      800.000000       0.432400
      801.282100       0.423100
      802.568200       0.498100
      803.858500       0.612000
      805.153000       0.673900
      806.451600       0.664300
      807.754400       0.706200
      809.061500       0.751300
      810.372800       0.808400
      811.688300       0.815800
      813.008100       0.827400
      814.332200       0.832200
      815.660700       0.846700
      816.993500       0.844600
      818.330600       0.856100
      819.672100       0.865800
      821.018100       0.867600
      822.368400       0.869300
      823.723200       0.862700
      825.082500       0.845400
      826.446300       0.854600
      827.814600       0.847800
      829.187400       0.845000
      830.564800       0.846700
      831.946800       0.940100
      833.333300       0.982100
      834.724500       0.988500
      836.120400       0.987300
      837.520900       0.995200
      838.926200       0.989200
      840.336100       0.991200
      841.750800       0.996800
      843.170300       0.983800
      844.594600       0.980500
      846.023700       0.960900
      847.457600       0.946400
      848.896400       0.935800
      850.340100       0.918200
      851.788800       0.923600
      853.242300       0.927400
      854.700900       0.940900
      856.164400       0.949800
      857.632900       0.969300
      859.106500       1.000000
      860.585200       0.989000
      862.069000       0.961500
      863.557900       0.867800
      865.051900       0.785100
      866.551100       0.648000
      868.055600       0.530000
      869.565200       0.400000
      871.080100       0.284200
      872.600300       0.177100
      874.125900       0.117300
      875.656700       0.110100
      877.193000       0.041200
      878.734600       0.020000
      880.281700       0.000000
