7, INSAT-3DR Sounder  LWIR-7
Number of data points:
82
Wavenumber (cm-1)   Filter response
      790.826400       0.000000
      791.765600       0.010000
      792.707100       0.020000
      793.650800       0.040000
      794.596700       0.051100
      795.544900       0.066800
      796.495400       0.078700
      797.448200       0.090700
      798.403200       0.092500
      799.360500       0.119700
      800.320100       0.122800
      801.282100       0.171800
      802.246300       0.184800
      803.212900       0.229400
      804.181700       0.265000
      805.153000       0.313500
      806.126600       0.385500
      807.102500       0.449900
      808.080800       0.522700
      809.061500       0.586800
      810.044600       0.683600
      811.030000       0.734500
      812.017900       0.817200
      813.008100       0.856700
      814.000800       0.902000
      814.995900       0.942000
      815.993500       0.952300
      816.993500       0.951200
      817.995900       0.964600
      819.000800       0.941600
      820.008200       0.950000
      821.018100       0.927400
      822.030400       0.927600
      823.045300       0.913300
      824.062600       0.908800
      825.082500       0.917500
      826.104900       0.911600
      827.129900       0.905500
      828.157300       0.919100
      829.187400       0.921600
      830.220000       0.941800
      831.255200       0.931100
      832.293000       0.957300
      833.333300       0.957300
      834.376300       0.980800
      835.421900       0.987200
      836.470100       0.985700
      837.520900       1.000000
      838.574400       0.983500
      839.630600       0.994600
      840.689400       0.995500
      841.750800       0.977400
      842.815000       0.971700
      843.881900       0.972400
      844.951400       0.983700
      846.023700       0.985100
      847.098700       0.973700
      848.176400       0.988300
      849.256900       0.980000
      850.340100       0.971700
      851.426100       0.933300
      852.514900       0.868700
      853.606500       0.811600
      854.700900       0.711700
      855.798000       0.619700
      856.898000       0.525100
      858.000900       0.446400
      859.106500       0.360100
      860.215100       0.307800
      861.326400       0.242800
      862.440700       0.212400
      863.557900       0.179100
      864.677900       0.145100
      865.800900       0.115900
      866.926700       0.093000
      868.055600       0.068500
      869.187300       0.051300
      870.322000       0.040000
      871.459700       0.030000
      872.600300       0.020000
      873.744000       0.010000
      874.890600       0.000000
