8, INSAT-3DR Sounder  MWIR-1
Number of data points:
71
Wavenumber (cm-1)   Filter response
      865.800900       0.000000
      866.926700       0.010000
      868.055600       0.020000
      869.187300       0.032000
      870.322000       0.048200
      871.459700       0.055700
      872.600300       0.064600
      873.744000       0.082900
      874.890600       0.097500
      876.040300       0.125600
      877.193000       0.148500
      878.348700       0.186700
      879.507500       0.228100
      880.669300       0.277200
      881.834200       0.334200
      883.002200       0.387700
      884.173300       0.474900
      885.347500       0.526100
      886.524800       0.596500
      887.705300       0.640100
      888.888900       0.715400
      890.075700       0.743000
      891.265600       0.791900
      892.458700       0.819600
      893.655000       0.838900
      894.854600       0.867600
      896.057300       0.869200
      897.263300       0.882900
      898.472600       0.894500
      899.685100       0.902900
      900.900900       0.917800
      902.120000       0.924200
      903.342400       0.915800
      904.568100       0.935800
      905.797100       0.938100
      907.029500       0.928400
      908.265200       0.923800
      909.504300       0.944300
      910.746800       0.946100
      911.992700       0.947900
      913.242000       0.955300
      914.494700       0.967400
      915.750900       0.975600
      917.010500       0.983000
      918.273600       0.989700
      919.540200       1.000000
      920.810300       0.998500
      922.083900       0.994200
      923.361000       0.966800
      924.641700       0.944200
      925.925900       0.884800
      927.213700       0.818600
      928.505100       0.729300
      929.800100       0.649600
      931.098700       0.555600
      932.400900       0.457800
      933.706800       0.383100
      935.016400       0.315400
      936.329600       0.251600
      937.646500       0.200900
      938.967100       0.169800
      940.291500       0.133200
      941.619600       0.109900
      942.951400       0.092300
      944.287100       0.077400
      945.626500       0.067000
      946.969700       0.046000
      948.316700       0.030000
      949.667600       0.020000
      951.022300       0.010000
      952.381000       0.000000
