18, INSAT-3DR Sounder  SWIR-6
Number of data points:
74
Wavenumber (cm-1)   Filter response
     2553.626100       0.000000
     2556.237200       0.008000
     2558.853600       0.015000
     2561.475400       0.025000
     2564.102600       0.035000
     2566.735100       0.045000
     2569.373100       0.054000
     2572.016500       0.062100
     2574.665300       0.072200
     2577.319600       0.082500
     2579.979400       0.098400
     2582.644600       0.116300
     2585.315400       0.136100
     2587.991700       0.165400
     2590.673600       0.195900
     2593.361000       0.234700
     2596.054000       0.281900
     2598.752600       0.331400
     2601.456800       0.390800
     2604.166700       0.454200
     2606.882200       0.515100
     2609.603300       0.585300
     2612.330200       0.645600
     2615.062800       0.708000
     2617.801000       0.770300
     2620.545100       0.821200
     2623.294900       0.872600
     2626.050400       0.904500
     2628.811800       0.935600
     2631.578900       0.961700
     2634.351900       0.984000
     2637.130800       0.991500
     2639.915500       0.991100
     2642.706100       1.000000
     2645.502600       0.997400
     2648.305100       0.977400
     2651.113500       0.974300
     2653.927800       0.965800
     2656.748100       0.952200
     2659.574500       0.948100
     2662.406800       0.939900
     2665.245200       0.934200
     2668.089600       0.931900
     2670.940200       0.922800
     2673.796800       0.931000
     2676.659500       0.933500
     2679.528400       0.944500
     2682.403400       0.953800
     2685.284600       0.946800
     2688.172000       0.930500
     2691.065700       0.912800
     2693.965500       0.880900
     2696.871600       0.834800
     2699.784000       0.812000
     2702.702700       0.780400
     2705.627700       0.759000
     2708.559000       0.705900
     2711.496700       0.578300
     2714.440800       0.466700
     2717.391300       0.368600
     2720.348200       0.295000
     2723.311500       0.232600
     2726.281400       0.186700
     2729.257600       0.150500
     2732.240400       0.125100
     2735.229800       0.105400
     2738.225600       0.090100
     2741.228100       0.077600
     2744.237100       0.071700
     2747.252700       0.050000
     2750.275000       0.030000
     2753.304000       0.015000
     2756.339600       0.008000
     2759.381900       0.000000
