3, INSAT-3DS-Imager-SRF-Ch3.txt  channel 3 SRF
Number of data points:
69
Wavenumber (cm-1)   Filter response
     2469.135800       0.000000
     2472.187900       0.005455
     2475.247500       0.008810
     2478.314700       0.016031
     2481.389600       0.025864
     2484.472000       0.044776
     2487.562200       0.067895
     2490.660000       0.104560
     2493.765600       0.181018
     2496.878900       0.297701
     2500.000000       0.447789
     2503.128900       0.623266
     2506.265700       0.756939
     2509.410300       0.846993
     2512.562800       0.904583
     2515.723300       0.933283
     2518.891700       0.930181
     2522.068100       0.920498
     2525.252500       0.955017
     2528.445000       0.936610
     2531.645600       0.962342
     2534.854200       0.958071
     2538.071100       0.982434
     2541.296100       0.998641
     2544.529300       1.000000
     2547.770700       0.986663
     2551.020400       0.995332
     2554.278400       0.991676
     2557.544800       0.998284
     2560.819500       0.989008
     2564.102600       0.987545
     2567.394100       0.969349
     2570.694100       0.951838
     2574.002600       0.949731
     2577.319600       0.939983
     2580.645200       0.923740
     2583.979300       0.914746
     2587.322100       0.925763
     2590.673600       0.894875
     2594.033700       0.869785
     2597.402600       0.860860
     2600.780200       0.839993
     2604.166700       0.815071
     2607.561900       0.808246
     2610.966100       0.779160
     2614.379100       0.782091
     2617.801000       0.755861
     2621.232000       0.746577
     2624.671900       0.716864
     2628.120900       0.691803
     2631.578900       0.604543
     2635.046100       0.437529
     2638.522400       0.262233
     2642.007900       0.142201
     2645.502600       0.069896
     2649.006600       0.034844
     2652.519900       0.019138
     2656.042500       0.011584
     2659.574500       0.005834
     2663.115800       0.003998
     2666.666700       0.001336
     2670.227000       0.003872
     2673.796800       0.001272
     2677.376200       0.001178
     2680.965100       0.001084
     2684.563800       0.000088
     2688.172000       0.001767
     2691.790000       0.000963
     2695.417800       0.000000
