7 , GT_F1_SC_RSR_Release1.0_Best_M5_V2.71_ib_oob.txt
Number of data points:
2001
Wavenumber (cm-1)   Filter response
    14000.000000       0.001312
    14001.000000       0.001313
    14002.000000       0.001314
    14003.000000       0.001315
    14004.000000       0.001316
    14005.000000       0.001317
    14006.000000       0.001318
    14007.000000       0.001320
    14008.000000       0.001322
    14009.000000       0.001324
    14010.000000       0.001326
    14011.000000       0.001329
    14012.000000       0.001331
    14013.000000       0.001333
    14014.000000       0.001335
    14015.000000       0.001337
    14016.000000       0.001339
    14017.000000       0.001341
    14018.000000       0.001344
    14019.000000       0.001346
    14020.000000       0.001348
    14021.000000       0.001350
    14022.000000       0.001352
    14023.000000       0.001354
    14024.000000       0.001356
    14025.000000       0.001359
    14026.000000       0.001361
    14027.000000       0.001363
    14028.000000       0.001364
    14029.000000       0.001365
    14030.000000       0.001367
    14031.000000       0.001368
    14032.000000       0.001370
    14033.000000       0.001371
    14034.000000       0.001372
    14035.000000       0.001374
    14036.000000       0.001375
    14037.000000       0.001376
    14038.000000       0.001378
    14039.000000       0.001379
    14040.000000       0.001381
    14041.000000       0.001382
    14042.000000       0.001383
    14043.000000       0.001385
    14044.000000       0.001386
    14045.000000       0.001387
    14046.000000       0.001389
    14047.000000       0.001390
    14048.000000       0.001392
    14049.000000       0.001393
    14050.000000       0.001394
    14051.000000       0.001396
    14052.000000       0.001397
    14053.000000       0.001399
    14054.000000       0.001400
    14055.000000       0.001401
    14056.000000       0.001403
    14057.000000       0.001404
    14058.000000       0.001405
    14059.000000       0.001407
    14060.000000       0.001408
    14061.000000       0.001410
    14062.000000       0.001411
    14063.000000       0.001412
    14064.000000       0.001414
    14065.000000       0.001414
    14066.000000       0.001415
    14067.000000       0.001415
    14068.000000       0.001416
    14069.000000       0.001417
    14070.000000       0.001417
    14071.000000       0.001418
    14072.000000       0.001419
    14073.000000       0.001419
    14074.000000       0.001420
    14075.000000       0.001420
    14076.000000       0.001421
    14077.000000       0.001422
    14078.000000       0.001422
    14079.000000       0.001423
    14080.000000       0.001423
    14081.000000       0.001424
    14082.000000       0.001425
    14083.000000       0.001426
    14084.000000       0.001432
    14085.000000       0.001437
    14086.000000       0.001442
    14087.000000       0.001448
    14088.000000       0.001453
    14089.000000       0.001459
    14090.000000       0.001464
    14091.000000       0.001470
    14092.000000       0.001475
    14093.000000       0.001481
    14094.000000       0.001486
    14095.000000       0.001491
    14096.000000       0.001497
    14097.000000       0.001502
    14098.000000       0.001508
    14099.000000       0.001513
    14100.000000       0.001519
    14101.000000       0.001524
    14102.000000       0.001529
    14103.000000       0.001535
    14104.000000       0.001540
    14105.000000       0.001546
    14106.000000       0.001549
    14107.000000       0.001552
    14108.000000       0.001555
    14109.000000       0.001557
    14110.000000       0.001560
    14111.000000       0.001563
    14112.000000       0.001566
    14113.000000       0.001569
    14114.000000       0.001572
    14115.000000       0.001575
    14116.000000       0.001578
    14117.000000       0.001580
    14118.000000       0.001583
    14119.000000       0.001586
    14120.000000       0.001589
    14121.000000       0.001592
    14122.000000       0.001595
    14123.000000       0.001598
    14124.000000       0.001600
    14125.000000       0.001606
    14126.000000       0.001611
    14127.000000       0.001617
    14128.000000       0.001623
    14129.000000       0.001629
    14130.000000       0.001634
    14131.000000       0.001640
    14132.000000       0.001646
    14133.000000       0.001652
    14134.000000       0.001658
    14135.000000       0.001663
    14136.000000       0.001669
    14137.000000       0.001675
    14138.000000       0.001681
    14139.000000       0.001687
    14140.000000       0.001692
    14141.000000       0.001698
    14142.000000       0.001704
    14143.000000       0.001710
    14144.000000       0.001715
    14145.000000       0.001721
    14146.000000       0.001727
    14147.000000       0.001733
    14148.000000       0.001738
    14149.000000       0.001744
    14150.000000       0.001750
    14151.000000       0.001756
    14152.000000       0.001761
    14153.000000       0.001767
    14154.000000       0.001773
    14155.000000       0.001778
    14156.000000       0.001784
    14157.000000       0.001790
    14158.000000       0.001796
    14159.000000       0.001801
    14160.000000       0.001807
    14161.000000       0.001813
    14162.000000       0.001822
    14163.000000       0.001832
    14164.000000       0.001842
    14165.000000       0.001852
    14166.000000       0.001862
    14167.000000       0.001872
    14168.000000       0.001882
    14169.000000       0.001892
    14170.000000       0.001903
    14171.000000       0.001913
    14172.000000       0.001923
    14173.000000       0.001933
    14174.000000       0.001943
    14175.000000       0.001953
    14176.000000       0.001963
    14177.000000       0.001973
    14178.000000       0.001983
    14179.000000       0.001994
    14180.000000       0.002004
    14181.000000       0.002014
    14182.000000       0.002024
    14183.000000       0.002034
    14184.000000       0.002043
    14185.000000       0.002050
    14186.000000       0.002058
    14187.000000       0.002066
    14188.000000       0.002074
    14189.000000       0.002081
    14190.000000       0.002089
    14191.000000       0.002097
    14192.000000       0.002105
    14193.000000       0.002112
    14194.000000       0.002120
    14195.000000       0.002128
    14196.000000       0.002136
    14197.000000       0.002143
    14198.000000       0.002151
    14199.000000       0.002159
    14200.000000       0.002167
    14201.000000       0.002174
    14202.000000       0.002182
    14203.000000       0.002190
    14204.000000       0.002200
    14205.000000       0.002210
    14206.000000       0.002220
    14207.000000       0.002229
    14208.000000       0.002239
    14209.000000       0.002249
    14210.000000       0.002259
    14211.000000       0.002268
    14212.000000       0.002278
    14213.000000       0.002288
    14214.000000       0.002297
    14215.000000       0.002307
    14216.000000       0.002317
    14217.000000       0.002327
    14218.000000       0.002336
    14219.000000       0.002346
    14220.000000       0.002356
    14221.000000       0.002366
    14222.000000       0.002378
    14223.000000       0.002391
    14224.000000       0.002403
    14225.000000       0.002416
    14226.000000       0.002428
    14227.000000       0.002441
    14228.000000       0.002453
    14229.000000       0.002466
    14230.000000       0.002478
