10 , GT_F1_DNB_RSR_Release1.0_Best_DNB_v3_ib_oob.txt
Number of data points:
10001
Wavenumber (cm-1)   Filter response
    11000.000000       0.005976
    11001.000000       0.006139
    11002.000000       0.006302
    11003.000000       0.006465
    11004.000000       0.006629
    11005.000000       0.006792
    11006.000000       0.006955
    11007.000000       0.007118
    11008.000000       0.007282
    11009.000000       0.007445
    11010.000000       0.007608
    11011.000000       0.007771
    11012.000000       0.007935
    11013.000000       0.008098
    11014.000000       0.008261
    11015.000000       0.008424
    11016.000000       0.008588
    11017.000000       0.008751
    11018.000000       0.008914
    11019.000000       0.009077
    11020.000000       0.009241
    11021.000000       0.009404
    11022.000000       0.009567
    11023.000000       0.009730
    11024.000000       0.009894
    11025.000000       0.010057
    11026.000000       0.010220
    11027.000000       0.010383
    11028.000000       0.010547
    11029.000000       0.010710
    11030.000000       0.010873
    11031.000000       0.011036
    11032.000000       0.011199
    11033.000000       0.011363
    11034.000000       0.011526
    11035.000000       0.011689
    11036.000000       0.011852
    11037.000000       0.012016
    11038.000000       0.012179
    11039.000000       0.012342
    11040.000000       0.012505
    11041.000000       0.012669
    11042.000000       0.012832
    11043.000000       0.012995
    11044.000000       0.013158
    11045.000000       0.013322
    11046.000000       0.013485
    11047.000000       0.013648
    11048.000000       0.013811
    11049.000000       0.013975
    11050.000000       0.014138
    11051.000000       0.014301
    11052.000000       0.014464
    11053.000000       0.014628
    11054.000000       0.014791
    11055.000000       0.014954
    11056.000000       0.015117
    11057.000000       0.015281
    11058.000000       0.015444
    11059.000000       0.015607
    11060.000000       0.015770
    11061.000000       0.015933
    11062.000000       0.016097
    11063.000000       0.016260
    11064.000000       0.016423
    11065.000000       0.016586
    11066.000000       0.016750
    11067.000000       0.016913
    11068.000000       0.017076
    11069.000000       0.017239
    11070.000000       0.017403
    11071.000000       0.017566
    11072.000000       0.017729
    11073.000000       0.017892
    11074.000000       0.018056
    11075.000000       0.018219
    11076.000000       0.018382
    11077.000000       0.018545
    11078.000000       0.018709
    11079.000000       0.018872
    11080.000000       0.019035
    11081.000000       0.019198
    11082.000000       0.019362
    11083.000000       0.019525
    11084.000000       0.019688
    11085.000000       0.019851
    11086.000000       0.020015
    11087.000000       0.020178
    11088.000000       0.020341
    11089.000000       0.020504
    11090.000000       0.020668
    11091.000000       0.020831
    11092.000000       0.020994
    11093.000000       0.021157
    11094.000000       0.021320
    11095.000000       0.021484
    11096.000000       0.021647
    11097.000000       0.021810
    11098.000000       0.021973
    11099.000000       0.022137
    11100.000000       0.022300
    11101.000000       0.022463
    11102.000000       0.022626
    11103.000000       0.022790
    11104.000000       0.022953
    11105.000000       0.023116
    11106.000000       0.023279
    11107.000000       0.023443
    11108.000000       0.023606
    11109.000000       0.023769
    11110.000000       0.023932
    11111.000000       0.024096
    11112.000000       0.024259
    11113.000000       0.024422
    11114.000000       0.024585
    11115.000000       0.024749
    11116.000000       0.024912
    11117.000000       0.025075
    11118.000000       0.025238
    11119.000000       0.025402
    11120.000000       0.025565
    11121.000000       0.025728
    11122.000000       0.025891
    11123.000000       0.026055
    11124.000000       0.026218
    11125.000000       0.026381
    11126.000000       0.026544
    11127.000000       0.026707
    11128.000000       0.026871
    11129.000000       0.027034
    11130.000000       0.027197
    11131.000000       0.027360
    11132.000000       0.027524
    11133.000000       0.027687
    11134.000000       0.027850
    11135.000000       0.028013
    11136.000000       0.028177
    11137.000000       0.028340
    11138.000000       0.028503
    11139.000000       0.028666
    11140.000000       0.028830
    11141.000000       0.028993
    11142.000000       0.029156
    11143.000000       0.029319
    11144.000000       0.029483
    11145.000000       0.029646
    11146.000000       0.029809
    11147.000000       0.029972
    11148.000000       0.030136
    11149.000000       0.032784
    11150.000000       0.036063
    11151.000000       0.039342
    11152.000000       0.042621
    11153.000000       0.045900
    11154.000000       0.049179
    11155.000000       0.052458
    11156.000000       0.055737
    11157.000000       0.059016
    11158.000000       0.062295
    11159.000000       0.065574
    11160.000000       0.068853
    11161.000000       0.072132
    11162.000000       0.075411
    11163.000000       0.078690
    11164.000000       0.081969
    11165.000000       0.085247
    11166.000000       0.088526
    11167.000000       0.091805
    11168.000000       0.095084
    11169.000000       0.098363
    11170.000000       0.101642
    11171.000000       0.104921
    11172.000000       0.108200
    11173.000000       0.111479
    11174.000000       0.114758
    11175.000000       0.118037
    11176.000000       0.121316
    11177.000000       0.124595
    11178.000000       0.127874
    11179.000000       0.131153
    11180.000000       0.134432
    11181.000000       0.137711
    11182.000000       0.140989
    11183.000000       0.144268
    11184.000000       0.147547
    11185.000000       0.150826
    11186.000000       0.154105
    11187.000000       0.157384
    11188.000000       0.160663
    11189.000000       0.163942
    11190.000000       0.167221
    11191.000000       0.170500
    11192.000000       0.173779
    11193.000000       0.177058
    11194.000000       0.180337
    11195.000000       0.183616
    11196.000000       0.186895
    11197.000000       0.190174
    11198.000000       0.193452
    11199.000000       0.196732
    11200.000000       0.200010
    11201.000000       0.203289
    11202.000000       0.206568
    11203.000000       0.209847
    11204.000000       0.213126
    11205.000000       0.216405
    11206.000000       0.219684
    11207.000000       0.222963
    11208.000000       0.226242
    11209.000000       0.229521
    11210.000000       0.232800
    11211.000000       0.236079
    11212.000000       0.239358
    11213.000000       0.242637
    11214.000000       0.245916
    11215.000000       0.249195
    11216.000000       0.252474
    11217.000000       0.255752
    11218.000000       0.259031
    11219.000000       0.262310
    11220.000000       0.265589
    11221.000000       0.268868
    11222.000000       0.272147
    11223.000000       0.275426
    11224.000000       0.278705
    11225.000000       0.281984
    11226.000000       0.285263
    11227.000000       0.288542
    11228.000000       0.291821
    11229.000000       0.295100
    11230.000000       0.298379
    11231.000000       0.301658
    11232.000000       0.304936
    11233.000000       0.308215
    11234.000000       0.311494
    11235.000000       0.314773
    11236.000000       0.318052
    11237.000000       0.321331
    11238.000000       0.324610
    11239.000000       0.327889
    11240.000000       0.331168
    11241.000000       0.334447
    11242.000000       0.337726
    11243.000000       0.341005
    11244.000000       0.344284
    11245.000000       0.347563
    11246.000000       0.350842
    11247.000000       0.354121
    11248.000000       0.357399
    11249.000000       0.360679
    11250.000000       0.363957
    11251.000000       0.367236
    11252.000000       0.370515
    11253.000000       0.373794
    11254.000000       0.377073
    11255.000000       0.380352
    11256.000000       0.383631
    11257.000000       0.386910
    11258.000000       0.390189
    11259.000000       0.393468
    11260.000000       0.396747
    11261.000000       0.400026
    11262.000000       0.403305
    11263.000000       0.406584
    11264.000000       0.409863
    11265.000000       0.413141
    11266.000000       0.416421
    11267.000000       0.419699
    11268.000000       0.422978
    11269.000000       0.426257
    11270.000000       0.429536
    11271.000000       0.432815
    11272.000000       0.436094
    11273.000000       0.439373
    11274.000000       0.442652
    11275.000000       0.445931
    11276.000000       0.449210
    11277.000000       0.452489
    11278.000000       0.455768
    11279.000000       0.459047
    11280.000000       0.462326
    11281.000000       0.465605
    11282.000000       0.468884
    11283.000000       0.472162
    11284.000000       0.475441
    11285.000000       0.478720
    11286.000000       0.481999
    11287.000000       0.485278
    11288.000000       0.488557
    11289.000000       0.491836
    11290.000000       0.495115
    11291.000000       0.498394
    11292.000000       0.501673
    11293.000000       0.504952
    11294.000000       0.508231
    11295.000000       0.511510
    11296.000000       0.514789
    11297.000000       0.518068
    11298.000000       0.521347
    11299.000000       0.524625
    11300.000000       0.527904
    11301.000000       0.531183
    11302.000000       0.534462
    11303.000000       0.537741
    11304.000000       0.541020
    11305.000000       0.544299
    11306.000000       0.547578
    11307.000000       0.550857
    11308.000000       0.554136
    11309.000000       0.557415
    11310.000000       0.560694
    11311.000000       0.563973
    11312.000000       0.567252
    11313.000000       0.570531
    11314.000000       0.573810
    11315.000000       0.577089
    11316.000000       0.580368
    11317.000000       0.583646
    11318.000000       0.586925
    11319.000000       0.590204
    11320.000000       0.593483
    11321.000000       0.596762
    11322.000000       0.600041
    11323.000000       0.603320
    11324.000000       0.606599
    11325.000000       0.609878
    11326.000000       0.613157
    11327.000000       0.616436
    11328.000000       0.619715
    11329.000000       0.622994
    11330.000000       0.626273
    11331.000000       0.629552
    11332.000000       0.632830
    11333.000000       0.636109
    11334.000000       0.639388
    11335.000000       0.642667
    11336.000000       0.645946
    11337.000000       0.649225
    11338.000000       0.652216
    11339.000000       0.652772
    11340.000000       0.653327
    11341.000000       0.653883
    11342.000000       0.654438
    11343.000000       0.654993
    11344.000000       0.655549
    11345.000000       0.656104
    11346.000000       0.656659
    11347.000000       0.657215
    11348.000000       0.657770
    11349.000000       0.658326
    11350.000000       0.658881
    11351.000000       0.659436
    11352.000000       0.659992
    11353.000000       0.660547
    11354.000000       0.661103
    11355.000000       0.661658
    11356.000000       0.662213
    11357.000000       0.662769
    11358.000000       0.663324
    11359.000000       0.663879
    11360.000000       0.664435
    11361.000000       0.664990
