19 , GT_F1_CFPA_RSR_Release1.0_Best_M14_v3_ib_oob.txt
Number of data points:
601
Wavenumber (cm-1)   Filter response
     1100.000000       0.000131
     1100.250000       0.000135
     1100.500000       0.000139
     1100.750000       0.000143
     1101.000000       0.000147
     1101.250000       0.000151
     1101.500000       0.000155
     1101.750000       0.000159
     1102.000000       0.000163
     1102.250000       0.000167
     1102.500000       0.000171
     1102.750000       0.000175
     1103.000000       0.000179
     1103.250000       0.000183
     1103.500000       0.000187
     1103.750000       0.000191
     1104.000000       0.000195
     1104.250000       0.000199
     1104.500000       0.000206
     1104.750000       0.000216
     1105.000000       0.000226
     1105.250000       0.000235
     1105.500000       0.000245
     1105.750000       0.000255
     1106.000000       0.000265
     1106.250000       0.000274
     1106.500000       0.000285
     1106.750000       0.000296
     1107.000000       0.000307
     1107.250000       0.000318
     1107.500000       0.000329
     1107.750000       0.000340
     1108.000000       0.000351
     1108.250000       0.000362
     1108.500000       0.000373
     1108.750000       0.000385
     1109.000000       0.000396
     1109.250000       0.000407
     1109.500000       0.000418
     1109.750000       0.000429
     1110.000000       0.000440
     1110.250000       0.000451
     1110.500000       0.000462
     1110.750000       0.000473
     1111.000000       0.000485
     1111.250000       0.000496
     1111.500000       0.000507
     1111.750000       0.000528
     1112.000000       0.000601
     1112.250000       0.000673
     1112.500000       0.000745
     1112.750000       0.000817
     1113.000000       0.000889
     1113.250000       0.000962
     1113.500000       0.001034
     1113.750000       0.001106
     1114.000000       0.001178
     1114.250000       0.001250
     1114.500000       0.001322
     1114.750000       0.001395
     1115.000000       0.001467
     1115.250000       0.001539
     1115.500000       0.001611
     1115.750000       0.001683
     1116.000000       0.001755
     1116.250000       0.001828
     1116.500000       0.001900
     1116.750000       0.001972
     1117.000000       0.002044
     1117.250000       0.002116
     1117.500000       0.002189
     1117.750000       0.002261
     1118.000000       0.002333
     1118.250000       0.002405
     1118.500000       0.002477
     1118.750000       0.002549
     1119.000000       0.002622
     1119.250000       0.002690
     1119.500000       0.002745
     1119.750000       0.002800
     1120.000000       0.002855
     1120.250000       0.002910
     1120.500000       0.002965
     1120.750000       0.003020
     1121.000000       0.003075
     1121.250000       0.003130
     1121.500000       0.003185
     1121.750000       0.003268
     1122.000000       0.003486
     1122.250000       0.003705
     1122.500000       0.003923
     1122.750000       0.004142
     1123.000000       0.004360
     1123.250000       0.004579
     1123.500000       0.004797
     1123.750000       0.005016
     1124.000000       0.005234
     1124.250000       0.005457
     1124.500000       0.005901
     1124.750000       0.006344
     1125.000000       0.006788
     1125.250000       0.007231
     1125.500000       0.007674
     1125.750000       0.008118
     1126.000000       0.008561
     1126.250000       0.009005
     1126.500000       0.009448
     1126.750000       0.009892
     1127.000000       0.010705
     1127.250000       0.011534
     1127.500000       0.012363
     1127.750000       0.013192
     1128.000000       0.014021
     1128.250000       0.014851
     1128.500000       0.015680
     1128.750000       0.016509
     1129.000000       0.017338
     1129.250000       0.018167
     1129.500000       0.019671
     1129.750000       0.021370
     1130.000000       0.023070
     1130.250000       0.024770
     1130.500000       0.026469
     1130.750000       0.028169
     1131.000000       0.029869
     1131.250000       0.031569
     1131.500000       0.033268
     1131.750000       0.034968
     1132.000000       0.037590
     1132.250000       0.040905
     1132.500000       0.044221
     1132.750000       0.047536
     1133.000000       0.050851
     1133.250000       0.054167
     1133.500000       0.057482
     1133.750000       0.060797
     1134.000000       0.064113
     1134.250000       0.067428
     1134.500000       0.071423
     1134.750000       0.077681
     1135.000000       0.083939
     1135.250000       0.090197
     1135.500000       0.096456
     1135.750000       0.102714
     1136.000000       0.108972
     1136.250000       0.115230
     1136.500000       0.121488
     1136.750000       0.127746
     1137.000000       0.134004
     1137.250000       0.144690
     1137.500000       0.155537
     1137.750000       0.166384
     1138.000000       0.177231
     1138.250000       0.188079
     1138.500000       0.198926
     1138.750000       0.209773
     1139.000000       0.220620
     1139.250000       0.231467
     1139.500000       0.242314
     1139.750000       0.256480
     1140.000000       0.273478
     1140.250000       0.290476
     1140.500000       0.307474
     1140.750000       0.324471
     1141.000000       0.341469
     1141.250000       0.358467
     1141.500000       0.375465
     1141.750000       0.392462
     1142.000000       0.409460
     1142.250000       0.426997
     1142.500000       0.447247
     1142.750000       0.467497
     1143.000000       0.487746
     1143.250000       0.507996
     1143.500000       0.528246
     1143.750000       0.548495
     1144.000000       0.568745
     1144.250000       0.588994
     1144.500000       0.609244
     1144.750000       0.629494
     1145.000000       0.648123
     1145.250000       0.666123
     1145.500000       0.684123
     1145.750000       0.702124
     1146.000000       0.720124
     1146.250000       0.738124
     1146.500000       0.756124
     1146.750000       0.774124
     1147.000000       0.792124
     1147.250000       0.810124
     1147.500000       0.826912
     1147.750000       0.838624
     1148.000000       0.850336
     1148.250000       0.862047
     1148.500000       0.873759
     1148.750000       0.885470
     1149.000000       0.897182
     1149.250000       0.908894
     1149.500000       0.920605
     1149.750000       0.932317
     1150.000000       0.944028
     1150.250000       0.950587
     1150.500000       0.954804
     1150.750000       0.959020
     1151.000000       0.963237
     1151.250000       0.967453
     1151.500000       0.971670
     1151.750000       0.975887
     1152.000000       0.980103
     1152.250000       0.984320
     1152.500000       0.988537
     1152.750000       0.992193
     1153.000000       0.990189
     1153.250000       0.988185
     1153.500000       0.986180
     1153.750000       0.984176
     1154.000000       0.982171
     1154.250000       0.980167
     1154.500000       0.978163
     1154.750000       0.976159
     1155.000000       0.974154
     1155.250000       0.972150
     1155.500000       0.968405
     1155.750000       0.962059
     1156.000000       0.955714
     1156.250000       0.949368
     1156.500000       0.943022
     1156.750000       0.936676
     1157.000000       0.930330
     1157.250000       0.923984
     1157.500000       0.917638
     1157.750000       0.911292
     1158.000000       0.904946
     1158.250000       0.898243
     1158.500000       0.891413
     1158.750000       0.884583
     1159.000000       0.877753
     1159.250000       0.870922
     1159.500000       0.864092
     1159.750000       0.857262
     1160.000000       0.850432
     1160.250000       0.843602
     1160.500000       0.836772
     1160.750000       0.829941
     1161.000000       0.824542
     1161.250000       0.819150
     1161.500000       0.813758
     1161.750000       0.808366
     1162.000000       0.802974
     1162.250000       0.797582
     1162.500000       0.792191
     1162.750000       0.786799
     1163.000000       0.781407
     1163.250000       0.776015
     1163.500000       0.770901
     1163.750000       0.769981
     1164.000000       0.769061
     1164.250000       0.768141
     1164.500000       0.767222
     1164.750000       0.766302
     1165.000000       0.765382
     1165.250000       0.764462
     1165.500000       0.763542
     1165.750000       0.762622
     1166.000000       0.761702
     1166.250000       0.762392
     1166.500000       0.766757
     1166.750000       0.771122
     1167.000000       0.775487
     1167.250000       0.779853
     1167.500000       0.784218
     1167.750000       0.788583
     1168.000000       0.792949
     1168.250000       0.797314
     1168.500000       0.801679
     1168.750000       0.806044
     1169.000000       0.811795
     1169.250000       0.819805
     1169.500000       0.827814
     1169.750000       0.835824
     1170.000000       0.843833
     1170.250000       0.851843
     1170.500000       0.859852
     1170.750000       0.867862
     1171.000000       0.875871
     1171.250000       0.883881
     1171.500000       0.891890
     1171.750000       0.899379
     1172.000000       0.906410
     1172.250000       0.913442
     1172.500000       0.920473
     1172.750000       0.927504
     1173.000000       0.934536
     1173.250000       0.941567
     1173.500000       0.948598
     1173.750000       0.955630
     1174.000000       0.962661
     1174.250000       0.969692
     1174.500000       0.974832
     1174.750000       0.977311
     1175.000000       0.979791
     1175.250000       0.982270
     1175.500000       0.984750
     1175.750000       0.987229
     1176.000000       0.989709
     1176.250000       0.992188
     1176.500000       0.994667
     1176.750000       0.997147
     1177.000000       0.999626
     1177.250000       1.000000
     1177.500000       0.997155
     1177.750000       0.994310
     1178.000000       0.991465
     1178.250000       0.988621
     1178.500000       0.985776
     1178.750000       0.982931
     1179.000000       0.980086
     1179.250000       0.977241
     1179.500000       0.974396
     1179.750000       0.971552
     1180.000000       0.968751
     1180.250000       0.966095
     1180.500000       0.963439
     1180.750000       0.960782
     1181.000000       0.958126
     1181.250000       0.955470
     1181.500000       0.952814
     1181.750000       0.950157
     1182.000000       0.947501
     1182.250000       0.944845
     1182.500000       0.942189
     1182.750000       0.939451
     1183.000000       0.935327
     1183.250000       0.931203
     1183.500000       0.927079
     1183.750000       0.922954
     1184.000000       0.918830
     1184.250000       0.914706
     1184.500000       0.910582
     1184.750000       0.906458
     1185.000000       0.902334
     1185.250000       0.898210
     1185.500000       0.894085
     1185.750000       0.874214
     1186.000000       0.851760
     1186.250000       0.829306
     1186.500000       0.806852
     1186.750000       0.784399
     1187.000000       0.761945
     1187.250000       0.739491
     1187.500000       0.717037
     1187.750000       0.694583
     1188.000000       0.672130
     1188.250000       0.649676
     1188.500000       0.622712
     1188.750000       0.591596
     1189.000000       0.560479
     1189.250000       0.529363
     1189.500000       0.498247
     1189.750000       0.467130
     1190.000000       0.436014
     1190.250000       0.404898
     1190.500000       0.373781
     1190.750000       0.342665
     1191.000000       0.311548
     1191.250000       0.284269
     1191.500000       0.267097
     1191.750000       0.249925
     1192.000000       0.232753
     1192.250000       0.215581
     1192.500000       0.198409
     1192.750000       0.181237
     1193.000000       0.164065
     1193.250000       0.146893
     1193.500000       0.129721
     1193.750000       0.112549
     1194.000000       0.095377
     1194.250000       0.088284
     1194.500000       0.082696
     1194.750000       0.077109
     1195.000000       0.071522
     1195.250000       0.065934
     1195.500000       0.060347
     1195.750000       0.054760
     1196.000000       0.049172
     1196.250000       0.043585
     1196.500000       0.037998
     1196.750000       0.032410
     1197.000000       0.028490
     1197.250000       0.026880
     1197.500000       0.025271
     1197.750000       0.023661
     1198.000000       0.022052
     1198.250000       0.020442
     1198.500000       0.018833
     1198.750000       0.017223
     1199.000000       0.015614
     1199.250000       0.014004
     1199.500000       0.012394
     1199.750000       0.010785
     1200.000000       0.010160
     1200.250000       0.009636
     1200.500000       0.009112
     1200.750000       0.008588
     1201.000000       0.008065
     1201.250000       0.007541
     1201.500000       0.007017
     1201.750000       0.006493
     1202.000000       0.005970
     1202.250000       0.005446
     1202.500000       0.004922
     1202.750000       0.004523
     1203.000000       0.004391
     1203.250000       0.004260
     1203.500000       0.004128
     1203.750000       0.003996
     1204.000000       0.003864
     1204.250000       0.003732
     1204.500000       0.003600
     1204.750000       0.003468
     1205.000000       0.003337
     1205.250000       0.003205
     1205.500000       0.003073
     1205.750000       0.002965
     1206.000000       0.002861
     1206.250000       0.002756
     1206.500000       0.002652
     1206.750000       0.002547
     1207.000000       0.002442
     1207.250000       0.002338
     1207.500000       0.002233
     1207.750000       0.002129
     1208.000000       0.002024
