22 , GT_F1_CFPA_RSR_Release1.0_Best_M16A_v3_ib_oob.txt
Number of data points:
801
Wavenumber (cm-1)   Filter response
      750.000000       0.000056
      750.250000       0.000057
      750.500000       0.000057
      750.750000       0.000058
      751.000000       0.000058
      751.250000       0.000059
      751.500000       0.000059
      751.750000       0.000060
      752.000000       0.000060
      752.250000       0.000061
      752.500000       0.000061
      752.750000       0.000062
      753.000000       0.000062
      753.250000       0.000063
      753.500000       0.000063
      753.750000       0.000064
      754.000000       0.000064
      754.250000       0.000065
      754.500000       0.000065
      754.750000       0.000066
      755.000000       0.000066
      755.250000       0.000067
      755.500000       0.000069
      755.750000       0.000078
      756.000000       0.000086
      756.250000       0.000095
      756.500000       0.000104
      756.750000       0.000113
      757.000000       0.000122
      757.250000       0.000130
      757.500000       0.000139
      757.750000       0.000148
      758.000000       0.000157
      758.250000       0.000166
      758.500000       0.000174
      758.750000       0.000183
      759.000000       0.000192
      759.250000       0.000201
      759.500000       0.000210
      759.750000       0.000218
      760.000000       0.000227
      760.250000       0.000236
      760.500000       0.000245
      760.750000       0.000254
      761.000000       0.000262
      761.250000       0.000271
      761.500000       0.000280
      761.750000       0.000289
      762.000000       0.000298
      762.250000       0.000306
      762.500000       0.000315
      762.750000       0.000324
      763.000000       0.000333
      763.250000       0.000343
      763.500000       0.000353
      763.750000       0.000363
      764.000000       0.000372
      764.250000       0.000382
      764.500000       0.000392
      764.750000       0.000402
      765.000000       0.000412
      765.250000       0.000422
      765.500000       0.000432
      765.750000       0.000442
      766.000000       0.000451
      766.250000       0.000461
      766.500000       0.000471
      766.750000       0.000481
      767.000000       0.000491
      767.250000       0.000501
      767.500000       0.000511
      767.750000       0.000521
      768.000000       0.000530
      768.250000       0.000540
      768.500000       0.000550
      768.750000       0.000560
      769.000000       0.000570
      769.250000       0.000580
      769.500000       0.000590
      769.750000       0.000600
      770.000000       0.000609
      770.250000       0.000619
      770.500000       0.000629
      770.750000       0.000656
      771.000000       0.000693
      771.250000       0.000730
