6, channel 6 SRFs extracted from spectral_b6.txt see http://calvalportal.ceos.org/cvp/web/guest/landsat-5-tm
Number of data points:
172
Wavenumber (cm-1)   Filter response
      775.193800       0.000300
      775.795200       0.000400
      776.397500       0.000400
      777.000800       0.000400
      777.605000       0.000400
      778.210100       0.000500
      778.816200       0.000500
      779.423200       0.000500
      780.031200       0.000500
      780.640100       0.000600
      781.250000       0.000600
      781.860800       0.000700
      782.472600       0.000800
      783.085400       0.000900
      783.699100       0.001000
      784.313700       0.001100
      784.929400       0.001200
      785.546000       0.001300
      786.163500       0.001400
      786.782100       0.001500
      787.401600       0.001600
      788.022100       0.001800
      788.643500       0.002000
      789.266000       0.002200
      789.889400       0.002400
      790.513800       0.002600
      791.139200       0.002800
      791.765600       0.003100
      792.393000       0.003300
      793.021400       0.003500
      793.650800       0.003800
      794.281200       0.005200
      794.912600       0.006700
      795.544900       0.008600
      796.178300       0.010500
      796.812700       0.012500
      797.448200       0.014500
      797.448200       0.014500
      798.084600       0.016500
      798.722000       0.018500
      799.360500       0.020600
      800.000000       0.022800
      800.640500       0.026500
      801.282100       0.030400
      801.924600       0.034400
      802.568200       0.038600
      803.212900       0.043000
      803.858500       0.047500
      804.505200       0.052200
      805.153000       0.057000
      805.801800       0.061700
      806.451600       0.066700
      807.102500       0.072100
      807.754400       0.077800
      808.407400       0.083600
      809.061500       0.089700
      809.716600       0.096000
      810.372800       0.101300
      811.030000       0.105900
      811.688300       0.110700
      812.347700       0.115600
      813.008100       0.120100
      813.669700       0.125600
      814.332200       0.131300
      814.995900       0.136800
      815.660700       0.140500
      816.326500       0.144200
      816.993500       0.147900
      817.661500       0.151700
      818.330600       0.155400
      819.000800       0.159100
      819.672100       0.162900
      820.344500       0.169000
      821.018100       0.174700
      821.692700       0.180300
      822.368400       0.185900
      823.045300       0.191500
      823.723200       0.197100
      824.402300       0.202600
      825.082500       0.208000
      825.763800       0.212600
      826.446300       0.217200
      827.129900       0.221000
      827.814600       0.224800
      828.500400       0.228700
      829.187400       0.232600
      829.875500       0.233500
      830.564800       0.240400
      831.255200       0.244400
      831.946800       0.248400
      832.639500       0.252400
      836.120400       0.287600
      838.926200       0.319000
      842.460000       0.365900
      846.023700       0.413300
      848.896400       0.453600
      852.514900       0.512400
      856.164400       0.571100
      859.845200       0.630600
      862.812800       0.679900
      866.551100       0.722300
      870.322000       0.768300
      874.125900       0.787500
      877.963100       0.797100
      881.834200       0.819700
      885.739600       0.841000
      888.888900       0.852400
      892.857100       0.872800
      896.861000       0.928300
      900.900900       0.980700
      904.977400       1.000000
      909.090900       0.998800
      913.242000       0.987600
      917.431200       0.971100
      921.659000       0.951200
      925.925900       0.920200
      930.232600       0.887500
      934.579400       0.864700
      939.849600       0.851600
      944.287100       0.842500
      948.766600       0.839800
      949.667600       0.830700
      950.570300       0.822800
      951.474800       0.804700
      952.381000       0.781200
      953.288800       0.758800
      954.198500       0.736500
      955.109800       0.709300
      956.022900       0.662900
      956.937800       0.616800
      957.854400       0.571300
      958.772800       0.526200
      959.692900       0.481500
      960.614800       0.443800
      961.538500       0.409500
      962.463900       0.375200
      963.391100       0.341700
      964.320200       0.308500
      965.251000       0.275500
      966.183600       0.242800
      967.118000       0.210300
      968.054200       0.178000
      969.932100       0.114100
      970.873800       0.104600
      971.817300       0.096700
      972.762600       0.088800
      973.709800       0.081100
      974.658900       0.073300
      975.609800       0.060700
      976.562500       0.058100
      977.517100       0.050600
      978.473600       0.043100
      979.431900       0.035700
      980.392200       0.030500
      981.354300       0.028600
      982.318300       0.026700
      983.284200       0.024900
      984.252000       0.023000
      985.221700       0.021200
      986.193300       0.019400
      987.166800       0.017700
      988.142300       0.015900
      990.099000       0.012600
      991.080300       0.012200
      992.063500       0.011900
      993.048700       0.011600
      994.035800       0.011300
      995.024900       0.011000
      996.015900       0.010700
      997.009000       0.010300
      998.004000       0.010000
     1000.000000       0.009400
