1, channel TIRS1 10.8um band average SRF extracted from TIRS_Relative_Spectral_Responses.BA_.v1.xlsx
Number of data points:
60
Wavenumber (cm-1)   Filter response
      800.000000       0.001045
      803.212851       0.000982
      806.451613       0.001275
      809.716599       0.000318
      813.008130       0.000660
      816.326531       0.000795
      819.672131       0.001019
      823.045267       0.000603
      826.446281       0.000814
      829.875519       0.001170
      833.333333       0.001205
      836.820084       0.000000
      840.336134       0.000751
      843.881857       0.000987
      847.457627       0.001119
      851.063830       0.001172
      854.700855       0.001074
      858.369099       0.000782
      862.068966       0.001210
      865.800866       0.002237
      869.565217       0.004793
      873.362445       0.013324
      877.192982       0.033036
      881.057269       0.071256
      884.955752       0.135922
      888.888889       0.241318
      892.857143       0.409641
      896.860987       0.653391
      900.900901       0.871548
      904.977376       0.990888
      909.090909       1.000000
      913.242009       0.978029
      917.431193       0.915443
      921.658986       0.873434
      925.925926       0.843349
      930.232558       0.841080
      934.579439       0.808513
      938.967136       0.725864
      943.396226       0.505662
      947.867299       0.278407
      952.380952       0.138395
      956.937799       0.066080
      961.538462       0.031958
      966.183575       0.016224
      970.873786       0.007798
      975.609756       0.004001
      980.392157       0.002036
      985.221675       0.000639
      990.099010       0.000740
      995.024876       0.000791
     1000.000000       0.000659
     1005.025126       0.000671
     1010.101010       0.000931
     1015.228426       0.000534
     1020.408163       0.000766
     1025.641026       0.000524
     1030.927835       0.000718
     1036.269430       0.000760
     1041.666667       0.000605
     1047.120419       0.000850
