1, Meteor-M average filter response channel1 (original channel 06)
Number of data points:
721
Wavenumber (cm-1)   Filter response
      746.000000       0.000000
      746.250000       0.000000
      746.500000       0.000214
      746.750000       0.000445
      747.000000       0.001221
      747.250000       0.002192
      747.500000       0.003091
      747.750000       0.003886
      748.000000       0.004564
      748.250000       0.005094
      748.500000       0.005540
      748.750000       0.005993
      749.000000       0.006524
      749.250000       0.007163
      749.500000       0.007839
      749.750000       0.008522
      750.000000       0.009206
      750.250000       0.009878
      750.500000       0.010531
      750.750000       0.011180
      751.000000       0.011840
      751.250000       0.012527
      751.500000       0.013256
      751.750000       0.014019
      752.000000       0.014800
      752.250000       0.015571
      752.500000       0.016329
      752.750000       0.017086
      753.000000       0.017870
      753.250000       0.018709
      753.500000       0.019608
      753.750000       0.020565
      754.000000       0.021559
      754.250000       0.022558
      754.500000       0.023545
      754.750000       0.024520
      755.000000       0.025490
      755.250000       0.026485
      755.500000       0.027525
      755.750000       0.028613
      756.000000       0.029765
      756.250000       0.030978
      756.500000       0.032238
      756.750000       0.033541
      757.000000       0.034865
      757.250000       0.036182
      757.500000       0.037486
      757.750000       0.038789
      758.000000       0.040124
      758.250000       0.041493
      758.500000       0.042895
      758.750000       0.044287
      759.000000       0.045622
      759.250000       0.046885
      759.500000       0.048084
      759.750000       0.049262
      760.000000       0.050477
      760.250000       0.051748
      760.500000       0.053086
      760.750000       0.054479
      761.000000       0.055893
      761.250000       0.057308
      761.500000       0.058721
      761.750000       0.060118
      762.000000       0.061499
      762.250000       0.062879
      762.500000       0.064261
      762.750000       0.065665
      763.000000       0.067111
      763.250000       0.068605
      763.500000       0.070156
      763.750000       0.071754
      764.000000       0.073398
      764.250000       0.075097
      764.500000       0.076846
      764.750000       0.078638
      765.000000       0.080460
      765.250000       0.082282
      765.500000       0.084080
      765.750000       0.085864
      766.000000       0.087646
      766.250000       0.089472
      766.500000       0.091388
      766.750000       0.093405
      767.000000       0.095536
      767.250000       0.097754
      767.500000       0.100030
      767.750000       0.102343
      768.000000       0.104687
      768.250000       0.107071
      768.500000       0.109521
      768.750000       0.112048
      769.000000       0.114655
      769.250000       0.117329
      769.500000       0.120055
      769.750000       0.122820
      770.000000       0.125612
      770.250000       0.128435
      770.500000       0.131302
      770.750000       0.134227
      771.000000       0.137223
      771.250000       0.140299
      771.500000       0.143448
      771.750000       0.146655
      772.000000       0.149907
      772.250000       0.153190
      772.500000       0.156510
      772.750000       0.159871
      773.000000       0.163280
      773.250000       0.166741
      773.500000       0.170241
      773.750000       0.173765
      774.000000       0.177299
      774.250000       0.180825
      774.500000       0.184354
      774.750000       0.187913
      775.000000       0.191531
      775.250000       0.195235
      775.500000       0.199048
      775.750000       0.202940
      776.000000       0.206874
      776.250000       0.210815
      776.500000       0.214709
      776.750000       0.218549
      777.000000       0.222351
      777.250000       0.226150
      777.500000       0.229982
      777.750000       0.233853
      778.000000       0.237730
      778.250000       0.241595
      778.500000       0.245432
      778.750000       0.249257
      779.000000       0.253100
      779.250000       0.256992
      779.500000       0.260945
      779.750000       0.264954
      780.000000       0.268981
      780.250000       0.272986
      780.500000       0.276946
      780.750000       0.280862
      781.000000       0.284749
      781.250000       0.288666
      781.500000       0.292659
      781.750000       0.296749
      782.000000       0.300952
      782.250000       0.305234
      782.500000       0.309567
      782.750000       0.313930
      783.000000       0.318321
      783.250000       0.322743
      783.500000       0.327211
      783.750000       0.331750
      784.000000       0.336366
      784.250000       0.341068
      784.500000       0.345868
      784.750000       0.350769
      785.000000       0.355749
      785.250000       0.360816
      785.500000       0.365924
      785.750000       0.371022
      786.000000       0.376085
      786.250000       0.381088
      786.500000       0.386035
      786.750000       0.390972
      787.000000       0.395946
      787.250000       0.400990
      787.500000       0.406129
      787.750000       0.411357
      788.000000       0.416627
      788.250000       0.421904
      788.500000       0.427163
      788.750000       0.432359
      789.000000       0.437495
      789.250000       0.442577
      789.500000       0.447610
      789.750000       0.452613
      790.000000       0.457610
      790.250000       0.462613
      790.500000       0.467624
      790.750000       0.472651
      791.000000       0.477678
      791.250000       0.482662
      791.500000       0.487586
      791.750000       0.492411
      792.000000       0.497100
      792.250000       0.501660
      792.500000       0.506111
      792.750000       0.510467
      793.000000       0.514790
      793.250000       0.519124
      793.500000       0.523478
      793.750000       0.527882
      794.000000       0.532302
      794.250000       0.536736
      794.500000       0.541196
      794.750000       0.545695
      795.000000       0.550244
      795.250000       0.554856
      795.500000       0.559514
      795.750000       0.564188
      796.000000       0.568851
      796.250000       0.573489
      796.500000       0.578106
      796.750000       0.582735
      797.000000       0.587407
      797.250000       0.592144
      797.500000       0.596957
      797.750000       0.601855
      798.000000       0.606804
      798.250000       0.611760
      798.500000       0.616700
      798.750000       0.621588
      799.000000       0.626425
      799.250000       0.631232
      799.500000       0.636024
      799.750000       0.640820
      800.000000       0.645623
      800.250000       0.650421
      800.500000       0.655196
      800.750000       0.659940
      801.000000       0.664659
      801.250000       0.669357
      801.500000       0.674046
      801.750000       0.678733
      802.000000       0.683395
      802.250000       0.688009
      802.500000       0.692554
      802.750000       0.697017
      803.000000       0.701419
      803.250000       0.705762
      803.500000       0.710054
      803.750000       0.714293
      804.000000       0.718468
      804.250000       0.722568
      804.500000       0.726584
      804.750000       0.730509
      805.000000       0.734348
      805.250000       0.738114
      805.500000       0.741816
      805.750000       0.745465
      806.000000       0.749064
      806.250000       0.752606
      806.500000       0.756089
      806.750000       0.759494
      807.000000       0.762830
      807.250000       0.766117
      807.500000       0.769378
      807.750000       0.772636
      808.000000       0.775889
      808.250000       0.779123
      808.500000       0.782336
      808.750000       0.785531
      809.000000       0.788705
      809.250000       0.791865
      809.500000       0.795014
      809.750000       0.798145
      810.000000       0.801236
      810.250000       0.804280
      810.500000       0.807279
      810.750000       0.810252
      811.000000       0.813210
      811.250000       0.816162
      811.500000       0.819103
      811.750000       0.822021
      812.000000       0.824898
      812.250000       0.827729
      812.500000       0.830516
      812.750000       0.833281
      813.000000       0.836034
      813.250000       0.838783
      813.500000       0.841522
      813.750000       0.844238
      814.000000       0.846914
      814.250000       0.849543
      814.500000       0.852131
      814.750000       0.854695
      815.000000       0.857247
      815.250000       0.859793
      815.500000       0.862327
      815.750000       0.864839
      816.000000       0.867319
      816.250000       0.869758
      816.500000       0.872147
      816.750000       0.874489
      817.000000       0.876794
      817.250000       0.879071
      817.500000       0.881330
      817.750000       0.883580
      818.000000       0.885823
      818.250000       0.888051
      818.500000       0.890259
      818.750000       0.892442
      819.000000       0.894582
      819.250000       0.896671
      819.500000       0.898706
      819.750000       0.900675
      820.000000       0.902577
      820.250000       0.904421
      820.500000       0.906220
      820.750000       0.907990
      821.000000       0.909733
      821.250000       0.911441
      821.500000       0.913096
      821.750000       0.914690
      822.000000       0.916211
      822.250000       0.917669
      822.500000       0.919085
      822.750000       0.920487
      823.000000       0.921884
      823.250000       0.923272
      823.500000       0.924627
      823.750000       0.925936
      824.000000       0.927187
      824.250000       0.928389
      824.500000       0.929563
      824.750000       0.930746
      825.000000       0.931944
      825.250000       0.933155
      825.500000       0.934348
      825.750000       0.935496
      826.000000       0.936576
      826.250000       0.937589
      826.500000       0.938545
      826.750000       0.939466
      827.000000       0.940375
      827.250000       0.941285
      827.500000       0.942181
      827.750000       0.943060
      828.000000       0.943916
      828.250000       0.944746
      828.500000       0.945557
      828.750000       0.946359
      829.000000       0.947161
      829.250000       0.947972
      829.500000       0.948777
      829.750000       0.949577
      830.000000       0.950379
      830.250000       0.951195
      830.500000       0.952032
      830.750000       0.952902
      831.000000       0.953809
      831.250000       0.954734
      831.500000       0.955665
      831.750000       0.956585
      832.000000       0.957467
      832.250000       0.958295
      832.500000       0.959077
      832.750000       0.959818
      833.000000       0.960522
      833.250000       0.961224
      833.500000       0.961962
      833.750000       0.962742
      834.000000       0.963588
      834.250000       0.964520
      834.500000       0.965524
      834.750000       0.966574
      835.000000       0.967654
      835.250000       0.968736
      835.500000       0.969788
      835.750000       0.970802
      836.000000       0.971788
      836.250000       0.972753
      836.500000       0.973714
      836.750000       0.974697
      837.000000       0.975725
      837.250000       0.976800
      837.500000       0.977917
      837.750000       0.979069
      838.000000       0.980239
      838.250000       0.981393
      838.500000       0.982511
      838.750000       0.983587
      839.000000       0.984614
      839.250000       0.985612
      839.500000       0.986596
      839.750000       0.987575
      840.000000       0.988547
      840.250000       0.989506
      840.500000       0.990446
      840.750000       0.991366
      841.000000       0.992251
      841.250000       0.993089
      841.500000       0.993881
      841.750000       0.994617
      842.000000       0.995293
      842.250000       0.995913
      842.500000       0.996487
      842.750000       0.997031
      843.000000       0.997551
      843.250000       0.998049
      843.500000       0.998527
      843.750000       0.998965
      844.000000       0.999340
      844.250000       0.999635
      844.500000       0.999840
      844.750000       0.999954
      845.000000       1.000000
      845.250000       0.999989
      845.500000       0.999925
      845.750000       0.999798
      846.000000       0.999610
      846.250000       0.999355
      846.500000       0.999029
      846.750000       0.998642
      847.000000       0.998196
      847.250000       0.997697
      847.500000       0.997162
      847.750000       0.996578
      848.000000       0.995953
      848.250000       0.995310
      848.500000       0.994660
      848.750000       0.994016
      849.000000       0.993391
      849.250000       0.992782
      849.500000       0.992177
      849.750000       0.991566
      850.000000       0.990935
      850.250000       0.990281
      850.500000       0.989608
      850.750000       0.988931
      851.000000       0.988258
      851.250000       0.987600
      851.500000       0.986959
      851.750000       0.986320
      852.000000       0.985663
      852.250000       0.984971
      852.500000       0.984236
      852.750000       0.983460
      853.000000       0.982663
      853.250000       0.981860
      853.500000       0.981076
      853.750000       0.980314
      854.000000       0.979559
      854.250000       0.978804
      854.500000       0.978019
      854.750000       0.977160
      855.000000       0.976202
      855.250000       0.975140
      855.500000       0.973969
      855.750000       0.972704
      856.000000       0.971378
      856.250000       0.970018
      856.500000       0.968636
      856.750000       0.967235
      857.000000       0.965822
      857.250000       0.964392
      857.500000       0.962924
      857.750000       0.961397
      858.000000       0.959805
      858.250000       0.958135
      858.500000       0.956378
      858.750000       0.954547
      859.000000       0.952646
      859.250000       0.950677
      859.500000       0.948647
      859.750000       0.946550
      860.000000       0.944381
      860.250000       0.942139
      860.500000       0.939810
      860.750000       0.937387
      861.000000       0.934877
      861.250000       0.932266
      861.500000       0.929545
      861.750000       0.926714
      862.000000       0.923766
      862.250000       0.920705
      862.500000       0.917550
      862.750000       0.914287
      863.000000       0.910899
      863.250000       0.907367
      863.500000       0.903683
      863.750000       0.899838
      864.000000       0.895840
      864.250000       0.891717
      864.500000       0.887490
      864.750000       0.883169
      865.000000       0.878782
      865.250000       0.874347
      865.500000       0.869852
      865.750000       0.865296
      866.000000       0.860675
      866.250000       0.855974
      866.500000       0.851186
      866.750000       0.846301
      867.000000       0.841318
      867.250000       0.836252
      867.500000       0.831116
      867.750000       0.825924
      868.000000       0.820692
      868.250000       0.815415
      868.500000       0.810071
      868.750000       0.804671
      869.000000       0.799228
      869.250000       0.793749
      869.500000       0.788256
      869.750000       0.782764
      870.000000       0.777269
      870.250000       0.771771
      870.500000       0.766263
      870.750000       0.760725
      871.000000       0.755157
      871.250000       0.749552
      871.500000       0.743908
      871.750000       0.738250
      872.000000       0.732603
      872.250000       0.726980
      872.500000       0.721402
      872.750000       0.715879
      873.000000       0.710390
      873.250000       0.704933
      873.500000       0.699504
      873.750000       0.694098
      874.000000       0.688720
      874.250000       0.683372
      874.500000       0.678048
      874.750000       0.672763
      875.000000       0.667537
      875.250000       0.662383
      875.500000       0.657309
      875.750000       0.652325
      876.000000       0.647439
      876.250000       0.642627
      876.500000       0.637858
      876.750000       0.633138
      877.000000       0.628432
      877.250000       0.623691
      877.500000       0.618938
      877.750000       0.614153
      878.000000       0.609286
      878.250000       0.604323
      878.500000       0.599256
      878.750000       0.594057
      879.000000       0.588723
      879.250000       0.583275
      879.500000       0.577726
      879.750000       0.572083
      880.000000       0.566358
      880.250000       0.560571
      880.500000       0.554724
      880.750000       0.548809
      881.000000       0.542835
      881.250000       0.536810
      881.500000       0.530728
      881.750000       0.524601
      882.000000       0.518442
      882.250000       0.512254
      882.500000       0.506039
      882.750000       0.499790
      883.000000       0.493491
      883.250000       0.487137
      883.500000       0.480725
      883.750000       0.474241
      884.000000       0.467706
      884.250000       0.461152
      884.500000       0.454585
      884.750000       0.448033
      885.000000       0.441533
      885.250000       0.435087
      885.500000       0.428690
      885.750000       0.422349
      886.000000       0.416046
      886.250000       0.409767
      886.500000       0.403510
      886.750000       0.397276
      887.000000       0.391075
      887.250000       0.384919
      887.500000       0.378812
      887.750000       0.372750
      888.000000       0.366745
      888.250000       0.360800
      888.500000       0.354904
      888.750000       0.349069
      889.000000       0.343315
      889.250000       0.337645
      889.500000       0.332071
      889.750000       0.326603
      890.000000       0.321225
      890.250000       0.315932
      890.500000       0.310731
      890.750000       0.305615
      891.000000       0.300590
      891.250000       0.295675
      891.500000       0.290884
      891.750000       0.286225
      892.000000       0.281703
      892.250000       0.277328
      892.500000       0.273098
      892.750000       0.268985
      893.000000       0.264967
      893.250000       0.261049
      893.500000       0.257194
      893.750000       0.253366
      894.000000       0.249576
      894.250000       0.245811
      894.500000       0.242048
      894.750000       0.238281
      895.000000       0.234516
      895.250000       0.230760
      895.500000       0.227026
      895.750000       0.223330
      896.000000       0.219685
      896.250000       0.216100
      896.500000       0.212570
      896.750000       0.209084
      897.000000       0.205630
      897.250000       0.202196
      897.500000       0.198771
      897.750000       0.195345
      898.000000       0.191928
      898.250000       0.188525
      898.500000       0.185136
      898.750000       0.181750
      899.000000       0.178368
      899.250000       0.174998
      899.500000       0.171649
      899.750000       0.168328
      900.000000       0.165052
      900.250000       0.161834
      900.500000       0.158680
      900.750000       0.155584
      901.000000       0.152540
      901.250000       0.149539
      901.500000       0.146566
      901.750000       0.143603
      902.000000       0.140641
      902.250000       0.137681
      902.500000       0.134729
      902.750000       0.131798
      903.000000       0.128909
      903.250000       0.126067
      903.500000       0.123271
      903.750000       0.120503
      904.000000       0.117757
      904.250000       0.115026
      904.500000       0.112301
      904.750000       0.109592
      905.000000       0.106909
      905.250000       0.104263
      905.500000       0.101665
      905.750000       0.099126
      906.000000       0.096658
      906.250000       0.094260
      906.500000       0.091916
      906.750000       0.089608
      907.000000       0.087314
      907.250000       0.085021
      907.500000       0.082719
      907.750000       0.080412
      908.000000       0.078119
      908.250000       0.075855
      908.500000       0.073638
      908.750000       0.071478
      909.000000       0.069377
      909.250000       0.067326
      909.500000       0.065299
      909.750000       0.063287
      910.000000       0.061287
      910.250000       0.059313
      910.500000       0.057377
      910.750000       0.055483
      911.000000       0.053639
      911.250000       0.051843
      911.500000       0.050084
      911.750000       0.048350
      912.000000       0.046626
      912.250000       0.044905
      912.500000       0.043181
      912.750000       0.041458
      913.000000       0.039750
      913.250000       0.038072
      913.500000       0.036434
      913.750000       0.034840
      914.000000       0.033301
      914.250000       0.031824
      914.500000       0.030402
      914.750000       0.029027
      915.000000       0.027697
      915.250000       0.026417
      915.500000       0.025179
      915.750000       0.023967
      916.000000       0.022764
      916.250000       0.021561
      916.500000       0.020359
      916.750000       0.019160
      917.000000       0.017976
      917.250000       0.016825
      917.500000       0.015729
      917.750000       0.014692
      918.000000       0.013717
      918.250000       0.012810
      918.500000       0.011967
      918.750000       0.011176
      919.000000       0.010427
      919.250000       0.009789
      919.500000       0.009239
      919.750000       0.008697
      920.000000       0.008160
      920.250000       0.007630
      920.500000       0.007111
      920.750000       0.006603
      921.000000       0.006105
      921.250000       0.005619
      921.500000       0.005143
      921.750000       0.004678
      922.000000       0.004216
      922.250000       0.003761
      922.500000       0.003318
      922.750000       0.002890
      923.000000       0.002482
      923.250000       0.002099
      923.500000       0.001745
      923.750000       0.001418
      924.000000       0.001113
      924.250000       0.000829
      924.500000       0.000562
      924.750000       0.000308
      925.000000       0.000066
      925.250000       0.000000
      925.500000       0.000000
      925.750000       0.000000
      926.000000       0.000000
