3, Meteor-M average filter response channel 3 (original channel 04)
Number of data points:
4345
Wavenumber (cm-1)   Filter response
     2212.000000       0.000000
     2212.250000       0.000000
     2212.500000       0.000027
     2212.750000       0.000089
     2213.000000       0.000153
     2213.250000       0.000220
     2213.500000       0.000289
     2213.750000       0.000361
     2214.000000       0.000435
     2214.250000       0.000513
     2214.500000       0.000594
     2214.750000       0.000679
     2215.000000       0.000767
     2215.250000       0.000858
     2215.500000       0.000953
     2215.750000       0.001053
     2216.000000       0.001156
     2216.250000       0.001264
     2216.500000       0.001376
     2216.750000       0.001493
     2217.000000       0.001614
     2217.250000       0.001740
     2217.500000       0.001872
     2217.750000       0.002008
     2218.000000       0.002150
     2218.250000       0.002298
     2218.500000       0.002451
     2218.750000       0.002610
     2219.000000       0.002775
     2219.250000       0.002946
     2219.500000       0.003123
     2219.750000       0.003307
     2220.000000       0.003497
     2220.250000       0.003694
     2220.500000       0.003898
     2220.750000       0.004109
     2221.000000       0.004327
     2221.250000       0.004552
     2221.500000       0.004786
     2221.750000       0.005026
     2222.000000       0.005275
     2222.250000       0.005531
     2222.500000       0.005798
     2222.750000       0.006077
     2223.000000       0.006368
     2223.250000       0.006669
     2223.500000       0.006980
     2223.750000       0.007302
     2224.000000       0.007633
     2224.250000       0.007972
     2224.500000       0.008321
     2224.750000       0.008677
     2225.000000       0.009040
     2225.250000       0.009411
     2225.500000       0.009788
     2225.750000       0.010172
     2226.000000       0.010560
     2226.250000       0.010954
     2226.500000       0.011353
     2226.750000       0.011755
     2227.000000       0.012161
     2227.250000       0.012571
     2227.500000       0.012983
     2227.750000       0.013397
     2228.000000       0.013813
     2228.250000       0.014230
     2228.500000       0.014648
     2228.750000       0.015066
     2229.000000       0.015484
     2229.250000       0.015901
     2229.500000       0.016317
     2229.750000       0.016731
     2230.000000       0.017143
     2230.250000       0.017552
     2230.500000       0.017959
     2230.750000       0.018361
     2231.000000       0.018760
     2231.250000       0.019154
     2231.500000       0.019543
     2231.750000       0.019926
     2232.000000       0.020303
     2232.250000       0.020674
     2232.500000       0.021043
     2232.750000       0.021409
     2233.000000       0.021773
     2233.250000       0.022136
     2233.500000       0.022497
     2233.750000       0.022856
     2234.000000       0.023214
     2234.250000       0.023571
     2234.500000       0.023927
     2234.750000       0.024281
