03 , meteo_07_02.flt
Number of data points:
38
Wavenumber (cm-1)   Filter response
      763.400000       0.000000
      769.200000       0.030000
      775.200000       0.078000
      781.200000       0.126000
      784.300000       0.150000
      787.400000       0.222000
      793.700000       0.365000
      800.000000       0.509000
      806.500000       0.601000
      813.000000       0.692000
      816.300000       0.738000
      819.700000       0.746000
      826.400000       0.763000
      833.300000       0.780000
      840.300000       0.842000
      847.500000       0.903000
      851.100000       0.934000
      854.700000       0.947000
      862.100000       0.974000
      869.600000       1.000000
      877.200000       0.992000
      885.000000       0.984000
      888.900000       0.980000
      892.900000       0.967000
      900.900000       0.940000
      909.100000       0.914000
      917.400000       0.914000
      925.900000       0.914000
      930.200000       0.914000
      934.600000       0.745000
      943.400000       0.408000
      952.400000       0.071000
      961.500000       0.047000
      970.900000       0.022000
      975.600000       0.010000
      980.400000       0.008000
      990.100000       0.004000
     1000.000000       0.000000
