   6  ,metop_1_hirs_06.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
516
Wavenumber (cm-1)   Filter response
      705.000000       0.000000
      705.100000       0.000790
      705.200000       0.001324
      705.300000       0.001476
      705.400000       0.001628
      705.500000       0.001780
      705.600000       0.001932
      705.700000       0.002085
      705.800000       0.002237
      705.900000       0.002390
      706.000000       0.002543
      706.100000       0.002695
      706.200000       0.002848
      706.300000       0.003001
      706.400000       0.003154
      706.500000       0.003307
      706.600000       0.003460
      706.700000       0.003613
      706.800000       0.003767
      706.900000       0.003920
      707.000000       0.004074
      707.100000       0.004228
      707.200000       0.004381
      707.300000       0.004535
      707.400000       0.004689
      707.500000       0.004844
      707.600000       0.004998
      707.700000       0.005152
      707.800000       0.005307
      707.900000       0.005461
      708.000000       0.005616
      708.100000       0.005770
      708.200000       0.005923
      708.300000       0.006077
      708.400000       0.006230
      708.500000       0.006384
      708.600000       0.006538
      708.700000       0.006692
      708.800000       0.006845
      708.900000       0.006999
      709.000000       0.007153
      709.100000       0.007307
      709.200000       0.007461
      709.300000       0.007615
      709.400000       0.007769
      709.500000       0.007923
      709.600000       0.008077
      709.700000       0.008231
      709.800000       0.008385
      709.900000       0.008539
      710.000000       0.008694
      710.100000       0.008851
      710.200000       0.009008
      710.300000       0.009166
      710.400000       0.009323
      710.500000       0.009481
      710.600000       0.009639
      710.700000       0.009797
      710.800000       0.009955
      710.900000       0.010114
      711.000000       0.010272
      711.100000       0.010431
      711.200000       0.010589
      711.300000       0.010748
      711.400000       0.010907
      711.500000       0.011066
      711.600000       0.011225
      711.700000       0.011385
      711.800000       0.011544
      711.900000       0.011704
      712.000000       0.011864
      712.100000       0.012024
      712.200000       0.012183
      712.300000       0.012343
      712.400000       0.012502
      712.500000       0.012662
      712.600000       0.012822
      712.700000       0.012982
      712.800000       0.013142
      712.900000       0.013302
      713.000000       0.013463
      713.100000       0.013623
      713.200000       0.014128
      713.300000       0.014687
      713.400000       0.015274
      713.500000       0.015861
      713.600000       0.016423
      713.700000       0.016934
      713.800000       0.017201
      713.900000       0.017378
      714.000000       0.017508
      714.100000       0.017628
      714.200000       0.017784
      714.300000       0.018007
      714.400000       0.018282
      714.500000       0.018586
      714.600000       0.018891
      714.700000       0.019173
      714.800000       0.019419
      714.900000       0.019655
      715.000000       0.019921
      715.100000       0.020257
      715.200000       0.020703
      715.300000       0.021283
      715.400000       0.021973
      715.500000       0.022731
      715.600000       0.023518
      715.700000       0.024295
      715.800000       0.025035
      715.900000       0.025765
      716.000000       0.026527
      716.100000       0.027355
      716.200000       0.028296
      716.300000       0.029391
      716.400000       0.030674
      716.500000       0.032180
      716.600000       0.033939
      716.700000       0.035989
      716.800000       0.038342
      716.900000       0.040941
      717.000000       0.043709
      717.100000       0.046572
      717.200000       0.049451
      717.300000       0.052287
      717.400000       0.055079
      717.500000       0.057839
      717.600000       0.060584
      717.700000       0.063329
      717.800000       0.066082
      717.900000       0.068826
      718.000000       0.071541
      718.100000       0.074241
      718.200000       0.076873
      718.300000       0.079430
      718.400000       0.081944
      718.500000       0.084470
      718.600000       0.087052
      718.700000       0.089741
      718.800000       0.092580
      718.900000       0.095593
      719.000000       0.098797
      719.100000       0.102209
      719.200000       0.105848
      719.300000       0.109724
      719.400000       0.113818
      719.500000       0.118106
      719.600000       0.122565
      719.700000       0.127163
      719.800000       0.131884
      719.900000       0.136733
      720.000000       0.141729
      720.100000       0.146810
      720.200000       0.152059
      720.300000       0.157488
      720.400000       0.163112
      720.500000       0.168930
      720.600000       0.174970
      720.700000       0.181219
      720.800000       0.187705
      720.900000       0.194426
      721.000000       0.201384
      721.100000       0.208605
      721.200000       0.216076
      721.300000       0.223812
      721.400000       0.231811
      721.500000       0.240024
      721.600000       0.248447
      721.700000       0.257066
      721.800000       0.265851
      721.900000       0.274790
      722.000000       0.283911
      722.100000       0.293168
      722.200000       0.302605
      722.300000       0.312207
      722.400000       0.321947
      722.500000       0.331811
      722.600000       0.341770
      722.700000       0.351784
      722.800000       0.361838
      722.900000       0.371933
      723.000000       0.382068
      723.100000       0.392245
      723.200000       0.402462
      723.300000       0.412719
      723.400000       0.423051
      723.500000       0.433457
      723.600000       0.443945
      723.700000       0.454544
      723.800000       0.465253
      723.900000       0.476031
      724.000000       0.486851
      724.100000       0.497788
      724.200000       0.508702
      724.300000       0.519538
      724.400000       0.530282
      724.500000       0.540948
      724.600000       0.551508
      724.700000       0.561962
      724.800000       0.572310
      724.900000       0.582523
      725.000000       0.592602
      725.100000       0.602533
      725.200000       0.612288
      725.300000       0.621870
      725.400000       0.631303
      725.500000       0.640602
      725.600000       0.649795
      725.700000       0.658909
      725.800000       0.667959
      725.900000       0.676930
      726.000000       0.685794
      726.100000       0.694584
      726.200000       0.703227
      726.300000       0.711707
      726.400000       0.720026
      726.500000       0.728154
      726.600000       0.736107
      726.700000       0.743868
      726.800000       0.751426
      726.900000       0.758750
      727.000000       0.765786
      727.100000       0.772515
      727.200000       0.778898
      727.300000       0.784913
      727.400000       0.790584
      727.500000       0.795936
      727.600000       0.801026
      727.700000       0.805866
      727.800000       0.810528
      727.900000       0.815066
      728.000000       0.819578
      728.100000       0.824039
      728.200000       0.828655
      728.300000       0.833456
      728.400000       0.838398
      728.500000       0.843384
      728.600000       0.848343
      728.700000       0.853164
      728.800000       0.857789
      728.900000       0.862176
      729.000000       0.866340
      729.100000       0.870246
      729.200000       0.873914
      729.300000       0.877325
      729.400000       0.880526
      729.500000       0.883559
      729.600000       0.886466
      729.700000       0.889290
      729.800000       0.892087
      729.900000       0.894911
      730.000000       0.897808
      730.100000       0.900583
      730.200000       0.903542
      730.300000       0.906683
      730.400000       0.909949
      730.500000       0.913244
      730.600000       0.916455
      730.700000       0.919524
      730.800000       0.922354
      730.900000       0.924957
      731.000000       0.927362
      731.100000       0.929603
      731.200000       0.931720
      731.300000       0.933724
      731.400000       0.935657
      731.500000       0.937547
      731.600000       0.939423
      731.700000       0.941313
      731.800000       0.943245
      731.900000       0.945219
      732.000000       0.947207
      732.100000       0.949592
      732.200000       0.951979
      732.300000       0.954340
      732.400000       0.956731
      732.500000       0.959181
      732.600000       0.961732
      732.700000       0.964440
      732.800000       0.967335
      732.900000       0.970386
      733.000000       0.973582
      733.100000       0.976884
      733.200000       0.980245
      733.300000       0.983623
      733.400000       0.986933
      733.500000       0.990061
      733.600000       0.992880
      733.700000       0.995318
      733.800000       0.997260
      733.900000       0.998736
      734.000000       0.999744
      734.100000       1.000000
      734.200000       0.999844
      734.300000       0.999318
      734.400000       0.998493
      734.500000       0.997398
      734.600000       0.996118
      734.700000       0.994723
      734.800000       0.993229
      734.900000       0.991592
      735.000000       0.989701
      735.100000       0.987481
      735.200000       0.984806
      735.300000       0.981618
      735.400000       0.977860
      735.500000       0.973517
      735.600000       0.968561
      735.700000       0.962948
      735.800000       0.956678
      735.900000       0.949724
      736.000000       0.942099
      736.100000       0.933696
      736.200000       0.924609
      736.300000       0.914852
      736.400000       0.904440
      736.500000       0.893415
      736.600000       0.881834
      736.700000       0.869697
      736.800000       0.857047
      736.900000       0.843891
      737.000000       0.830201
      737.100000       0.815967
      737.200000       0.801147
      737.300000       0.785757
      737.400000       0.769867
      737.500000       0.753547
      737.600000       0.736857
      737.700000       0.719909
      737.800000       0.702746
      737.900000       0.685425
      738.000000       0.667947
      738.100000       0.650554
      738.200000       0.633049
      738.300000       0.615475
      738.400000       0.597875
      738.500000       0.580319
      738.600000       0.562851
      738.700000       0.545557
      738.800000       0.528467
      738.900000       0.511615
      739.000000       0.494994
      739.100000       0.478632
      739.200000       0.462517
      739.300000       0.446661
      739.400000       0.431067
      739.500000       0.415675
      739.600000       0.400502
      739.700000       0.385490
      739.800000       0.370639
      739.900000       0.355993
      740.000000       0.341551
      740.100000       0.327391
      740.200000       0.313507
      740.300000       0.299958
      740.400000       0.286729
      740.500000       0.273864
      740.600000       0.261350
      740.700000       0.249185
      740.800000       0.237403
      740.900000       0.226073
      741.000000       0.215252
      741.100000       0.205028
      741.200000       0.195446
      741.300000       0.186577
      741.400000       0.178336
      741.500000       0.170652
      741.600000       0.163410
      741.700000       0.156523
      741.800000       0.149920
      741.900000       0.143562
      742.000000       0.137440
      742.100000       0.131545
      742.200000       0.125855
      742.300000       0.120364
      742.400000       0.115108
      742.500000       0.110128
      742.600000       0.105466
      742.700000       0.101169
