9  ,metop_1_hirs_09.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
576
Wavenumber (cm-1)   Filter response
      999.430000       0.000000
      999.530000       0.003873
      999.630000       0.002582
      999.730000       0.002582
      999.830000       0.002582
      999.930000       0.002582
     1000.030000       0.002582
     1000.130000       0.002582
     1000.230000       0.002582
     1000.330000       0.002582
     1000.430000       0.002581
     1000.530000       0.002581
     1000.630000       0.003871
     1000.730000       0.003870
     1000.830000       0.003870
     1000.930000       0.005159
     1001.030000       0.005158
     1001.130000       0.005157
     1001.230000       0.005157
     1001.330000       0.005156
     1001.430000       0.005155
     1001.530000       0.005155
     1001.630000       0.003865
     1001.730000       0.003865
     1001.830000       0.003864
     1001.930000       0.003864
     1002.030000       0.003863
     1002.130000       0.005150
     1002.230000       0.006438
     1002.330000       0.007725
     1002.430000       0.006438
     1002.530000       0.006438
     1002.630000       0.007725
     1002.730000       0.007725
     1002.830000       0.007725
     1002.930000       0.009012
     1003.030000       0.009012
     1003.130000       0.009012
     1003.230000       0.009012
     1003.330000       0.009012
     1003.430000       0.009011
     1003.530000       0.009011
     1003.630000       0.009011
     1003.730000       0.009011
     1003.830000       0.010298
     1003.930000       0.010298
     1004.030000       0.010298
     1004.130000       0.010297
     1004.230000       0.011584
     1004.330000       0.011584
     1004.430000       0.012871
     1004.530000       0.012871
     1004.630000       0.012870
     1004.730000       0.012870
     1004.830000       0.012870
     1004.930000       0.012869
     1005.030000       0.014156
     1005.130000       0.015443
     1005.230000       0.014156
     1005.330000       0.015443
     1005.430000       0.015443
     1005.530000       0.015443
     1005.630000       0.015443
     1005.730000       0.015443
     1005.830000       0.016730
     1005.930000       0.016730
     1006.030000       0.018017
     1006.130000       0.018017
     1006.230000       0.018021
     1006.330000       0.018024
     1006.430000       0.019315
     1006.530000       0.021894
     1006.630000       0.021898
     1006.730000       0.021902
     1006.830000       0.021907
     1006.930000       0.023199
     1007.030000       0.024493
     1007.130000       0.024497
     1007.230000       0.024502
     1007.330000       0.025797
     1007.430000       0.025801
     1007.530000       0.025806
     1007.630000       0.028392
     1007.730000       0.029689
     1007.830000       0.029694
     1007.930000       0.028409
     1008.030000       0.033580
     1008.130000       0.036170
     1008.230000       0.032297
     1008.330000       0.033592
     1008.430000       0.034887
     1008.530000       0.036182
     1008.630000       0.036184
     1008.730000       0.036187
     1008.830000       0.037482
     1008.930000       0.040071
     1009.030000       0.041366
     1009.130000       0.042662
     1009.230000       0.042665
     1009.330000       0.045254
     1009.430000       0.046551
     1009.530000       0.047847
     1009.630000       0.047850
     1009.730000       0.049147
     1009.830000       0.051737
     1009.930000       0.051741
     1010.030000       0.053038
     1010.130000       0.050454
     1010.230000       0.055631
     1010.330000       0.059516
     1010.430000       0.059519
     1010.530000       0.060816
     1010.630000       0.063407
     1010.730000       0.063410
     1010.830000       0.067296
