  13  ,metop_1_hirs_13.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
701
Wavenumber (cm-1)   Filter response
     2154.000000       0.000000
     2154.100000       0.000493
     2154.200000       0.000920
     2154.300000       0.001282
     2154.400000       0.001579
     2154.500000       0.001713
     2154.600000       0.001848
     2154.700000       0.001982
     2154.800000       0.002116
     2154.900000       0.002250
     2155.000000       0.002384
     2155.100000       0.002519
     2155.200000       0.002653
     2155.300000       0.002787
     2155.400000       0.002922
     2155.500000       0.003056
     2155.600000       0.003191
     2155.700000       0.003326
     2155.800000       0.003461
     2155.900000       0.003600
     2156.000000       0.003735
     2156.100000       0.003873
     2156.200000       0.004011
     2156.300000       0.004149
     2156.400000       0.004288
     2156.500000       0.004427
     2156.600000       0.004566
     2156.700000       0.004705
     2156.800000       0.004845
     2156.900000       0.004985
     2157.000000       0.005125
     2157.100000       0.005265
     2157.200000       0.005405
     2157.300000       0.005545
     2157.400000       0.005685
     2157.500000       0.005826
     2157.600000       0.005967
     2157.700000       0.006108
     2157.800000       0.006249
     2157.900000       0.006391
     2158.000000       0.006532
     2158.100000       0.006675
     2158.200000       0.006819
     2158.300000       0.006962
     2158.400000       0.007106
     2158.500000       0.007250
     2158.600000       0.007395
     2158.700000       0.007540
     2158.800000       0.007685
     2158.900000       0.007830
     2159.000000       0.007976
     2159.100000       0.008121
     2159.200000       0.008266
     2159.300000       0.008411
     2159.400000       0.008558
     2159.500000       0.008706
     2159.600000       0.008854
     2159.700000       0.009003
     2159.800000       0.009152
     2159.900000       0.009300
     2160.000000       0.009448
     2160.100000       0.009591
     2160.200000       0.009734
     2160.300000       0.009877
     2160.400000       0.010020
     2160.500000       0.010164
     2160.600000       0.010308
     2160.700000       0.010451
     2160.800000       0.010595
     2160.900000       0.010739
     2161.000000       0.010883
     2161.100000       0.011028
     2161.200000       0.011177
     2161.300000       0.011330
     2161.400000       0.011475
     2161.500000       0.011621
     2161.600000       0.011766
     2161.700000       0.011912
     2161.800000       0.012058
     2161.900000       0.012204
     2162.000000       0.012350
     2162.100000       0.012497
     2162.200000       0.012644
     2162.300000       0.012792
     2162.400000       0.012940
     2162.500000       0.013088
     2162.600000       0.013236
     2162.700000       0.013384
     2162.800000       0.013547
     2162.900000       0.013696
     2163.000000       0.013844
     2163.100000       0.013994
     2163.200000       0.014143
     2163.300000       0.014293
     2163.400000       0.014443
     2163.500000       0.014592
     2163.600000       0.014742
     2163.700000       0.014893
     2163.800000       0.015043
     2163.900000       0.015194
     2164.000000       0.015344
     2164.100000       0.015505
     2164.200000       0.015667
     2164.300000       0.015829
     2164.400000       0.015991
     2164.500000       0.016154
     2164.600000       0.016317
     2164.700000       0.016480
     2164.800000       0.016644
     2164.900000       0.016808
     2165.000000       0.016973
     2165.100000       0.017136
     2165.200000       0.019057
     2165.300000       0.021144
     2165.400000       0.023210
     2165.500000       0.024498
     2165.600000       0.025374
     2165.700000       0.025967
     2165.800000       0.026398
     2165.900000       0.026797
     2166.000000       0.027263
     2166.100000       0.027769
     2166.200000       0.028301
     2166.300000       0.028823
     2166.400000       0.029303
     2166.500000       0.029719
     2166.600000       0.030131
     2166.700000       0.030520
     2166.800000       0.030959
     2166.900000       0.031489
     2167.000000       0.032138
     2167.100000       0.032917
