   9  ,metop_1_hirs_09.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
576
Wavenumber (cm-1)   Filter response
      999.300000       0.000000
      999.400000       0.003873
      999.500000       0.002582
      999.600000       0.002582
      999.700000       0.002582
      999.800000       0.002582
      999.900000       0.002582
     1000.000000       0.002582
     1000.100000       0.002582
     1000.200000       0.002582
     1000.300000       0.002581
     1000.400000       0.002581
     1000.500000       0.003871
     1000.600000       0.003870
     1000.700000       0.003870
     1000.800000       0.005159
     1000.900000       0.005158
     1001.000000       0.005157
     1001.100000       0.005157
     1001.200000       0.005156
     1001.300000       0.005155
     1001.400000       0.005155
     1001.500000       0.003865
     1001.600000       0.003865
     1001.700000       0.003864
     1001.800000       0.003864
     1001.900000       0.003863
     1002.000000       0.005150
     1002.100000       0.006438
     1002.200000       0.007725
     1002.300000       0.006438
     1002.400000       0.006438
     1002.500000       0.007725
     1002.600000       0.007725
     1002.700000       0.007725
     1002.800000       0.009012
     1002.900000       0.009012
     1003.000000       0.009012
     1003.100000       0.009012
     1003.200000       0.009012
     1003.300000       0.009011
     1003.400000       0.009011
     1003.500000       0.009011
     1003.600000       0.009011
     1003.700000       0.010298
     1003.800000       0.010298
     1003.900000       0.010298
     1004.000000       0.010297
     1004.100000       0.011584
     1004.200000       0.011584
     1004.300000       0.012871
     1004.400000       0.012871
     1004.500000       0.012870
     1004.600000       0.012870
     1004.700000       0.012870
     1004.800000       0.012869
     1004.900000       0.014156
     1005.000000       0.015443
     1005.100000       0.014156
     1005.200000       0.015443
     1005.300000       0.015443
     1005.400000       0.015443
     1005.500000       0.015443
     1005.600000       0.015443
     1005.700000       0.016730
     1005.800000       0.016730
     1005.900000       0.018017
     1006.000000       0.018017
     1006.100000       0.018021
     1006.200000       0.018024
     1006.300000       0.019315
     1006.400000       0.021894
     1006.500000       0.021898
     1006.600000       0.021902
     1006.700000       0.021907
     1006.800000       0.023199
     1006.900000       0.024493
     1007.000000       0.024497
     1007.100000       0.024502
     1007.200000       0.025797
     1007.300000       0.025801
     1007.400000       0.025806
     1007.500000       0.028392
     1007.600000       0.029689
     1007.700000       0.029694
     1007.800000       0.028409
     1007.900000       0.033580
     1008.000000       0.036170
     1008.100000       0.032297
     1008.200000       0.033592
     1008.300000       0.034887
     1008.400000       0.036182
     1008.500000       0.036184
     1008.600000       0.036187
     1008.700000       0.037482
     1008.800000       0.040071
     1008.900000       0.041366
     1009.000000       0.042662
     1009.100000       0.042665
     1009.200000       0.045254
     1009.300000       0.046551
     1009.400000       0.047847
     1009.500000       0.047850
     1009.600000       0.049147
     1009.700000       0.051737
     1009.800000       0.051741
     1009.900000       0.053038
     1010.000000       0.050454
     1010.100000       0.055631
     1010.200000       0.059516
     1010.300000       0.059519
     1010.400000       0.060816
     1010.500000       0.063407
     1010.600000       0.063410
     1010.700000       0.067296
     1010.800000       0.068593
     1010.900000       0.071185
     1011.000000       0.073778
     1011.100000       0.073781
     1011.200000       0.077667
     1011.300000       0.082849
     1011.400000       0.084147
     1011.500000       0.085445
     1011.600000       0.089333
     1011.700000       0.091926
     1011.800000       0.094520
     1011.900000       0.097113
     1012.000000       0.101002
     1012.100000       0.104883
     1012.200000       0.107468
     1012.300000       0.111349
     1012.400000       0.113934
     1012.500000       0.116519
     1012.600000       0.120398
     1012.700000       0.124277
     1012.800000       0.128156
     1012.900000       0.130740
     1013.000000       0.134618
     1013.100000       0.138496
     1013.200000       0.141079
     1013.300000       0.143662
     1013.400000       0.150128
     1013.500000       0.154004
     1013.600000       0.159175
     1013.700000       0.164345
     1013.800000       0.169514
     1013.900000       0.173389
     1014.000000       0.178558
     1014.100000       0.184990
     1014.200000       0.188833
     1014.300000       0.196554
     1014.400000       0.200393
     1014.500000       0.206815
     1014.600000       0.211943
     1014.700000       0.215776
     1014.800000       0.224775
     1014.900000       0.227313
     1015.000000       0.231141
     1015.100000       0.245295
     1015.200000       0.250407
     1015.300000       0.259390
     1015.400000       0.267078
     1015.500000       0.273473
     1015.600000       0.287604
     1015.700000       0.292702
     1015.800000       0.299088
     1015.900000       0.326094
     1016.000000       0.329893
     1016.100000       0.331153
     1016.200000       0.331124
     1016.300000       0.343978
     1016.400000       0.352966
     1016.500000       0.352935
     1016.600000       0.364496
     1016.700000       0.369616
     1016.800000       0.376023
     1016.900000       0.385004
     1017.000000       0.396558
     1017.100000       0.413256
     1017.200000       0.424802
     1017.300000       0.429910
     1017.400000       0.435016
     1017.500000       0.441408
     1017.600000       0.449086
     1017.700000       0.464481
     1017.800000       0.468295
     1017.900000       0.508128
     1018.000000       0.523513
     1018.100000       0.523399
     1018.200000       0.524572
     1018.300000       0.525743
     1018.400000       0.535910
     1018.500000       0.544788
     1018.600000       0.544670
     1018.700000       0.557394
     1018.800000       0.577818
     1018.900000       0.596948
     1019.000000       0.603235
     1019.100000       0.606957
     1019.200000       0.627355
     1019.300000       0.631070
     1019.400000       0.645042
     1019.500000       0.646187
     1019.600000       0.648613
     1019.700000       0.652320
     1019.800000       0.662432
     1019.900000       0.664853
     1020.000000       0.668555
     1020.100000       0.675992
     1020.200000       0.685982
     1020.300000       0.695966
     1020.400000       0.702106
     1020.500000       0.714634
     1020.600000       0.728431
     1020.700000       0.735830
     1020.800000       0.741947
     1020.900000       0.744230
     1021.000000       0.747787
     1021.100000       0.755168
     1021.200000       0.758719
     1021.300000       0.763542
     1021.400000       0.770909
     1021.500000       0.779545
     1021.600000       0.785628
     1021.700000       0.792980
     1021.800000       0.797782
     1021.900000       0.803852
     1022.000000       0.809918
     1022.100000       0.813587
     1022.200000       0.817255
     1022.300000       0.822192
     1022.400000       0.829669
     1022.500000       0.835873
     1022.600000       0.840806
     1022.700000       0.844467
     1022.800000       0.849396
     1022.900000       0.854324
     1023.000000       0.857980
     1023.100000       0.861631
     1023.200000       0.865280
     1023.300000       0.870196
     1023.400000       0.873842
     1023.500000       0.877487
     1023.600000       0.881132
     1023.700000       0.884775
     1023.800000       0.888416
     1023.900000       0.890789
     1024.000000       0.898228
     1024.100000       0.899229
     1024.200000       0.900229
     1024.300000       0.903760
     1024.400000       0.906024
     1024.500000       0.908287
     1024.600000       0.910549
     1024.700000       0.912810
     1024.800000       0.915070
     1024.900000       0.917328
     1025.000000       0.917059
     1025.100000       0.916796
     1025.200000       0.920320
     1025.300000       0.922580
     1025.400000       0.923577
     1025.500000       0.924574
     1025.600000       0.926832
     1025.700000       0.929089
     1025.800000       0.932605
     1025.900000       0.932340
     1026.000000       0.933334
     1026.100000       0.935468
     1026.200000       0.937599
     1026.300000       0.938472
     1026.400000       0.939345
     1026.500000       0.941474
     1026.600000       0.942344
     1026.700000       0.943214
     1026.800000       0.944084
     1026.900000       0.947463
     1027.000000       0.948330
     1027.100000       0.949199
     1027.200000       0.950067
     1027.300000       0.952187
     1027.400000       0.954305
     1027.500000       0.953918
     1027.600000       0.956034
     1027.700000       0.958149
     1027.800000       0.957761
     1027.900000       0.959872
     1028.000000       0.961982
     1028.100000       0.961666
     1028.200000       0.962598
     1028.300000       0.966026
     1028.400000       0.966957
     1028.500000       0.967888
     1028.600000       0.968817
     1028.700000       0.970992
     1028.800000       0.970674
     1028.900000       0.972848
     1029.000000       0.972529
     1029.100000       0.974702
     1029.200000       0.974384
     1029.300000       0.975311
     1029.400000       0.977480
     1029.500000       0.978404
     1029.600000       0.979328
     1029.700000       0.981493
     1029.800000       0.981173
     1029.900000       0.982095
     1030.000000       0.983016
     1030.100000       0.982842
     1030.200000       0.985150
     1030.300000       0.986216
     1030.400000       0.986042
     1030.500000       0.987107
     1030.600000       0.988172
     1030.700000       0.990477
     1030.800000       0.991541
     1030.900000       0.990127
     1031.000000       0.991191
     1031.100000       0.993498
     1031.200000       0.993327
     1031.300000       0.993156
     1031.400000       0.995462
     1031.500000       0.995291
     1031.600000       0.995119
     1031.700000       0.996185
     1031.800000       0.998488
     1031.900000       0.997079
     1032.000000       0.998144
     1032.100000       0.999072
     1032.200000       1.000000
     1032.300000       0.999691
     1032.400000       0.999381
     1032.500000       0.999071
     1032.600000       0.998762
     1032.700000       0.998452
     1032.800000       0.999377
     1032.900000       0.999067
     1033.000000       0.999990
     1033.100000       0.998446
     1033.200000       0.999368
     1033.300000       0.999057
     1033.400000       0.997514
     1033.500000       0.997203
     1033.600000       0.995661
     1033.700000       0.995350
     1033.800000       0.995039
     1033.900000       0.994729
     1034.000000       0.994419
     1034.100000       0.992615
     1034.200000       0.989585
     1034.300000       0.989011
     1034.400000       0.985986
     1034.500000       0.985414
     1034.600000       0.983618
     1034.700000       0.979374
     1034.800000       0.977582
     1034.900000       0.975791
     1035.000000       0.972780
     1035.100000       0.964885
     1035.200000       0.964322
     1035.300000       0.962540
     1035.400000       0.960759
     1035.500000       0.955324
     1035.600000       0.952330
     1035.700000       0.949340
     1035.800000       0.946352
     1035.900000       0.939719
     1036.000000       0.934310
     1036.100000       0.930413
     1036.200000       0.925303
     1036.300000       0.918983
     1036.400000       0.915093
     1036.500000       0.909992
     1036.600000       0.904893
     1036.700000       0.897371
     1036.800000       0.891066
     1036.900000       0.888400
     1037.000000       0.878465
     1037.100000       0.861264
     1037.200000       0.861025
     1037.300000       0.854734
     1037.400000       0.839973
     1037.500000       0.834901
     1037.600000       0.834669
     1037.700000       0.825973
     1037.800000       0.817281
     1037.900000       0.798925
     1038.000000       0.793870
     1038.100000       0.790086
     1038.200000       0.782681
     1038.300000       0.780108
     1038.400000       0.759427
     1038.500000       0.743582
     1038.600000       0.739812
     1038.700000       0.734837
     1038.800000       0.717801
     1038.900000       0.710420
     1039.000000       0.701836
     1039.100000       0.694460
     1039.200000       0.676237
     1039.300000       0.672485
     1039.400000       0.653070
     1039.500000       0.622820
     1039.600000       0.615468
     1039.700000       0.608118
     1039.800000       0.600796
     1039.900000       0.569400
     1040.000000       0.569308
     1040.100000       0.559485
     1040.200000       0.555681
     1040.300000       0.550678
     1040.400000       0.519236
     1040.500000       0.509443
     1040.600000       0.498455
     1040.700000       0.487475
     1040.800000       0.466901
     1040.900000       0.457139
     1041.000000       0.435390
     1041.100000       0.434042
     1041.200000       0.427901
     1041.300000       0.420565
     1041.400000       0.397663
     1041.500000       0.392738
     1041.600000       0.383028
     1041.700000       0.373324
     1041.800000       0.367216
     1041.900000       0.364699
     1042.000000       0.360988
     1042.100000       0.353656
     1042.200000       0.322446
     1042.300000       0.309169
     1042.400000       0.306642
     1042.500000       0.302925
     1042.600000       0.282523
     1042.700000       0.276437
     1042.800000       0.273929
     1042.900000       0.259520
     1043.000000       0.255832
     1043.100000       0.249769
     1043.200000       0.235390
     1043.300000       0.229341
     1043.400000       0.223298
     1043.500000       0.216074
     1043.600000       0.207669
     1043.700000       0.204016
     1043.800000       0.190882
     1043.900000       0.183685
     1044.000000       0.170572
     1044.100000       0.168140
