  12  ,metop_1_hirs_12.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
1377
Wavenumber (cm-1)   Filter response
     1488.200000       0.000000
     1488.300000       0.001626
     1488.400000       0.004876
     1488.500000       0.006498
     1488.600000       0.008119
     1488.700000       0.006492
     1488.800000       0.003244
     1488.900000       0.001621
     1489.000000       0.004862
     1489.100000       0.006479
     1489.200000       0.003238
     1489.300000       0.001618
     1489.400000       0.004853
     1489.500000       0.009701
     1489.600000       0.011312
     1489.700000       0.011306
     1489.800000       0.011301
     1489.900000       0.011296
     1490.000000       0.011290
     1490.100000       0.009672
     1490.200000       0.009667
     1490.300000       0.008052
     1490.400000       0.008047
     1490.500000       0.008043
     1490.600000       0.006431
     1490.700000       0.008035
     1490.800000       0.009637
     1490.900000       0.009631
     1491.000000       0.008022
     1491.100000       0.009621
     1491.200000       0.009616
     1491.300000       0.011213
     1491.400000       0.011207
     1491.500000       0.011201
     1491.600000       0.011195
     1491.700000       0.011189
     1491.800000       0.011183
     1491.900000       0.011178
     1492.000000       0.011172
     1492.100000       0.011169
     1492.200000       0.011166
     1492.300000       0.011163
     1492.400000       0.011160
     1492.500000       0.009563
     1492.600000       0.011154
     1492.700000       0.011151
     1492.800000       0.012741
     1492.900000       0.012738
     1493.000000       0.012735
     1493.100000       0.012731
     1493.200000       0.012728
     1493.300000       0.012725
     1493.400000       0.012722
     1493.500000       0.014308
     1493.600000       0.014305
     1493.700000       0.012712
     1493.800000       0.012709
     1493.900000       0.014294
     1494.000000       0.014290
     1494.100000       0.014277
     1494.200000       0.014264
     1494.300000       0.014252
     1494.400000       0.014239
     1494.500000       0.014226
     1494.600000       0.014213
     1494.700000       0.014200
     1494.800000       0.014187
     1494.900000       0.014174
     1495.000000       0.015735
     1495.100000       0.017292
     1495.200000       0.017277
     1495.300000       0.018830
     1495.400000       0.018813
     1495.500000       0.018796
     1495.600000       0.018778
     1495.700000       0.018761
     1495.800000       0.018744
     1495.900000       0.018727
     1496.000000       0.020269
     1496.100000       0.020252
     1496.200000       0.021793
     1496.300000       0.023331
     1496.400000       0.023312
     1496.500000       0.023293
     1496.600000       0.023274
     1496.700000       0.024806
     1496.800000       0.026335
     1496.900000       0.026314
     1497.000000       0.024746
     1497.100000       0.024726
     1497.200000       0.026250
     1497.300000       0.027771
     1497.400000       0.027749
     1497.500000       0.029266
     1497.600000       0.030782
     1497.700000       0.030756
     1497.800000       0.030731
     1497.900000       0.030706
     1498.000000       0.032215
     1498.100000       0.033732
     1498.200000       0.035248
     1498.300000       0.035230
     1498.400000       0.035212
     1498.500000       0.035195
     1498.600000       0.036706
     1498.700000       0.038216
     1498.800000       0.038197
     1498.900000       0.038178
     1499.000000       0.038158
     1499.100000       0.039664
     1499.200000       0.041169
     1499.300000       0.041147
     1499.400000       0.042649
     1499.500000       0.044150
     1499.600000       0.044127
     1499.700000       0.045625
     1499.800000       0.047121
     1499.900000       0.045578
     1500.000000       0.047072
     1500.100000       0.050080
     1500.200000       0.050051
     1500.300000       0.050022
     1500.400000       0.051508
     1500.500000       0.052992
     1500.600000       0.054474
     1500.700000       0.054443
     1500.800000       0.054411
     1500.900000       0.057400
     1501.000000       0.060386
     1501.100000       0.061859
     1501.200000       0.061823
     1501.300000       0.061786
     1501.400000       0.063256
     1501.500000       0.066229
     1501.600000       0.066190
     1501.700000       0.067654
     1501.800000       0.069117
     1501.900000       0.069076
     1502.000000       0.069035
     1502.100000       0.073489
     1502.200000       0.086931
     1502.300000       0.100355
     1502.400000       0.100290
     1502.500000       0.101720
     1502.600000       0.101654
     1502.700000       0.110552
     1502.800000       0.119438
     1502.900000       0.125328
     1503.000000       0.129720
     1503.100000       0.131125
     1503.200000       0.134017
     1503.300000       0.136905
     1503.400000       0.139790
     1503.500000       0.148615
     1503.600000       0.160398
     1503.700000       0.169198
     1503.800000       0.173537
     1503.900000       0.176388
     1504.000000       0.182197
     1504.100000       0.189440
     1504.200000       0.198150
     1504.300000       0.202411
     1504.400000       0.202237
     1504.500000       0.203537
     1504.600000       0.204835
     1504.700000       0.206131
     1504.800000       0.208895
     1504.900000       0.221943
     1505.000000       0.236437
     1505.100000       0.239167
     1505.200000       0.241893
     1505.300000       0.246078
     1505.400000       0.248791
     1505.500000       0.270509
     1505.600000       0.289267
     1505.700000       0.291935
     1505.800000       0.291682
     1505.900000       0.292886
     1506.000000       0.311558
     1506.100000       0.336096
     1506.200000       0.350424
     1506.300000       0.351657
     1506.400000       0.351435
     1506.500000       0.352665
     1506.600000       0.368396
     1506.700000       0.378310
     1506.800000       0.389660
     1506.900000       0.405338
     1507.000000       0.435463
     1507.100000       0.474225
     1507.200000       0.498488
     1507.300000       0.508281
     1507.400000       0.513732
     1507.500000       0.523502
     1507.600000       0.537583
     1507.700000       0.548766
     1507.800000       0.551297
     1507.900000       0.556702
     1508.000000       0.562100
     1508.100000       0.583367
     1508.200000       0.598868
     1508.300000       0.607175
     1508.400000       0.615474
     1508.500000       0.625199
     1508.600000       0.637779
     1508.700000       0.646049
     1508.800000       0.645720
     1508.900000       0.646822
     1509.000000       0.647921
     1509.100000       0.653310
     1509.200000       0.655835
     1509.300000       0.668354
     1509.400000       0.693707
     1509.500000       0.713327
     1509.600000       0.714388
     1509.700000       0.715449
     1509.800000       0.716507
     1509.900000       0.717564
     1510.000000       0.718619
     1510.100000       0.723845
     1510.200000       0.723379
     1510.300000       0.731434
     1510.400000       0.749414
     1510.500000       0.765951
     1510.600000       0.773961
     1510.700000       0.774877
     1510.800000       0.775790
     1510.900000       0.775287
     1511.000000       0.784680
     1511.100000       0.789822
     1511.200000       0.796368
     1511.300000       0.817016
     1511.400000       0.843275
     1511.500000       0.859635
     1511.600000       0.870339
     1511.700000       0.879621
     1511.800000       0.890296
     1511.900000       0.895334
     1512.000000       0.897555
     1512.100000       0.898460
     1512.200000       0.903571
     1512.300000       0.911481
     1512.400000       0.917979
     1512.500000       0.918867
     1512.600000       0.925352
     1512.700000       0.943022
     1512.800000       0.956476
     1512.900000       0.955938
     1513.000000       0.956797
     1513.100000       0.957648
     1513.200000       0.962683
     1513.300000       0.967711
     1513.400000       0.971337
     1513.500000       0.974959
     1513.600000       0.979968
     1513.700000       0.984971
     1513.800000       0.987186
     1513.900000       0.989397
     1514.000000       0.991605
     1514.100000       0.992618
     1514.200000       0.993630
     1514.300000       0.993269
     1514.400000       0.994299
     1514.500000       0.995328
     1514.600000       0.996355
     1514.700000       0.995996
     1514.800000       0.994251
     1514.900000       0.993892
     1515.000000       0.993532
     1515.100000       0.993162
     1515.200000       0.992793
     1515.300000       0.992422
     1515.400000       0.993433
     1515.500000       0.991680
     1515.600000       0.989928
     1515.700000       0.988177
     1515.800000       0.985047
     1515.900000       0.983298
     1516.000000       0.981550
     1516.100000       0.978324
     1516.200000       0.976477
     1516.300000       0.974631
     1516.400000       0.972787
     1516.500000       0.970944
     1516.600000       0.970477
     1516.700000       0.967262
     1516.800000       0.964049
     1516.900000       0.959467
     1517.000000       0.957632
     1517.100000       0.955796
     1517.200000       0.953962
     1517.300000       0.949389
     1517.400000       0.944820
     1517.500000       0.941624
     1517.600000       0.939799
     1517.700000       0.936608
     1517.800000       0.932053
     1517.900000       0.928868
     1518.000000       0.927051
     1518.100000       0.924089
     1518.200000       0.919763
     1518.300000       0.916804
     1518.400000       0.913847
     1518.500000       0.909527
     1518.600000       0.905209
     1518.700000       0.900894
     1518.800000       0.896581
     1518.900000       0.892270
     1519.000000       0.887961
     1519.100000       0.883652
     1519.200000       0.880707
     1519.300000       0.876402
     1519.400000       0.872100
     1519.500000       0.869160
     1519.600000       0.866222
     1519.700000       0.863285
     1519.800000       0.860350
     1519.900000       0.858776
     1520.000000       0.858560
     1520.100000       0.858392
     1520.200000       0.855508
     1520.300000       0.852626
     1520.400000       0.849744
     1520.500000       0.848221
     1520.600000       0.846699
     1520.700000       0.845178
     1520.800000       0.845014
     1520.900000       0.844851
     1521.000000       0.844689
     1521.100000       0.844518
     1521.200000       0.842991
     1521.300000       0.842822
     1521.400000       0.842654
     1521.500000       0.843840
     1521.600000       0.843674
     1521.700000       0.843508
     1521.800000       0.843343
     1521.900000       0.843179
     1522.000000       0.843015
     1522.100000       0.843127
     1522.200000       0.843238
     1522.300000       0.843351
     1522.400000       0.843464
     1522.500000       0.844931
     1522.600000       0.846399
     1522.700000       0.847868
     1522.800000       0.847983
     1522.900000       0.849453
     1523.000000       0.850924
     1523.100000       0.851042
     1523.200000       0.851161
     1523.300000       0.851280
     1523.400000       0.851399
     1523.500000       0.851518
     1523.600000       0.851637
     1523.700000       0.851756
     1523.800000       0.853232
     1523.900000       0.854708
     1524.000000       0.853471
     1524.100000       0.854845
     1524.200000       0.856220
     1524.300000       0.856237
     1524.400000       0.856254
