1, METOP-2 Channel 1 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C001.INP
Number of data points:
791
Wavenumber (cm-1)   Filter response
    14050.000000       0.000000
    14055.000000       0.000050
    14060.000000       0.000111
    14065.000000       0.000176
    14070.000000       0.000241
    14075.000000       0.000305
    14080.000000       0.000364
    14085.000000       0.000414
    14090.000000       0.000454
    14095.000000       0.000485
    14100.000000       0.000509
    14105.000000       0.000527
    14110.000000       0.000541
    14115.000000       0.000553
    14120.000000       0.000564
    14125.000000       0.000577
    14130.000000       0.000592
    14135.000000       0.000609
    14140.000000       0.000629
    14145.000000       0.000651
    14150.000000       0.000675
    14155.000000       0.000701
    14160.000000       0.000730
    14165.000000       0.000761
    14170.000000       0.000794
    14175.000000       0.000830
    14180.000000       0.000869
    14185.000000       0.000911
    14190.000000       0.000958
    14195.000000       0.001008
    14200.000000       0.001063
    14205.000000       0.001123
    14210.000000       0.001188
    14215.000000       0.001258
    14220.000000       0.001332
    14225.000000       0.001410
    14230.000000       0.001490
    14235.000000       0.001573
    14240.000000       0.001657
    14245.000000       0.001741
    14250.000000       0.001826
    14255.000000       0.001913
    14260.000000       0.002003
    14265.000000       0.002097
    14270.000000       0.002198
    14275.000000       0.002306
    14280.000000       0.002424
    14285.000000       0.002552
    14290.000000       0.002693
    14295.000000       0.002847
    14300.000000       0.003012
    14305.000000       0.003188
    14310.000000       0.003376
    14315.000000       0.003574
    14320.000000       0.003782
    14325.000000       0.004001
    14330.000000       0.004230
    14335.000000       0.004469
    14340.000000       0.004721
    14345.000000       0.004986
    14350.000000       0.005266
    14355.000000       0.005562
    14360.000000       0.005877
    14365.000000       0.006211
    14370.000000       0.006567
    14375.000000       0.006947
    14380.000000       0.007351
    14385.000000       0.007780
    14390.000000       0.008236
    14395.000000       0.008719
    14400.000000       0.009232
    14405.000000       0.009777
    14410.000000       0.010355
    14415.000000       0.010969
    14420.000000       0.011623
    14425.000000       0.012320
    14430.000000       0.013064
    14435.000000       0.013859
    14440.000000       0.014711
    14445.000000       0.015624
    14450.000000       0.016605
    14455.000000       0.017659
    14460.000000       0.018792
    14465.000000       0.020007
    14470.000000       0.021309
    14475.000000       0.022705
    14480.000000       0.024201
    14485.000000       0.025804
    14490.000000       0.027522
    14495.000000       0.029366
    14500.000000       0.031342
    14505.000000       0.033461
    14510.000000       0.035730
    14515.000000       0.038161
    14520.000000       0.040766
    14525.000000       0.043558
    14530.000000       0.046552
    14535.000000       0.049763
    14540.000000       0.053210
    14545.000000       0.056906
    14550.000000       0.060867
    14555.000000       0.065110
    14560.000000       0.069654
    14565.000000       0.074521
    14570.000000       0.079737
    14575.000000       0.085328
    14580.000000       0.091325
    14585.000000       0.097754
    14590.000000       0.104642
    14595.000000       0.112015
    14600.000000       0.119908
    14605.000000       0.128357
    14610.000000       0.137403
    14615.000000       0.147092
    14620.000000       0.157475
    14625.000000       0.168602
    14630.000000       0.180510
    14635.000000       0.193233
    14640.000000       0.206814
    14645.000000       0.221303
    14650.000000       0.236755
    14655.000000       0.253237
    14660.000000       0.270819
    14665.000000       0.289580
    14670.000000       0.309511
    14675.000000       0.330501
    14680.000000       0.352443
    14685.000000       0.375235
    14690.000000       0.398784
    14695.000000       0.423003
    14700.000000       0.447809
    14705.000000       0.473125
    14710.000000       0.498866
    14715.000000       0.524887
    14720.000000       0.551014
    14725.000000       0.577076
    14730.000000       0.602900
    14735.000000       0.628311
    14740.000000       0.653131
    14745.000000       0.677178
    14750.000000       0.700264
    14755.000000       0.722231
    14760.000000       0.743012
    14765.000000       0.762549
    14770.000000       0.780771
    14775.000000       0.797598
    14780.000000       0.812939
    14785.000000       0.826691
    14790.000000       0.838738
    14795.000000       0.848955
    14800.000000       0.857346
    14805.000000       0.864075
    14810.000000       0.869305
    14815.000000       0.873187
    14820.000000       0.875861
    14825.000000       0.877456
    14830.000000       0.878095
    14835.000000       0.877892
    14840.000000       0.876954
    14845.000000       0.875380
    14850.000000       0.873265
    14855.000000       0.870696
    14860.000000       0.867759
    14865.000000       0.864536
    14870.000000       0.861107
    14875.000000       0.857552
    14880.000000       0.853946
    14885.000000       0.850362
    14890.000000       0.846833
    14895.000000       0.843377
    14900.000000       0.840012
    14905.000000       0.836755
    14910.000000       0.833626
    14915.000000       0.830647
    14920.000000       0.827838
    14925.000000       0.825222
    14930.000000       0.822819
    14935.000000       0.820629
    14940.000000       0.818643
    14945.000000       0.816858
    14950.000000       0.815269
    14955.000000       0.813875
    14960.000000       0.812675
    14965.000000       0.811670
    14970.000000       0.810864
    14975.000000       0.810257
    14980.000000       0.809847
    14985.000000       0.809628
    14990.000000       0.809597
    14995.000000       0.809751
    15000.000000       0.810092
    15005.000000       0.810620
    15010.000000       0.811337
    15015.000000       0.812248
    15020.000000       0.813353
    15025.000000       0.814631
    15030.000000       0.816056
    15035.000000       0.817604
    15040.000000       0.819253
    15045.000000       0.820979
    15050.000000       0.822761
    15055.000000       0.824577
    15060.000000       0.826407
    15065.000000       0.828232
    15070.000000       0.830051
    15075.000000       0.831867
    15080.000000       0.833682
    15085.000000       0.835499
    15090.000000       0.837321
    15095.000000       0.839150
    15100.000000       0.840989
    15105.000000       0.842842
    15110.000000       0.844712
    15115.000000       0.846615
    15120.000000       0.848571
    15125.000000       0.850600
    15130.000000       0.852724
    15135.000000       0.854962
    15140.000000       0.857339
    15145.000000       0.859878
    15150.000000       0.862603
    15155.000000       0.865537
    15160.000000       0.868665
    15165.000000       0.871953
    15170.000000       0.875363
    15175.000000       0.878862
    15180.000000       0.882417
    15185.000000       0.885994
    15190.000000       0.889561
    15195.000000       0.893085
    15200.000000       0.896533
    15205.000000       0.899893
    15210.000000       0.903173
    15215.000000       0.906384
    15220.000000       0.909533
    15225.000000       0.912628
    15230.000000       0.915677
    15235.000000       0.918687
    15240.000000       0.921665
    15245.000000       0.924617
    15250.000000       0.927545
    15255.000000       0.930438
    15260.000000       0.933283
    15265.000000       0.936067
    15270.000000       0.938777
    15275.000000       0.941399
    15280.000000       0.943918
    15285.000000       0.946319
    15290.000000       0.948584
    15295.000000       0.950703
    15300.000000       0.952690
    15305.000000       0.954568
    15310.000000       0.956362
    15315.000000       0.958093
    15320.000000       0.959784
    15325.000000       0.961455
    15330.000000       0.963129
    15335.000000       0.964827
    15340.000000       0.966569
    15345.000000       0.968359
    15350.000000       0.970184
    15355.000000       0.972029
    15360.000000       0.973880
    15365.000000       0.975725
    15370.000000       0.977549
    15375.000000       0.979338
    15380.000000       0.981078
    15385.000000       0.982755
    15390.000000       0.984356
    15395.000000       0.985883
    15400.000000       0.987338
    15405.000000       0.988722
    15410.000000       0.990035
    15415.000000       0.991279
    15420.000000       0.992454
    15425.000000       0.993558
    15430.000000       0.994590
    15435.000000       0.995549
    15440.000000       0.996431
    15445.000000       0.997231
    15450.000000       0.997945
    15455.000000       0.998565
    15460.000000       0.999085
    15465.000000       0.999498
    15470.000000       0.999794
    15475.000000       0.999965
    15480.000000       1.000000
    15485.000000       0.999894
    15490.000000       0.999663
    15495.000000       0.999328
    15500.000000       0.998909
    15505.000000       0.998425
    15510.000000       0.997896
    15515.000000       0.997340
    15520.000000       0.996774
    15525.000000       0.996218
    15530.000000       0.995689
    15535.000000       0.995194
    15540.000000       0.994727
    15545.000000       0.994280
    15550.000000       0.993846
    15555.000000       0.993417
    15560.000000       0.992986
