3, METOP-2 Channel 3A visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C03A.INP
Number of data points:
123
Wavenumber (cm-1)   Filter response
     5910.000000       0.000000
     5915.000000       0.000079
     5920.000000       0.000068
     5925.000000       0.000167
     5930.000000       0.000148
     5935.000000       0.000113
     5940.000000       0.000134
     5945.000000       0.000176
     5950.000000       0.000257
     5955.000000       0.000355
     5960.000000       0.000365
     5965.000000       0.000437
     5970.000000       0.000510
     5975.000000       0.000614
     5980.000000       0.000734
     5985.000000       0.000731
     5990.000000       0.000954
     5995.000000       0.001094
     6000.000000       0.001218
     6005.000000       0.001419
     6010.000000       0.001725
     6015.000000       0.002032
     6020.000000       0.002420
     6025.000000       0.003015
     6030.000000       0.003660
     6035.000000       0.004391
     6040.000000       0.005679
     6045.000000       0.006979
     6050.000000       0.008849
     6055.000000       0.011301
     6060.000000       0.014660
     6065.000000       0.018499
     6070.000000       0.024676
     6075.000000       0.032713
     6080.000000       0.044267
     6085.000000       0.059396
     6090.000000       0.080536
     6095.000000       0.112539
     6100.000000       0.153506
     6105.000000       0.213757
     6110.000000       0.300327
     6115.000000       0.405100
     6120.000000       0.544055
     6125.000000       0.709291
     6130.000000       0.885537
     6135.000000       0.934322
     6140.000000       0.952420
     6145.000000       0.965741
     6150.000000       0.975969
     6155.000000       0.978795
     6160.000000       0.979615
     6165.000000       0.976635
     6170.000000       0.978663
     6175.000000       0.976872
     6180.000000       0.974906
     6185.000000       0.977036
     6190.000000       0.977310
     6195.000000       0.979881
     6200.000000       0.979622
     6205.000000       0.982559
     6210.000000       0.986498
     6215.000000       0.983861
     6220.000000       0.987907
     6225.000000       0.987186
     6230.000000       1.000000
     6235.000000       0.988334
     6240.000000       0.988926
     6245.000000       0.989579
     6250.000000       0.984909
     6255.000000       0.983905
     6260.000000       0.979494
     6265.000000       0.983186
     6270.000000       0.980919
     6275.000000       0.983910
     6280.000000       0.982940
     6285.000000       0.981310
     6290.000000       0.980769
     6295.000000       0.982850
     6300.000000       0.981347
     6305.000000       0.973170
     6310.000000       0.962338
     6315.000000       0.944937
     6320.000000       0.921905
     6325.000000       0.874646
     6330.000000       0.685906
     6335.000000       0.532539
     6340.000000       0.391961
     6345.000000       0.284913
     6350.000000       0.201918
     6355.000000       0.146651
     6360.000000       0.104655
     6365.000000       0.075715
     6370.000000       0.053913
     6375.000000       0.039934
     6380.000000       0.029288
     6385.000000       0.021646
     6390.000000       0.016406
     6395.000000       0.011965
     6400.000000       0.009253
     6405.000000       0.006833
     6410.000000       0.005380
     6415.000000       0.004075
     6420.000000       0.003134
     6425.000000       0.002404
     6430.000000       0.001790
     6435.000000       0.001365
     6440.000000       0.000973
     6445.000000       0.000759
     6450.000000       0.000667
     6455.000000       0.000512
     6460.000000       0.000498
     6465.000000       0.000282
     6470.000000       0.000265
     6475.000000       0.000145
     6480.000000       0.000165
     6485.000000       0.000128
     6490.000000       0.000176
     6495.000000       0.000096
     6500.000000       0.000087
     6505.000000       0.000009
     6510.000000       0.000076
     6515.000000       0.000016
     6520.000000       0.000000
