4  ,metop_02_hirs_04.flt  shift of -0.15cm-1 applied
Number of data points:
364
Wavenumber (cm-1)   Filter response
      683.050000       0.000000
      683.150000       0.002179
      683.250000       0.002216
      683.350000       0.002276
      683.450000       0.002359
      683.550000       0.002466
      683.650000       0.002595
      683.750000       0.002746
      683.850000       0.002915
      683.950000       0.003098
      684.050000       0.003292
      684.150000       0.003494
      684.250000       0.003700
      684.350000       0.003906
      684.450000       0.004109
      684.550000       0.004306
      684.650000       0.004494
      684.750000       0.004672
      684.850000       0.004841
      684.950000       0.005001
      685.050000       0.005154
      685.150000       0.005303
      685.250000       0.005452
      685.350000       0.005607
      685.450000       0.005772
      685.550000       0.005953
      685.650000       0.006156
      685.750000       0.006386
      685.850000       0.006646
      685.950000       0.006949
      686.050000       0.007288
      686.150000       0.007665
      686.250000       0.008079
      686.350000       0.008525
      686.450000       0.009002
      686.550000       0.009502
      686.650000       0.010019
      686.750000       0.010546
      686.850000       0.011074
      686.950000       0.011596
      687.050000       0.012105
      687.150000       0.012593
      687.250000       0.013056
      687.350000       0.013491
      687.450000       0.013897
      687.550000       0.014275
      687.650000       0.014629
      687.750000       0.014964
      687.850000       0.015289
      687.950000       0.015608
      688.050000       0.015939
      688.150000       0.016294
      688.250000       0.016688
      688.350000       0.017135
      688.450000       0.017649
      688.550000       0.018245
      688.650000       0.015949
      688.750000       0.016322
      688.850000       0.016921
      688.950000       0.017770
      689.050000       0.018880
      689.150000       0.020255
      689.250000       0.021889
      689.350000       0.023763
      689.450000       0.025856
      689.550000       0.028137
      689.650000       0.030574
      689.750000       0.033136
      689.850000       0.035793
      689.950000       0.038511
      690.050000       0.041284
      690.150000       0.044104
      690.250000       0.046976
      690.350000       0.049915
      690.450000       0.052949
      690.550000       0.056113
      690.650000       0.059448
      690.750000       0.063002
      690.850000       0.066829
      690.950000       0.070978
      691.050000       0.075503
      691.150000       0.080451
      691.250000       0.085869
      691.350000       0.091795
      691.450000       0.098266
      691.550000       0.105310
      691.650000       0.112960
      691.750000       0.121240
      691.850000       0.130180
      691.950000       0.139830
      692.050000       0.150200
      692.150000       0.161330
      692.250000       0.173270
      692.350000       0.186050
      692.450000       0.199740
      692.550000       0.214380
      692.650000       0.230000
      692.750000       0.246650
      692.850000       0.264360
      692.950000       0.283150
      693.050000       0.303010
      693.150000       0.323930
      693.250000       0.345890
      693.350000       0.368820
      693.450000       0.392640
      693.550000       0.417270
      693.650000       0.442580
      693.750000       0.468450
      693.850000       0.494740
      693.950000       0.521210
      694.050000       0.547780
      694.150000       0.574300
      694.250000       0.600600
      694.350000       0.626570
      694.450000       0.652030
      694.550000       0.676860
      694.650000       0.700930
      694.750000       0.724110
      694.850000       0.746310
      694.950000       0.767420
      695.050000       0.787370
      695.150000       0.806070
      695.250000       0.823460
      695.350000       0.839460
      695.450000       0.854050
      695.550000       0.867170
      695.650000       0.878810
      695.750000       0.888940
      695.850000       0.897590
      695.950000       0.904250
      696.050000       0.909480
      696.150000       0.913340
      696.250000       0.915920
      696.350000       0.917320
      696.450000       0.917630
      696.550000       0.916980
      696.650000       0.915490
      696.750000       0.913310
      696.850000       0.910580
      696.950000       0.907420
      697.050000       0.903970
      697.150000       0.900340
      697.250000       0.896640
      697.350000       0.892950
      697.450000       0.889340
      697.550000       0.885880
      697.650000       0.882600
      697.750000       0.879540
      697.850000       0.876720
      697.950000       0.874540
      698.050000       0.872630
      698.150000       0.870990
      698.250000       0.869660
      698.350000       0.868620
      698.450000       0.867900
      698.550000       0.867500
      698.650000       0.867460
      698.750000       0.867790
      698.850000       0.868510
      698.950000       0.869650
      699.050000       0.871210
      699.150000       0.873190
      699.250000       0.875580
      699.350000       0.878360
      699.450000       0.881500
      699.550000       0.884950
      699.650000       0.888670
      699.750000       0.892600
      699.850000       0.896660
      699.950000       0.900980
      700.050000       0.905320
      700.150000       0.909630
      700.250000       0.913860
      700.350000       0.917960
      700.450000       0.921890
      700.550000       0.925650
      700.650000       0.929210
      700.750000       0.932570
      700.850000       0.935740
      700.950000       0.938720
      701.050000       0.941540
      701.150000       0.944190
      701.250000       0.946690
      701.350000       0.949040
      701.450000       0.951240
      701.550000       0.953280
      701.650000       0.955140
      701.750000       0.956820
      701.850000       0.958290
      701.950000       0.959050
      702.050000       0.959570
      702.150000       0.959830
      702.250000       0.959820
      702.350000       0.959520
      702.450000       0.958970
      702.550000       0.958160
      702.650000       0.957130
      702.750000       0.955900
      702.850000       0.954530
      702.950000       0.953030
      703.050000       0.951460
      703.150000       0.949880
      703.250000       0.948320
      703.350000       0.946820
      703.450000       0.945410
      703.550000       0.944120
      703.650000       0.942960
      703.750000       0.941960
      703.850000       0.941110
      703.950000       0.940640
      704.050000       0.940360
      704.150000       0.940250
      704.250000       0.940310
      704.350000       0.940550
      704.450000       0.940980
      704.550000       0.941610
      704.650000       0.942450
      704.750000       0.943530
      704.850000       0.944860
      704.950000       0.946460
      705.050000       0.948350
      705.150000       0.950550
      705.250000       0.953050
      705.350000       0.955850
      705.450000       0.958960
      705.550000       0.962330
      705.650000       0.965940
      705.750000       0.969750
      705.850000       0.973700
      705.950000       0.977630
      706.050000       0.981550
      706.150000       0.985360
      706.250000       0.988960
      706.350000       0.992250
      706.450000       0.995120
      706.550000       0.997440
      706.650000       0.999110
      706.750000       1.000000
      706.850000       0.999990
      706.950000       0.998980
      707.050000       0.996840
      707.150000       0.993480
      707.250000       0.988800
      707.350000       0.982710
      707.450000       0.975150
      707.550000       0.966060
      707.650000       0.955390
      707.750000       0.943120
      707.850000       0.929250
      707.950000       0.913570
      708.050000       0.896340
      708.150000       0.877620
      708.250000       0.857470
      708.350000       0.835980
      708.450000       0.813240
      708.550000       0.789370
      708.650000       0.764490
      708.750000       0.738720
