 2    ,Model PFM  Channel  VIS 0.8  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
50
Wavenumber (cm-1)   Filter response
    11363.636400       0.000554
    11399.908800       0.000682
    11436.413500       0.000824
    11473.152800       0.001091
    11510.128900       0.001429
    11547.344100       0.002017
    11584.800700       0.003115
    11622.501200       0.004608
    11660.447800       0.005236
    11698.643000       0.011728
    11737.089200       0.020885
    11775.789000       0.041770
    11814.744800       0.089005
    11853.959200       0.189765
    11893.434800       0.365512
    11933.174200       0.588573
    11973.180100       0.769201
    12013.455100       0.860135
    12054.001900       0.887406
    12094.823400       0.894897
    12135.922300       0.901810
    12177.301500       0.910877
    12218.963800       0.919282
    12260.912200       0.926782
    12303.149600       0.935735
    12345.679000       0.944973
    12388.503500       0.953664
    12431.626100       0.965349
    12475.049900       0.976780
    12518.778200       0.978804
    12562.814100       0.979877
    12607.160900       0.983212
    12651.821900       0.989660
    12696.800400       1.000000
    12742.099900       0.952414
    12787.723800       0.736478
    12833.675600       0.399134
    12879.958800       0.160884
    12926.577000       0.053943
    12973.534000       0.020439
    13020.833300       0.009125
    13068.478800       0.008143
    13116.474300       0.004828
    13164.823600       0.002805
    13213.530700       0.001596
    13262.599500       0.001032
    13312.034100       0.000216
    13361.838600       0.000161
    13412.017200       0.000121
    13462.574000       0.000093
