 3    ,Model PFM  Channel  NIR 1.6  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
57
Wavenumber (cm-1)   Filter response
     5635.707800       0.000122
     5653.550400       0.000193
     5671.506400       0.000295
     5689.576700       0.000475
     5707.762600       0.000771
     5726.065000       0.001381
     5744.485300       0.002532
     5763.024400       0.004562
     5781.683600       0.008795
     5800.464000       0.017623
     5819.366900       0.043145
     5838.393300       0.101392
     5857.544500       0.198719
     5876.821800       0.367700
     5896.226400       0.576576
     5915.759600       0.752779
     5935.422600       0.866106
     5955.216800       0.929000
     5975.143400       0.966085
     5995.203800       0.976050
     6015.399400       0.987027
     6035.731500       0.994366
     6056.201600       0.995329
     6076.810900       0.990739
     6097.561000       0.984146
     6118.453300       0.978094
     6139.489200       0.976263
     6160.670300       0.980661
     6181.998000       0.988698
     6203.473900       0.998110
     6225.099600       1.000000
     6246.876600       0.995708
     6268.806400       0.989372
     6290.890800       0.992639
     6313.131300       0.967102
     6335.529700       0.801917
     6358.087500       0.514725
     6380.806500       0.285295
     6403.688500       0.107268
     6426.735200       0.046524
     6449.948400       0.023323
     6473.329900       0.012543
     6496.881500       0.006933
     6520.605100       0.004806
     6544.502600       0.002505
     6568.575900       0.002440
     6592.827000       0.001556
     6617.257800       0.001198
     6641.870400       0.001183
     6666.666700       0.001269
     6691.648800       0.000953
     6716.818900       0.000823
     6742.179100       0.000747
     6767.731500       0.000686
     6793.478300       0.000662
     6819.421700       0.000645
     6845.564100       0.000559
