    3 , msg_01_seviri_03.flt
Number of data points:
61
Wavenumber (cm-1)   Filter response
     1264.223000       0.002520
     1267.427000       0.003470
     1270.648000       0.004590
     1273.885000       0.005680
     1277.139000       0.008160
     1280.410000       0.014290
     1283.697000       0.020640
     1287.001000       0.028930
     1290.323000       0.042200
     1293.661000       0.058950
     1297.017000       0.080860
     1300.390000       0.114140
     1303.781000       0.155800
     1307.190000       0.212840
     1310.616000       0.285370
     1314.061000       0.378370
     1317.523000       0.485430
     1321.004000       0.604800
     1324.503000       0.718720
     1328.021000       0.815790
     1331.558000       0.885430
     1335.114000       0.935810
     1338.688000       0.969660
     1342.282000       0.988140
     1345.895000       0.998690
     1349.528000       1.000000
     1353.180000       0.988780
     1356.852000       0.984830
     1360.544000       0.970390
     1364.256000       0.982320
     1367.989000       0.976970
     1371.742000       0.988730
     1375.516000       0.997870
     1379.310000       0.987020
     1383.126000       0.973290
     1386.963000       0.922210
     1390.821000       0.882510
     1394.700000       0.775680
     1398.601000       0.670660
     1402.525000       0.537290
     1406.470000       0.418180
     1410.437000       0.309380
     1414.427000       0.224640
     1418.440000       0.158770
     1422.475000       0.110470
     1426.534000       0.074830
     1430.615000       0.049920
     1434.720000       0.037450
     1438.849000       0.027970
     1443.001000       0.016630
     1447.178000       0.013660
     1451.379000       0.007330
     1455.604000       0.006180
     1459.854000       0.003120
     1464.129000       0.006590
     1468.429000       0.003420
     1472.754000       0.003360
     1545.595000       0.001050
     1550.388000       0.001120
     1569.859000       0.001010
     1574.803000       0.001430
