12    ,Model PFM  Channel  HRV  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS TRUNCATED AT 25500cm-1
Number of data points:
154
Wavenumber (cm-1)   Filter response
     7680.491600       0.001354
     7716.049400       0.001437
     7751.938000       0.001519
     7788.162000       0.001601
     7824.726100       0.001690
     7861.635200       0.001792
     7898.894200       0.001893
     7936.507900       0.002011
     7974.481700       0.002138
     8012.820500       0.002266
     8051.529800       0.002405
     8090.614900       0.002550
     8130.081300       0.002708
     8169.934600       0.002874
     8210.180600       0.003053
     8250.825100       0.003246
     8291.874000       0.003463
     8333.333300       0.003691
     8375.209400       0.003915
     8417.508400       0.004178
     8460.236900       0.004480
     8503.401400       0.004773
     8547.008500       0.005097
     8591.065300       0.005444
     8635.578600       0.005836
     8680.555600       0.006273
     8726.003500       0.006712
     8771.929800       0.007204
     8818.342200       0.007737
     8865.248200       0.008293
     8912.656000       0.008937
     8960.573500       0.009614
     9009.009000       0.010353
     9057.971000       0.011162
     9107.468100       0.012500
     9157.509200       0.014702
     9208.103100       0.017119
     9259.259300       0.020311
     9310.987000       0.023527
     9363.295900       0.027111
     9416.195900       0.032449
     9469.697000       0.039987
     9523.809500       0.047681
     9578.544100       0.056278
     9633.911400       0.066442
     9689.922500       0.078874
     9746.588700       0.090528
     9803.921600       0.102881
     9861.932900       0.117104
     9920.634900       0.134997
     9980.039900       0.155671
    10040.160600       0.175328
    10101.010100       0.194645
    10162.601600       0.215093
    10224.948900       0.237331
    10288.065800       0.261040
    10351.966900       0.284263
    10416.666700       0.308753
    10482.180300       0.334990
    10548.523200       0.362163
    10615.711300       0.388594
    10683.760700       0.415119
    10752.688200       0.443789
    10822.510800       0.471441
    10893.246200       0.499388
    10964.912300       0.526712
    11037.527600       0.552848
    11111.111100       0.579389
    11185.682300       0.604095
    11261.261300       0.630694
    11337.868500       0.660844
    11415.525100       0.689383
    11494.252900       0.715657
    11574.074100       0.741379
    11655.011700       0.765213
    11737.089200       0.793131
    11820.331000       0.819670
    11904.761900       0.843129
    11990.407700       0.863227
    12077.294700       0.880095
    12165.450100       0.899854
    12254.902000       0.915598
    12345.679000       0.928404
    12437.810900       0.939594
    12531.328300       0.945821
    12626.262600       0.952073
    12722.646300       0.951269
    12820.512800       0.956045
    12919.896600       0.970805
    13020.833300       0.984245
    13123.359600       0.989797
    13227.513200       0.995297
    13333.333300       0.997296
    13440.860200       1.000000
    13550.135500       0.997310
    13661.202200       0.993662
    13774.104700       0.991732
    13888.888900       0.989315
    14005.602200       0.988057
    14124.293800       0.987097
    14245.014200       0.979786
    14367.816100       0.976250
    14492.753600       0.973780
    14619.883000       0.974966
    14749.262500       0.974887
    14880.952400       0.962713
    15015.015000       0.953318
    15151.515200       0.946811
    15290.519900       0.939528
    15432.098800       0.931179
    15576.324000       0.924152
    15723.270400       0.915452
    15873.015900       0.904216
    16025.641000       0.894505
    16181.229800       0.885887
    16339.869300       0.876676
    16501.650200       0.863756
    16666.666700       0.850145
    16835.016800       0.839061
    17006.802700       0.826856
    17182.130600       0.813160
    17361.111100       0.798440
    17543.859600       0.784086
    17730.496500       0.767009
    17921.147000       0.747678
    18115.942000       0.726202
    18315.018300       0.706137
    18518.518500       0.685283
    18726.591800       0.666890
    18939.393900       0.649814
    19157.088100       0.632647
    19379.845000       0.614108
    19607.843100       0.594507
    19841.269800       0.576281
    20080.321300       0.555950
    20325.203300       0.531820
    20576.131700       0.510287
    20833.333300       0.488207
    21097.046400       0.468110
    21367.521400       0.445254
    21645.021600       0.420439
    21929.824600       0.391659
    22222.222200       0.362608
    22522.522500       0.333668
    22831.050200       0.299770
    23148.148100       0.271374
    23474.178400       0.242321
    23809.523800       0.217507
    24154.589400       0.187162
    24509.803900       0.156751
    24875.621900       0.131080
    25252.525300       0.107329
    25494.000000       0.084700
    25495.000000       0.000000
