 1    ,msg_02_seviri_01.flt ,   from EUMETSAT SRC_FM2_01.xls  T 95K truncated at 3100cm-1
Number of data points:
90
Wavenumber (cm-1)   Filter response
     2083.333300       0.000001
     2091.000300       0.000051
     2098.724000       0.000155
     2106.504900       0.000001
     2114.343700       0.000022
     2122.241100       0.000062
     2130.197700       0.000142
     2138.214200       0.000002
     2146.291200       0.000003
     2154.429500       0.000109
     2162.629800       0.000213
     2170.892700       0.000566
     2179.219000       0.000593
     2187.609400       0.000245
     2196.064700       0.000177
     2204.585500       0.000318
     2213.172800       0.000053
     2221.827200       0.000141
     2230.549600       0.001643
     2239.340700       0.002698
     2248.201400       0.004898
     2257.132500       0.002718
     2266.134900       0.002494
     2275.209300       0.004838
     2284.356700       0.010846
     2293.578000       0.005539
     2302.874000       0.008308
     2312.245700       0.013313
     2321.693900       0.028932
     2331.219700       0.046962
     2340.824000       0.068516
     2350.507700       0.117518
     2360.271900       0.226855
     2370.117600       0.369935
     2380.045700       0.516706
     2390.057400       0.670480
     2400.153600       0.818419
     2410.335500       0.900036
     2420.604200       0.959491
     2430.960700       0.960837
     2441.406300       0.963597
     2451.941900       0.977563
     2462.569000       0.998380
     2473.288500       0.998031
     2484.101700       0.993736
     2495.010000       0.984225
     2506.014400       0.998880
     2517.116400       1.000000
     2528.317200       0.990871
     2539.618000       0.975207
     2551.020400       0.968392
     2562.525600       0.973214
     2574.135100       0.975407
     2585.850200       0.957279
     2597.672500       0.968694
     2609.603300       0.978200
     2621.644300       0.973650
     2633.796900       0.981804
     2646.062700       0.971176
     2658.443200       0.972167
     2670.940200       0.960460
     2683.555200       0.940639
     2696.289900       0.924033
     2709.146100       0.916043
     2722.125400       0.879903
     2735.229800       0.811953
     2748.460900       0.669838
     2761.820600       0.460774
     2775.310800       0.268200
     2788.933500       0.134857
     2802.690600       0.064006
     2816.584000       0.033176
     2830.615900       0.012434
     2844.788300       0.006221
     2859.103400       0.002534
     2873.563200       0.000018
     2888.170100       0.004631
     2902.926100       0.000179
     2917.833800       0.001014
     2932.895400       0.001289
     2948.113200       0.000049
     2963.489800       0.000677
     2979.027600       0.002444
     2994.729300       0.002630
     3010.597300       0.000639
     3026.634400       0.001705
     3042.843200       0.001039
     3059.226600       0.000128
     3075.787400       0.000295
     3092.528500       0.000881
