 4    ,msg_02_seviri_04.flt ,   from EUMETSAT SRC_FM2_01.xls  T 95K
Number of data points:
101
Wavenumber (cm-1)   Filter response
     1052.631600       0.000403
     1054.407400       0.000370
     1056.189300       0.000139
     1057.977100       0.000356
     1059.771100       0.000463
     1061.571100       0.000537
     1063.377300       0.000707
     1065.189600       0.000666
     1067.008100       0.000496
     1068.832800       0.000481
     1070.663800       0.000531
     1072.501100       0.000516
     1074.344600       0.000829
     1076.194600       0.000691
     1078.050900       0.000594
     1079.913600       0.000920
     1081.782800       0.000898
     1083.658400       0.000832
     1085.540600       0.000795
     1087.429300       0.000928
     1089.324600       0.001424
     1091.226500       0.002041
     1093.135100       0.001657
     1095.050400       0.001060
     1096.972400       0.001486
     1098.901100       0.007352
     1100.836600       0.004202
     1102.779000       0.005067
     1104.728200       0.010595
     1106.684400       0.011974
     1108.647500       0.019441
     1110.617500       0.030833
     1112.594600       0.047467
     1114.578700       0.079712
     1116.569900       0.114988
     1118.568200       0.155255
     1120.573700       0.226598
     1122.586400       0.356988
     1124.606400       0.510338
     1126.633600       0.693196
     1128.668200       0.857819
     1130.710100       0.948329
     1132.759400       1.000000
     1134.816200       0.974243
     1136.880400       0.906782
     1138.952200       0.875866
     1141.031500       0.864508
     1143.118400       0.851950
     1145.213000       0.848662
     1147.315300       0.832397
     1149.425300       0.823179
     1151.543100       0.821216
     1153.668700       0.828840
     1155.802100       0.824944
     1157.943500       0.843060
     1160.092800       0.868057
     1162.250100       0.837225
     1164.415500       0.823192
     1166.588900       0.783753
     1168.770500       0.714293
     1170.960200       0.579419
     1173.158100       0.457288
     1175.364400       0.348138
     1177.578900       0.247468
     1179.801800       0.169248
     1182.033100       0.099939
     1184.272900       0.072920
     1186.521100       0.042042
     1188.777900       0.021144
     1191.043400       0.012363
     1193.317400       0.006279
     1195.600200       0.004593
     1197.891700       0.004856
     1200.192000       0.004597
     1202.501200       0.005724
     1204.819300       0.008069
     1207.146300       0.000619
     1209.482300       0.000670
     1211.827400       0.000600
     1214.181600       0.000857
     1216.545000       0.000802
     1218.917600       0.000808
     1221.299500       0.000016
     1223.690700       0.000016
     1226.091200       0.000500
     1228.501200       0.000389
     1230.920700       0.000015
     1233.349800       0.000015
     1235.788400       0.000030
     1238.236800       0.001062
     1240.694800       0.000017
     1243.162600       0.000816
     1245.640300       0.000017
     1248.127800       0.000017
     1250.625300       0.000371
     1253.132800       0.000301
     1255.650400       0.000338
     1258.178200       0.000425
     1260.716100       0.000403
     1263.264300       0.000330
     1265.822800       0.000377
