 3    ,Model	FM3	Channel	NIR1.6	EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
69
Wavenumber (cm-1)   Filter response
     5513.895000       0.000077
     5530.973500       0.000063
     5548.158000       0.000053
     5565.449700       0.000058
     5582.849500       0.000078
     5600.358400       0.000104
     5617.977500       0.000138
     5635.707800       0.000184
     5653.550400       0.000302
     5671.506400       0.000458
     5689.576700       0.000703
     5707.762600       0.001135
     5726.065000       0.001973
     5744.485300       0.003650
     5763.024400       0.006843
     5781.683600       0.013209
     5800.464000       0.026743
     5819.366900       0.056137
     5838.393300       0.121120
     5857.544500       0.250750
     5876.821800       0.456738
     5896.226400       0.669139
     5915.759600       0.817424
     5935.422600       0.902891
     5955.216800       0.952178
     5975.143400       0.981537
     5995.203800       0.984745
     6015.399400       0.990771
     6035.731500       0.996726
     6056.201600       1.000000
     6076.810900       0.994072
     6097.561000       0.984020
     6118.453300       0.976423
     6139.489200       0.973549
     6160.670300       0.975599
     6181.998000       0.982903
     6203.473900       0.984005
     6225.099600       0.976806
     6246.876600       0.965026
     6268.806400       0.961218
     6290.890800       0.960967
     6313.131300       0.891898
     6335.529700       0.641131
     6358.087500       0.334032
     6380.806500       0.150409
     6403.688500       0.068393
     6426.735200       0.032833
     6449.948400       0.016898
     6473.329900       0.009258
     6496.881500       0.005486
     6520.605100       0.003561
     6544.502600       0.002415
     6568.575900       0.001810
     6592.827000       0.001422
     6617.257800       0.001151
     6641.870400       0.000943
     6666.666700       0.000824
     6691.648800       0.000716
     6716.818900       0.000665
     6742.179100       0.000589
     6767.731500       0.000657
     6793.478300       0.000634
     6819.421700       0.000619
     6845.564100       0.000540
     6871.907600       0.000450
     6898.454700       0.000378
     6925.207800       0.000291
     6952.169100       0.000220
     6979.341200       0.000194
