 4    ,Model	FM3	Channel	IR8.7	 Temperature (K)	95	EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
101
Wavenumber (cm-1)   Filter response
     1052.631600       0.000372
     1054.407400       0.000333
     1056.189300       0.000130
     1057.977100       0.000325
     1059.771100       0.000416
     1061.571100       0.000486
     1063.377300       0.000647
     1065.189600       0.000627
     1067.008100       0.000474
     1068.832800       0.000460
     1070.663800       0.000510
     1072.501100       0.000479
     1074.344600       0.000769
     1076.194600       0.000629
     1078.050900       0.000544
     1079.913600       0.000851
     1081.782800       0.000840
     1083.658400       0.000780
     1085.540600       0.000719
     1087.429300       0.008487
     1089.324600       0.005640
     1091.226500       0.001280
     1093.135100       0.004665
     1095.050400       0.004172
     1096.972400       0.005792
     1098.901100       0.001873
     1100.836600       0.003743
     1102.779000       0.004791
     1104.728200       0.014671
     1106.684400       0.004347
     1108.647500       0.004423
     1110.617500       0.035190
     1112.594600       0.052727
     1114.578700       0.078802
     1116.569900       0.113276
     1118.568200       0.170013
     1120.573700       0.266628
     1122.586400       0.403901
     1124.606400       0.569120
     1126.633600       0.714935
     1128.668200       0.852174
     1130.710100       0.965928
     1132.759400       1.000000
     1134.816200       0.974153
     1136.880400       0.937819
     1138.952200       0.933581
     1141.031500       0.925122
     1143.118400       0.875924
     1145.213000       0.832587
     1147.315300       0.841998
     1149.425300       0.869131
     1151.543100       0.870357
     1153.668700       0.884126
     1155.802100       0.892267
     1157.943500       0.890328
     1160.092800       0.893977
     1162.250100       0.872344
     1164.415500       0.825800
     1166.588900       0.758060
     1168.770500       0.674874
     1170.960200       0.543971
     1173.158100       0.450633
     1175.364400       0.318354
     1177.578900       0.208739
     1179.801800       0.138423
     1182.033100       0.078906
     1184.272900       0.052353
     1186.521100       0.030226
     1188.777900       0.009969
     1191.043400       0.017534
     1193.317400       0.002092
     1195.600200       0.013586
     1197.891700       0.018055
     1200.192000       0.008967
     1202.501200       0.010908
     1204.819300       0.014774
     1207.146300       0.000627
     1209.482300       0.000695
     1211.827400       0.000639
     1214.181600       0.000911
     1216.545000       0.000852
     1218.917600       0.000846
     1221.299500       0.000016
     1223.690700       0.000016
     1226.091200       0.000706
     1228.501200       0.000559
     1230.920700       0.000016
     1233.349800       0.000016
     1235.788400       0.000025
     1238.236800       0.000659
     1240.694800       0.000016
     1243.162600       0.000980
     1245.640300       0.000017
     1248.127800       0.000017
     1250.625300       0.000395
     1253.132800       0.000339
     1255.650400       0.000353
     1258.178200       0.000370
     1260.716100       0.000339
     1263.264300       0.000289
     1265.822800       0.000445
