1, FM4 VIS0.6   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
101
Wavenumber (cm-1)   Filter response
    12738.853503       0.001314
    12787.723785       0.000929
    12836.970475       0.000700
    12886.597938       0.000584
    12936.610608       0.000486
    12987.012987       0.000392
    13037.809648       0.000340
    13089.005236       0.000338
    13140.604468       0.000321
    13192.612137       0.000279
    13245.033113       0.000284
    13297.872340       0.000265
    13351.134846       0.000227
    13404.825737       0.000231
    13458.950202       0.000245
    13513.513514       0.000242
    13568.521031       0.000240
    13623.978202       0.000234
    13679.890561       0.000230
    13736.263736       0.000259
    13793.103448       0.000301
    13850.415512       0.000328
    13908.205841       0.000401
    13966.480447       0.000536
    14025.245442       0.000856
    14084.507042       0.001366
    14144.271570       0.002542
    14204.545454       0.004195
    14265.335235       0.006271
    14326.647564       0.009322
    14388.489209       0.014368
    14450.867052       0.023342
    14513.788099       0.040094
    14577.259475       0.073704
    14641.288433       0.144300
    14705.882353       0.288685
    14771.048744       0.541387
    14836.795252       0.830734
    14903.129657       0.984307
    14970.059880       1.000000
    15037.593985       0.968837
    15105.740181       0.931356
    15174.506828       0.898673
    15243.902439       0.885753
    15313.935681       0.901756
    15384.615385       0.938690
    15455.950541       0.974338
    15527.950311       0.992723
    15600.624025       0.986533
    15673.981191       0.958277
    15748.031496       0.914178
    15822.784810       0.881160
    15898.251192       0.877215
    15974.440895       0.899360
    16051.364366       0.908091
    16129.032258       0.893495
    16207.455429       0.879323
    16286.644951       0.876785
    16366.612111       0.888081
    16447.368421       0.923585
    16528.925620       0.925185
    16611.295681       0.670498
    16694.490818       0.291044
    16778.523490       0.098793
    16863.406408       0.034339
    16949.152542       0.013195
    17035.775128       0.005656
    17123.287671       0.002690
    17211.703959       0.001399
    17301.038062       0.000778
    17391.304348       0.000458
    17482.517482       0.000278
    17574.692443       0.000168
    17667.844523       0.000099
    17761.989343       0.000057
    17857.142857       0.000055
    17953.321364       0.000090
    18050.541516       0.000088
    18148.820327       0.000083
    18248.175182       0.000078
    18348.623853       0.000079
    18450.184502       0.000077
    18552.875696       0.000078
    18656.716418       0.000069
    18761.726079       0.000061
    18867.924528       0.000061
    18975.332068       0.000064
    19083.969466       0.000056
    19193.857965       0.000057
    19305.019305       0.000054
    19417.475728       0.000055
    19531.250000       0.000049
    19646.365422       0.000039
    19762.845850       0.000048
    19880.715706       0.000044
    20000.000000       0.000043
    20120.724346       0.000043
    20242.914980       0.000043
    20366.598778       0.000036
    20491.803279       0.000041
    20618.556701       0.000041
