4, FM4 IR8.7   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
101
Wavenumber (cm-1)   Filter response
     1052.631579       0.000455
     1054.407423       0.000403
     1056.189269       0.000156
     1057.977148       0.000387
     1059.771089       0.000496
     1061.571125       0.000575
     1063.377286       0.000775
     1065.189604       0.000760
     1067.008109       0.000572
     1068.832835       0.000539
     1070.663812       0.000593
     1072.501072       0.000559
     1074.344650       0.000906
     1076.194576       0.000740
     1078.050884       0.000640
     1079.913607       0.001010
     1081.782778       0.000995
     1083.658431       0.000907
     1085.540599       0.000823
     1087.429317       0.006641
     1089.324619       0.006470
     1091.226539       0.008828
     1093.135111       0.005456
     1095.050372       0.005066
     1096.972356       0.008187
     1098.901099       0.003974
     1100.836636       0.004357
     1102.779003       0.008953
     1104.728237       0.005735
     1106.684374       0.007614
     1108.647450       0.008596
     1110.617503       0.026546
     1112.594571       0.040514
     1114.578689       0.073387
     1116.569897       0.127775
     1118.568233       0.190934
     1120.573734       0.288344
     1122.586439       0.425216
     1124.606388       0.592305
     1126.633619       0.754217
     1128.668172       0.921995
     1130.710086       0.999901
     1132.759402       1.000000
     1134.816160       0.970764
     1136.880400       0.922837
     1138.952164       0.897336
     1141.031492       0.895395
     1143.118427       0.868233
     1145.213010       0.850279
     1147.315282       0.833480
     1149.425287       0.824799
     1151.543068       0.804652
     1153.668666       0.815018
     1155.802127       0.835333
     1157.943492       0.831858
     1160.092807       0.830317
     1162.250116       0.831794
     1164.415463       0.793016
     1166.588894       0.716127
     1168.770453       0.613507
     1170.960187       0.509333
     1173.158142       0.394559
     1175.364363       0.287244
     1177.578898       0.194801
     1179.801793       0.142769
     1182.033097       0.092949
     1184.272856       0.048747
     1186.521120       0.017710
     1188.777936       0.012175
     1191.043354       0.008970
     1193.317422       0.010091
     1195.600191       0.005231
     1197.891711       0.006205
     1200.192031       0.000736
     1202.501203       0.005182
     1204.819277       0.002247
     1207.146306       0.001469
     1209.482342       0.007227
     1211.827436       0.007121
     1214.181642       0.004340
     1216.545012       0.004233
     1218.917601       0.003865
     1221.299463       0.000017
     1223.690651       0.000017
     1226.091221       0.000736
     1228.501229       0.000575
     1230.920729       0.000016
     1233.349778       0.000016
     1235.788433       0.000025
     1238.236751       0.000680
     1240.694789       0.000017
     1243.162606       0.000996
     1245.640259       0.000017
     1248.127808       0.000018
     1250.625313       0.000409
     1253.132832       0.000349
     1255.650427       0.000367
     1258.178158       0.000385
     1260.716087       0.000353
     1263.264275       0.000297
     1265.822785       0.000462
