4, FM4 Extended HRV   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
153
Wavenumber (cm-1)   Filter response
     7680.491551       0.001340
     7716.049383       0.001423
     7751.937985       0.001504
     7788.161994       0.001585
     7824.726135       0.001673
     7861.635220       0.001774
     7898.894155       0.001874
     7936.507937       0.001991
     7974.481659       0.002117
     8012.820513       0.002244
     8051.529791       0.002381
     8090.614887       0.002524
     8130.081301       0.002681
     8169.934641       0.002846
     8210.180624       0.003023
     8250.825083       0.003214
     8291.873964       0.003429
     8333.333333       0.003655
     8375.209380       0.003876
     8417.508418       0.004137
     8460.236887       0.004436
     8503.401361       0.004726
     8547.008547       0.005046
     8591.065292       0.005390
     8635.578584       0.005778
     8680.555556       0.006211
     8726.003490       0.006645
     8771.929825       0.007133
     8818.342152       0.007660
     8865.248227       0.008211
     8912.655971       0.008848
     8960.573477       0.009519
     9009.009009       0.010250
     9057.971014       0.011051
     9107.468124       0.012376
     9157.509158       0.014557
     9208.103131       0.016950
     9259.259259       0.020110
     9310.986965       0.023294
     9363.295880       0.026843
     9416.195857       0.032127
     9469.696970       0.039591
     9523.809524       0.047209
     9578.544061       0.055720
     9633.911368       0.065783
     9689.922481       0.078092
     9746.588694       0.089631
     9803.921569       0.101862
     9861.932939       0.115944
     9920.634921       0.133660
     9980.039920       0.154128
    10040.160643       0.173590
    10101.010101       0.192717
    10162.601626       0.212962
    10224.948875       0.234980
    10288.065844       0.258454
    10351.966874       0.281446
    10416.666667       0.305694
    10482.180293       0.331671
    10548.523207       0.358575
    10615.711253       0.384744
    10683.760684       0.411006
    10752.688172       0.439392
    10822.510823       0.466770
    10893.246187       0.494440
    10964.912281       0.521494
    11037.527594       0.547370
    11111.111111       0.573648
    11185.682327       0.598110
    11261.261261       0.624766
    11337.868481       0.652322
    11415.525114       0.680506
    11494.252874       0.711530
    11574.074074       0.729802
    11655.011655       0.761170
    11737.089202       0.785908
    11820.330969       0.807130
    11904.761905       0.828432
    11990.407674       0.849890
    12077.294686       0.865794
    12165.450122       0.885098
    12254.901961       0.901711
    12345.679012       0.916746
    12437.810945       0.931201
    12531.328321       0.947287
    12626.262626       0.958307
    12722.646310       0.967791
    12820.512821       0.978385
    12919.896641       0.980958
    13020.833333       0.989943
    13123.359580       0.994965
    13227.513227       0.995614
    13333.333333       0.999024
    13440.860215       0.998709
    13550.135501       0.999272
    13661.202186       1.000000
    13774.104683       0.999282
    13888.888889       0.998771
    14005.602241       0.996002
    14124.293785       0.994209
    14245.014245       0.992291
    14367.816092       0.985348
    14492.753623       0.979804
    14619.883041       0.975305
    14749.262537       0.968989
    14880.952381       0.960900
    15015.015015       0.954534
    15151.515151       0.947934
    15290.519878       0.938962
    15432.098765       0.930166
    15576.323987       0.921446
    15723.270440       0.913855
    15873.015873       0.906171
    16025.641026       0.899961
    16181.229773       0.889671
    16339.869281       0.879149
    16501.650165       0.867969
    16666.666667       0.856694
    16835.016835       0.845625
    17006.802721       0.833546
    17182.130584       0.820263
    17361.111111       0.807975
    17543.859649       0.793253
    17730.496454       0.779523
    17921.146953       0.764150
    18115.942029       0.748239
    18315.018315       0.729380
    18518.518519       0.710345
    18726.591760       0.692304
    18939.393939       0.673406
    19157.088123       0.654192
    19379.844961       0.632886
    19607.843137       0.612488
    19841.269841       0.592201
    20080.321285       0.571308
    20325.203252       0.546512
    20576.131687       0.524384
    20833.333333       0.501694
    21097.046414       0.481042
    21367.521368       0.457554
    21645.021645       0.432054
    21929.824561       0.402478
    22222.222222       0.372625
    22522.522522       0.342885
    22831.050228       0.308051
    23148.148148       0.278870
    23474.178404       0.249015
    23809.523809       0.223515
    24154.589372       0.192333
    24509.803922       0.161081
    24875.621890       0.134701
    25252.525252       0.110294
    25490.000000       0.090000
