5, SRF from W_XX-EUMETSAT-Darmstadt,SRF_VIS_NIR_IR,MTI1+FCI_C_EUMG_20210913------_v02.nc
Number of data points:
151
Wavenumber (cm-1)   Filter response
    10593.220300       0.000661
    10597.710900       0.000784
    10602.205300       0.000874
    10606.703400       0.000946
    10611.205400       0.001000
    10615.711300       0.001062
    10620.220900       0.001151
    10624.734400       0.001262
    10629.251700       0.001388
    10633.772900       0.001538
    10638.297900       0.001703
    10642.826700       0.001881
    10647.359500       0.002073
    10651.896000       0.002272
    10656.436500       0.002478
    10660.980800       0.002704
    10665.529000       0.002949
    10670.081100       0.003229
    10674.637100       0.003580
    10679.196900       0.004032
    10683.760700       0.004557
    10688.328300       0.005157
    10692.899900       0.005856
    10697.475400       0.006662
    10702.054800       0.007615
    10706.638100       0.008677
    10711.225400       0.009811
    10715.816500       0.011097
    10720.411700       0.012664
    10725.010700       0.014605
    10729.613700       0.016928
    10734.220700       0.019797
    10738.831600       0.023248
    10743.446500       0.027103
    10748.065300       0.031488
    10752.688200       0.036715
    10757.315000       0.043298
    10761.945800       0.051275
    10766.580500       0.060346
    10771.219300       0.070928
    10775.862100       0.083257
    10780.508800       0.097709
    10785.159600       0.114920
    10789.814400       0.135875
    10794.473200       0.162342
    10799.136100       0.191776
    10803.802900       0.222785
    10808.473800       0.257134
    10813.148800       0.296953
    10817.827800       0.344092
    10822.510800       0.393341
    10827.197900       0.442794
    10831.889100       0.493031
    10836.584300       0.542158
    10841.283600       0.590684
    10845.987000       0.637423
    10850.694400       0.683771
    10855.406000       0.726975
    10860.121600       0.760459
    10864.841400       0.787409
    10869.565200       0.810510
    10874.293200       0.831325
    10879.025200       0.849436
    10883.761400       0.863953
    10888.501700       0.875881
    10893.246200       0.886227
    10897.994800       0.895356
    10902.747500       0.903555
    10907.504400       0.911488
    10912.265400       0.919120
    10917.030600       0.926266
    10921.799900       0.932807
    10926.573400       0.938982
    10931.351100       0.945135
    10936.133000       0.951221
    10940.919000       0.957195
    10945.709300       0.963204
    10950.503700       0.969001
    10955.302400       0.974035
    10960.105200       0.978425
    10964.912300       0.982678
    10969.723600       0.987234
    10974.539100       0.991585
    10979.358800       0.995130
    10984.182800       0.998460
    10989.011000       1.000000
    10993.843400       0.999853
    10998.680200       0.999433
    11003.521100       0.997767
    11008.366400       0.990252
    11013.215900       0.979395
    11018.069600       0.964078
    11022.927700       0.942225
    11027.790000       0.914830
    11032.656700       0.877558
    11037.527600       0.833356
    11042.402800       0.779846
    11047.282400       0.718680
    11052.166200       0.658835
    11057.054400       0.598966
    11061.946900       0.538485
    11066.843700       0.475250
    11071.744900       0.412956
    11076.650400       0.359329
    11081.560300       0.311927
    11086.474500       0.269773
    11091.393100       0.231937
    11096.316000       0.198225
    11101.243300       0.169351
    11106.175000       0.143990
    11111.111100       0.122573
    11116.051600       0.104173
    11120.996400       0.088805
    11125.945700       0.078331
    11130.899400       0.071034
    11135.857500       0.064107
    11140.820000       0.055969
    11145.786900       0.048072
    11150.758300       0.042029
    11155.734000       0.037218
    11160.714300       0.033041
    11165.699000       0.029251
    11170.688100       0.025879
    11175.681700       0.022905
    11180.679800       0.020222
    11185.682300       0.017957
    11190.689300       0.016139
    11195.700900       0.014578
    11200.716800       0.013112
    11205.737300       0.011732
    11210.762300       0.010519
    11215.791800       0.009476
    11220.825900       0.008564
    11225.864400       0.007799
    11230.907500       0.007152
    11235.955100       0.006560
    11241.007200       0.005984
    11246.063900       0.005451
    11251.125100       0.004992
    11256.190900       0.004588
    11261.261300       0.004227
    11266.336200       0.003903
    11271.415700       0.003609
    11276.499800       0.003334
    11281.588400       0.003074
    11286.681700       0.002852
    11291.779600       0.002679
    11296.882100       0.002529
    11301.989200       0.002379
    11307.100900       0.002248
    11312.217200       0.002047
