 3    ,mtsat_01_imager_03.flt ,    Primary Focal Plane
Number of data points:
44
Wavenumber (cm-1)   Filter response
     1374.570400       0.000106
     1379.310300       0.000000
     1384.083000       0.002421
     1388.888900       0.003141
     1393.728200       0.000513
     1398.601400       0.003401
     1403.508800       0.007629
     1408.450700       0.011277
     1413.427600       0.028360
     1418.439700       0.054812
     1423.487500       0.115331
     1428.571400       0.234220
     1433.691800       0.440699
     1438.848900       0.639652
     1444.043300       0.773248
     1449.275400       0.823518
     1454.545500       0.846207
     1459.854000       0.854054
     1465.201500       0.849896
     1470.588200       0.858363
     1476.014800       0.896300
     1481.481500       0.946693
     1486.988800       0.976692
     1492.537300       0.996548
     1498.127300       0.975117
     1503.759400       0.963785
     1509.434000       0.978680
     1515.151500       0.945454
     1520.912500       0.784202
     1526.717600       0.504794
     1532.567000       0.245499
     1538.461500       0.111931
     1544.401500       0.039971
     1550.387600       0.021553
     1556.420200       0.011487
     1562.500000       0.008751
     1568.627500       0.007165
     1574.803100       0.002074
     1581.027700       0.003042
     1587.301600       0.003333
     1593.625500       0.000000
     1600.000000       0.000000
     1606.425700       0.000000
     1612.903200       0.000103
