02 , mtsat_02_imager_04.flt
Number of data points:
880
Wavenumber (cm-1)   Filter response
      790.000000       0.000000
      790.100000       0.000000
      790.200000       0.000000
      790.300000       0.000000
      790.400000       0.000000
      790.500000       0.000000
      790.600000       0.000000
      790.700000       0.000000
      790.800000       0.000000
      790.900000       0.010080
      791.000000       0.015555
      791.100000       0.015803
      791.200000       0.021348
      791.300000       0.021848
      791.400000       0.022352
      791.500000       0.022853
      791.600000       0.023357
      791.700000       0.023857
      791.800000       0.024361
      791.900000       0.024862
      792.000000       0.025366
      792.100000       0.026116
      792.200000       0.027120
      792.300000       0.027876
      792.400000       0.028628
      792.500000       0.029633
      792.600000       0.030134
      792.700000       0.031139
      792.800000       0.032143
      792.900000       0.032896
      793.000000       0.033651
      793.100000       0.034905
      793.200000       0.035909
      793.300000       0.037166
      793.400000       0.038419
      793.500000       0.039424
      793.600000       0.040683
      793.700000       0.041937
      793.800000       0.042941
      793.900000       0.044194
      794.000000       0.045451
      794.100000       0.047208
      794.200000       0.048969
      794.300000       0.050222
      794.400000       0.052231
      794.500000       0.054240
      794.600000       0.055494
      794.700000       0.057254
      794.800000       0.059011
      794.900000       0.060765
      795.000000       0.062526
      795.100000       0.064783
      795.200000       0.067047
      795.300000       0.069806
      795.400000       0.072070
      795.500000       0.074328
      795.600000       0.076838
      795.700000       0.079351
      795.800000       0.081609
      795.900000       0.084125
      796.000000       0.086632
      796.100000       0.089645
      796.200000       0.092659
      796.300000       0.095673
      796.400000       0.098686
      796.500000       0.101700
      796.600000       0.104714
      796.700000       0.107727
      796.800000       0.110990
      796.900000       0.114253
      797.000000       0.117521
      797.100000       0.121032
      797.200000       0.125051
      797.300000       0.128819
      797.400000       0.132838
      797.500000       0.136604
      797.600000       0.140622
      797.700000       0.144640
      797.800000       0.148658
      797.900000       0.152677
      798.000000       0.156695
      798.100000       0.161466
      798.200000       0.166489
      798.300000       0.171511
      798.400000       0.176784
      798.500000       0.181806
      798.600000       0.187078
      798.700000       0.192100
      798.800000       0.197123
      798.900000       0.202146
      799.000000       0.207418
      799.100000       0.213445
      799.200000       0.219473
      799.300000       0.225500
      799.400000       0.232028
      799.500000       0.238559
      799.600000       0.244587
      799.700000       0.250614
      799.800000       0.256891
      799.900000       0.262918
      800.000000       0.269194
      800.100000       0.275977
      800.200000       0.283009
      800.300000       0.290041
      800.400000       0.297322
      800.500000       0.304354
      800.600000       0.311386
      800.700000       0.318418
      800.800000       0.325450
      800.900000       0.332482
      801.000000       0.339763
      801.100000       0.346795
      801.200000       0.354583
      801.300000       0.362118
      801.400000       0.369399
      801.500000       0.377436
      801.600000       0.384468
      801.700000       0.392256
      801.800000       0.400040
      801.900000       0.407572
      802.000000       0.415108
      802.100000       0.423145
      802.200000       0.430929
      802.300000       0.438717
      802.400000       0.446501
      802.500000       0.454283
      802.600000       0.462068
      802.700000       0.470104
      802.800000       0.478141
      802.900000       0.485925
      803.000000       0.493962
      803.100000       0.500993
      803.200000       0.508523
      803.300000       0.515303
      803.400000       0.523088
      803.500000       0.530119
      803.600000       0.537400
      803.700000       0.544930
      803.800000       0.551962
      803.900000       0.559491
      804.000000       0.566523
      804.100000       0.572545
      804.200000       0.578320
      804.300000       0.584093
      804.400000       0.590368
      804.500000       0.595889
      804.600000       0.601910
      804.700000       0.607938
      804.800000       0.613710
      804.900000       0.619480
      805.000000       0.625252
      805.100000       0.630021
      805.200000       0.634287
      805.300000       0.638803
      805.400000       0.643317
      805.500000       0.647584
      805.600000       0.652352
      805.700000       0.656871
      805.800000       0.661387
      805.900000       0.666155
      806.000000       0.670422
      806.100000       0.674440
      806.200000       0.677454
      806.300000       0.681217
      806.400000       0.684732
      806.500000       0.688498
      806.600000       0.692267
      806.700000       0.695778
      806.800000       0.699547
      806.900000       0.703565
      807.000000       0.707331
      807.100000       0.709842
      807.200000       0.712354
      807.300000       0.715118
      807.400000       0.717631
      807.500000       0.720396
      807.600000       0.723157
      807.700000       0.725673
      807.800000       0.728435
      807.900000       0.731205
      808.000000       0.734219
      808.100000       0.736483
      808.200000       0.738240
      808.300000       0.740755
      808.400000       0.743019
      808.500000       0.745283
      808.600000       0.747547
      808.700000       0.749810
      808.800000       0.752323
      808.900000       0.754587
      809.000000       0.756851
      809.100000       0.758608
      809.200000       0.760374
      809.300000       0.762637
      809.400000       0.764398
      809.500000       0.766410
      809.600000       0.768170
      809.700000       0.770179
      809.800000       0.771693
      809.900000       0.773702
      810.000000       0.775967
      810.100000       0.777976
      810.200000       0.779737
      810.300000       0.781494
      810.400000       0.783254
      810.500000       0.785015
      810.600000       0.787024
      810.700000       0.788785
      810.800000       0.791043
      810.900000       0.792804
      811.000000       0.794813
      811.100000       0.796573
      811.200000       0.797827
      811.300000       0.799333
      811.400000       0.801094
      811.500000       0.803098
      811.600000       0.804858
      811.700000       0.806613
      811.800000       0.807870
      811.900000       0.809376
      812.000000       0.810882
      812.100000       0.813140
      812.200000       0.814894
      812.300000       0.816151
      812.400000       0.818158
      812.500000       0.819409
      812.600000       0.821164
      812.700000       0.822670
      812.800000       0.824676
      812.900000       0.826431
      813.000000       0.827937
      813.100000       0.829943
      813.200000       0.831952
      813.300000       0.833458
      813.400000       0.835465
      813.500000       0.837219
      813.600000       0.838974
      813.700000       0.840734
      813.800000       0.842489
      813.900000       0.844750
      814.000000       0.846256
      814.100000       0.848265
      814.200000       0.850274
      814.300000       0.852035
      814.400000       0.854041
      814.500000       0.856050
      814.600000       0.858059
      814.700000       0.859820
      814.800000       0.861575
      814.900000       0.863332
      815.000000       0.865347
      815.100000       0.867356
      815.200000       0.869614
      815.300000       0.871372
      815.400000       0.873381
      815.500000       0.875639
      815.600000       0.877148
      815.700000       0.879157
      815.800000       0.880914
      815.900000       0.882923
      816.000000       0.884930
      816.100000       0.886939
      816.200000       0.889196
      816.300000       0.890953
      816.400000       0.892710
      816.500000       0.894720
      816.600000       0.896726
      816.700000       0.898231
      816.800000       0.900238
      816.900000       0.902495
      817.000000       0.903748
      817.100000       0.905505
      817.200000       0.907008
      817.300000       0.908516
      817.400000       0.909769
      817.500000       0.911023
      817.600000       0.912276
      817.700000       0.913783
      817.800000       0.915037
      817.900000       0.916041
      818.000000       0.916793
      818.100000       0.917296
      818.200000       0.917796
      818.300000       0.918300
      818.400000       0.918548
      818.500000       0.919051
      818.600000       0.919300
      818.700000       0.919305
      818.800000       0.919553
      818.900000       0.920054
      819.000000       0.920308
      819.100000       0.920308
      819.200000       0.920307
      819.300000       0.920307
      819.400000       0.920057
      819.500000       0.919808
      819.600000       0.920311
      819.700000       0.920563
      819.800000       0.920812
      819.900000       0.921069
      820.000000       0.921069
      820.100000       0.921321
      820.200000       0.921569
      820.300000       0.921821
      820.400000       0.922328
      820.500000       0.922835
      820.600000       0.923083
      820.700000       0.923335
      820.800000       0.923842
      820.900000       0.924343
      821.000000       0.924595
      821.100000       0.924850
      821.200000       0.925351
      821.300000       0.925858
      821.400000       0.926365
      821.500000       0.927369
      821.600000       0.928377
      821.700000       0.928879
      821.800000       0.929634
      821.900000       0.930390
      822.000000       0.931146
      822.100000       0.931146
      822.200000       0.931902
      822.300000       0.932409
      822.400000       0.932410
      822.500000       0.933165
      822.600000       0.933672
      822.700000       0.934176
      822.800000       0.934428
      822.900000       0.934683
      823.000000       0.935439
      823.100000       0.935693
      823.200000       0.936195
      823.300000       0.937205
      823.400000       0.937961
      823.500000       0.937961
      823.600000       0.938467
      823.700000       0.938722
      823.800000       0.938722
      823.900000       0.939229
      824.000000       0.939483
      824.100000       0.939483
      824.200000       0.939738
      824.300000       0.939990
      824.400000       0.939995
      824.500000       0.939995
      824.600000       0.940498
      824.700000       0.940498
      824.800000       0.940249
      824.900000       0.940000
      825.000000       0.940000
      825.100000       0.940249
      825.200000       0.940503
      825.300000       0.940755
      825.400000       0.940755
      825.500000       0.940501
      825.600000       0.940501
      825.700000       0.940749
      825.800000       0.940999
      825.900000       0.940744
      826.000000       0.940744
      826.100000       0.940739
      826.200000       0.940991
      826.300000       0.941489
      826.400000       0.941234
      826.500000       0.941484
      826.600000       0.941229
      826.700000       0.941478
      826.800000       0.941979
      826.900000       0.942228
      827.000000       0.941974
      827.100000       0.942724
      827.200000       0.943228
      827.300000       0.943728
      827.400000       0.944733
      827.500000       0.944982
      827.600000       0.945483
      827.700000       0.946238
      827.800000       0.946487
      827.900000       0.947492
      828.000000       0.948247
      828.100000       0.949002
      828.200000       0.949758
      828.300000       0.950513
      828.400000       0.951518
      828.500000       0.952021
      828.600000       0.952273
      828.700000       0.953278
      828.800000       0.954033
      828.900000       0.954788
      829.000000       0.955793
      829.100000       0.956299
      829.200000       0.957054
      829.300000       0.957303
      829.400000       0.957809
      829.500000       0.958814
      829.600000       0.959569
      829.700000       0.960574
      829.800000       0.961074
      829.900000       0.961830
      830.000000       0.962331
      830.100000       0.962838
      830.200000       0.963590
      830.300000       0.963842
      830.400000       0.964847
      830.500000       0.965602
      830.600000       0.966103
      830.700000       0.966606
      830.800000       0.967108
      830.900000       0.968112
      831.000000       0.968868
      831.100000       0.969123
      831.200000       0.970128
      831.300000       0.970631
      831.400000       0.971133
      831.500000       0.971889
      831.600000       0.972648
      831.700000       0.973404
      831.800000       0.973653
      831.900000       0.974664
      832.000000       0.975420
      832.100000       0.975924
      832.200000       0.976928
      832.300000       0.977687
      832.400000       0.978692
      832.500000       0.979703
      832.600000       0.980207
      832.700000       0.980711
      832.800000       0.981716
      832.900000       0.982726
      833.000000       0.983731
      833.100000       0.984489
      833.200000       0.985494
      833.300000       0.985998
      833.400000       0.984744
      833.500000       0.982989
      833.600000       0.983997
      833.700000       0.985001
      833.800000       0.985256
      833.900000       0.986260
      834.000000       0.986764
      834.100000       0.987768
      834.200000       0.988271
      834.300000       0.989026
      834.400000       0.989779
      834.500000       0.990534
      834.600000       0.991284
      834.700000       0.991787
      834.800000       0.992792
      834.900000       0.993292
      835.000000       0.994045
      835.100000       0.994545
      835.200000       0.994794
      835.300000       0.995294
      835.400000       0.995792
      835.500000       0.996293
      835.600000       0.996287
      835.700000       0.997037
      835.800000       0.997537
      835.900000       0.997531
      836.000000       0.998281
      836.100000       0.998527
      836.200000       0.998776
      836.300000       0.998773
      836.400000       0.998767
      836.500000       0.999013
      836.600000       0.999013
      836.700000       0.999508
      836.800000       0.999754
      836.900000       0.999499
      837.000000       1.000000
      837.100000       0.999745
      837.200000       0.999743
      837.300000       0.999740
      837.400000       0.999989
      837.500000       0.999986
      837.600000       0.999732
      837.700000       0.999984
      837.800000       0.999981
      837.900000       0.999726
      838.000000       0.999978
      838.100000       0.999724
      838.200000       0.999976
      838.300000       0.999473
      838.400000       0.999473
      838.500000       0.999218
      838.600000       0.999222
      838.700000       0.999222
      838.800000       0.998718
      838.900000       0.998469
      839.000000       0.998469
      839.100000       0.998221
      839.200000       0.998221
      839.300000       0.998221
      839.400000       0.998221
      839.500000       0.997721
      839.600000       0.997721
      839.700000       0.997721
      839.800000       0.997220
      839.900000       0.997220
      840.000000       0.996972
      840.100000       0.996471
      840.200000       0.995965
      840.300000       0.995215
      840.400000       0.994966
      840.500000       0.994211
      840.600000       0.993710
      840.700000       0.993209
      840.800000       0.992454
      840.900000       0.992199
      841.000000       0.991449
      841.100000       0.990694
      841.200000       0.989938
      841.300000       0.989183
      841.400000       0.988679
      841.500000       0.988178
      841.600000       0.987174
      841.700000       0.986667
      841.800000       0.985663
      841.900000       0.985408
      842.000000       0.984404
      842.100000       0.983897
      842.200000       0.983144
      842.300000       0.982638
      842.400000       0.982383
      842.500000       0.981379
      842.600000       0.981124
      842.700000       0.980623
      842.800000       0.980120
      842.900000       0.979364
      843.000000       0.979364
      843.100000       0.978612
      843.200000       0.977857
      843.300000       0.977857
      843.400000       0.977104
      843.500000       0.977104
      843.600000       0.976349
      843.700000       0.976100
      843.800000       0.975851
      843.900000       0.975348
      844.000000       0.975348
      844.100000       0.974598
      844.200000       0.973845
      844.300000       0.973345
      844.400000       0.972592
      844.500000       0.971842
      844.600000       0.971842
      844.700000       0.970838
      844.800000       0.970340
      844.900000       0.969590
      845.000000       0.968840
      845.100000       0.968336
      845.200000       0.967586
      845.300000       0.966836
      845.400000       0.966338
      845.500000       0.965837
      845.600000       0.965087
      845.700000       0.964337
      845.800000       0.963332
      845.900000       0.962585
      846.000000       0.962084
      846.100000       0.961334
      846.200000       0.960832
      846.300000       0.960082
      846.400000       0.959584
      846.500000       0.959083
      846.600000       0.958078
      846.700000       0.957577
      846.800000       0.956827
      846.900000       0.955822
      847.000000       0.955321
      847.100000       0.954571
      847.200000       0.953317
      847.300000       0.952561
      847.400000       0.951811
      847.500000       0.950806
      847.600000       0.949550
      847.700000       0.948800
      847.800000       0.948044
      847.900000       0.947039
      848.000000       0.946035
      848.100000       0.944778
      848.200000       0.943774
      848.300000       0.943272
      848.400000       0.942268
      848.500000       0.941263
      848.600000       0.940256
      848.700000       0.939251
      848.800000       0.938496
      848.900000       0.937740
      849.000000       0.936985
      849.100000       0.935980
      849.200000       0.935728
      849.300000       0.934973
      849.400000       0.934218
      849.500000       0.933963
      849.600000       0.933463
      849.700000       0.932956
      849.800000       0.932201
      849.900000       0.931947
      850.000000       0.931695
      850.100000       0.931191
      850.200000       0.930939
      850.300000       0.930685
      850.400000       0.930685
      850.500000       0.930430
      850.600000       0.930178
      850.700000       0.929924
      850.800000       0.929669
      850.900000       0.929419
      851.000000       0.929165
      851.100000       0.929165
      851.200000       0.929165
      851.300000       0.929411
      851.400000       0.929411
      851.500000       0.929161
      851.600000       0.929155
      851.700000       0.929407
      851.800000       0.928903
      851.900000       0.929152
      852.000000       0.929404
      852.100000       0.929149
      852.200000       0.929400
      852.300000       0.929649
      852.400000       0.929145
      852.500000       0.929646
      852.600000       0.929645
      852.700000       0.929390
      852.800000       0.929641
      852.900000       0.929890
      853.000000       0.929386
      853.100000       0.929886
      853.200000       0.930135
      853.300000       0.930137
      853.400000       0.930131
      853.500000       0.930380
      853.600000       0.930383
      853.700000       0.930631
      853.800000       0.930877
      853.900000       0.930877
      854.000000       0.931125
      854.100000       0.931377
      854.200000       0.931626
      854.300000       0.931878
      854.400000       0.931878
      854.500000       0.932376
      854.600000       0.932373
      854.700000       0.932373
      854.800000       0.932623
      854.900000       0.932875
      855.000000       0.933124
      855.100000       0.933374
      855.200000       0.933875
      855.300000       0.933875
      855.400000       0.934379
      855.500000       0.934881
      855.600000       0.935130
      855.700000       0.935379
      855.800000       0.935379
      855.900000       0.935380
      856.000000       0.935630
      856.100000       0.935879
      856.200000       0.936635
      856.300000       0.936635
      856.400000       0.936884
      856.500000       0.937136
      856.600000       0.937386
      856.700000       0.937386
      856.800000       0.937890
      856.900000       0.938139
      857.000000       0.938139
      857.100000       0.938137
      857.200000       0.938391
      857.300000       0.938139
      857.400000       0.938139
      857.500000       0.937888
      857.600000       0.937891
      857.700000       0.937891
      857.800000       0.937888
      857.900000       0.937888
      858.000000       0.937890
      858.100000       0.937390
      858.200000       0.937138
      858.300000       0.936637
      858.400000       0.936136
      858.500000       0.935635
      858.600000       0.935383
      858.700000       0.935131
      858.800000       0.934631
      858.900000       0.934129
      859.000000       0.933629
      859.100000       0.932372
      859.200000       0.931622
      859.300000       0.930366
      859.400000       0.929109
      859.500000       0.927856
      859.600000       0.926854
      859.700000       0.925600
      859.800000       0.924343
      859.900000       0.923594
      860.000000       0.922337
      860.100000       0.920582
      860.200000       0.918573
      860.300000       0.917071
      860.400000       0.915565
      860.500000       0.913810
      860.600000       0.911801
      860.700000       0.910797
      860.800000       0.909042
      860.900000       0.907033
      861.000000       0.905779
      861.100000       0.903020
      861.200000       0.900507
      861.300000       0.898000
      861.400000       0.895739
      861.500000       0.893232
      861.600000       0.890719
      861.700000       0.888460
      861.800000       0.885953
      861.900000       0.883689
      862.000000       0.880676
      862.100000       0.877413
      862.200000       0.873394
      862.300000       0.869877
      862.400000       0.866111
      862.500000       0.862092
      862.600000       0.858575
      862.700000       0.854556
      862.800000       0.850790
      862.900000       0.847272
      863.000000       0.842756
      863.100000       0.837479
      863.200000       0.831952
      863.300000       0.826675
      863.400000       0.820902
      863.500000       0.815625
      863.600000       0.809849
      863.700000       0.804827
      863.800000       0.799051
      863.900000       0.793522
      864.000000       0.788001
      864.100000       0.781219
      864.200000       0.773932
      864.300000       0.767152
      864.400000       0.760120
      864.500000       0.753343
      864.600000       0.746561
      864.700000       0.739529
      864.800000       0.732749
      864.900000       0.725966
      865.000000       0.718935
      865.100000       0.711153
      865.200000       0.703116
      865.300000       0.694831
      865.400000       0.687044
      865.500000       0.679008
      865.600000       0.670971
      865.700000       0.662935
      865.800000       0.655402
      865.900000       0.647366
      866.000000       0.639584
      866.100000       0.630543
      866.200000       0.621757
      866.300000       0.612716
      866.400000       0.604179
      866.500000       0.595386
      866.600000       0.586600
      866.700000       0.578066
      866.800000       0.569522
      866.900000       0.560988
      867.000000       0.552700
      867.100000       0.543409
      867.200000       0.534120
      867.300000       0.524829
      867.400000       0.515788
      867.500000       0.507002
      867.600000       0.497961
      867.700000       0.488919
      867.800000       0.480133
      867.900000       0.471592
      868.000000       0.462806
      868.100000       0.454017
      868.200000       0.444976
      868.300000       0.436183
      868.400000       0.427399
      868.500000       0.418358
      868.600000       0.409818
      868.700000       0.401533
      868.800000       0.393247
      868.900000       0.384707
      869.000000       0.376418
      869.100000       0.367884
      869.200000       0.359343
      869.300000       0.351307
      869.400000       0.343021
      869.500000       0.334736
      869.600000       0.326952
      869.700000       0.318666
      869.800000       0.310629
      869.900000       0.303343
      870.000000       0.295561
      870.100000       0.287777
      870.200000       0.279995
      870.300000       0.272708
      870.400000       0.265178
      870.500000       0.258147
      870.600000       0.250866
      870.700000       0.243585
      870.800000       0.236553
      870.900000       0.229770
      871.000000       0.222739
      871.100000       0.216462
      871.200000       0.209931
      871.300000       0.203652
      871.400000       0.197127
      871.500000       0.191099
      871.600000       0.185072
      871.700000       0.179294
      871.800000       0.173773
      871.900000       0.167746
      872.000000       0.162471
      872.100000       0.157448
      872.200000       0.152177
      872.300000       0.147154
      872.400000       0.142380
      872.500000       0.137357
      872.600000       0.133091
      872.700000       0.128068
      872.800000       0.123800
      872.900000       0.119281
      873.000000       0.115009
      873.100000       0.110990
      873.200000       0.107227
      873.300000       0.103208
      873.400000       0.099439
      873.500000       0.096177
      873.600000       0.092158
      873.700000       0.088893
      873.800000       0.085127
      873.900000       0.082113
      874.000000       0.078598
      874.100000       0.075584
      874.200000       0.073072
      874.300000       0.070058
      874.400000       0.067299
      874.500000       0.064786
      874.600000       0.062022
      874.700000       0.059763
      874.800000       0.057254
      874.900000       0.054740
      875.000000       0.052483
      875.100000       0.050474
      875.200000       0.048465
      875.300000       0.046455
      875.400000       0.044695
      875.500000       0.042686
      875.600000       0.040931
      875.700000       0.039424
      875.800000       0.037414
      875.900000       0.035654
      876.000000       0.034401
      876.100000       0.033147
      876.200000       0.031387
      876.300000       0.030383
      876.400000       0.029129
      876.500000       0.027876
      876.600000       0.026616
      876.700000       0.025360
      876.800000       0.024106
      876.900000       0.023101
      877.000000       0.022097
      877.100000       0.021092
      877.200000       0.015299
      877.300000       0.000000
      877.400000       0.000000
      877.500000       0.000000
      877.600000       0.000000
      877.700000       0.000000
      877.800000       0.000000
      877.900000       0.000000
