1, THIR channel 1 SRF extracted from the NIMBUS 4 User's Guide March 1970
Number of data points:
29
Wavenumber (cm-1)   Filter response
     1315.789474       0.000000
     1324.503311       0.003300
     1333.333333       0.006700
     1342.281879       0.009700
     1351.351351       0.012700
     1360.544218       0.042200
     1369.863014       0.071700
     1379.310345       0.285900
     1388.888889       0.500100
     1398.601399       0.697200
     1408.450704       0.894300
     1418.439716       0.947100
     1428.571429       1.000000
     1438.848921       0.999500
     1449.275362       0.999100
     1459.854015       0.964500
     1470.588235       0.929800
     1481.481481       0.870900
     1492.537313       0.812000
     1503.759399       0.868700
     1515.151515       0.925300
     1526.717557       0.901500
     1538.461538       0.877700
     1550.387597       0.508800
     1562.500000       0.139900
     1574.803150       0.076100
     1587.301587       0.012200
     1600.000000       0.006100
     1612.903226       0.000000
