12, channel 12 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
68
Wavenumber (cm-1)   Filter response
     2175.500000       0.000000
     2178.750000       0.000687
     2181.450000       0.003302
     2183.970000       0.005952
     2186.830000       0.006216
     2189.150000       0.008899
     2190.340000       0.012558
     2191.600000       0.020851
     2193.050000       0.029883
     2194.620000       0.048183
     2196.330000       0.076525
     2197.570000       0.113465
     2198.190000       0.146644
     2198.430000       0.179119
     2199.350000       0.220761
     2200.030000       0.258575
     2200.900000       0.295582
     2201.050000       0.336587
     2201.930000       0.375140
     2202.650000       0.415271
     2203.050000       0.446167
     2203.690000       0.480891
     2204.520000       0.515581
     2205.040000       0.540264
     2205.580000       0.567265
     2206.740000       0.583316
     2207.060000       0.593323
     2207.770000       0.604035
     2208.760000       0.606183
     2209.890000       0.605207
     2210.060000       0.603629
     2210.740000       0.597314
     2211.200000       0.588716
     2212.040000       0.580050
     2212.860000       0.569840
     2213.720000       0.562719
     2214.590000       0.556370
     2215.720000       0.555394
     2216.330000       0.558382
     2216.970000       0.563688
     2217.610000       0.568993
     2218.400000       0.571174
     2218.950000       0.569528
     2219.500000       0.567109
     2219.720000       0.555455
     2220.460000       0.539066
     2221.250000       0.497119
     2221.680000       0.471494
     2221.880000       0.442814
     2222.230000       0.411010
     2222.340000       0.375378
     2222.930000       0.333465
     2223.340000       0.291586
     2224.140000       0.250411
     2224.620000       0.199230
     2225.880000       0.150230
     2226.610000       0.103648
     2227.250000       0.079534
     2227.930000       0.058510
     2228.520000       0.045244
     2229.490000       0.031910
     2231.030000       0.018474
     2233.410000       0.011082
     2236.040000       0.007519
     2240.010000       0.005262
     2243.980000       0.002234
     2249.280000       0.000000
     2253.270000       0.000000
