2, THIR channel 2 SRF extracted from the NIMBUS 6 User's Guide February 1975
Number of data points:
33
Wavenumber (cm-1)   Filter response
      763.358779       0.000000
      769.230769       0.009700
      775.193798       0.041300
      781.250000       0.111100
      787.401575       0.275400
      793.650794       0.447400
      800.000000       0.565800
      806.451613       0.686300
      813.008130       0.778000
      819.672131       0.843700
      826.446281       0.904200
      833.333333       0.898600
      840.336134       0.930900
      847.457627       0.931100
      854.700855       0.950700
      862.068966       0.945100
      869.565217       0.961200
      877.192982       0.973900
      884.955752       1.000000
      892.857143       0.997900
      900.900901       0.987100
      909.090909       0.940200
      917.431193       0.933700
      925.925926       0.933000
      934.579439       0.923600
      943.396226       0.854000
      952.380952       0.724200
      961.538462       0.606200
      970.873786       0.448600
      980.392157       0.221500
      990.099010       0.082500
     1000.000000       0.023700
     1010.101010       0.000000
