2, THIR channel 2 SRF extracted from the NIMBUS 7 User's Guide August 1978
Number of data points:
33
Wavenumber (cm-1)   Filter response
      763.358779       0.000000
      769.230769       0.014700
      775.193798       0.040700
      781.250000       0.107100
      787.401575       0.259100
      793.650794       0.425700
      800.000000       0.530300
      806.451613       0.654600
      813.008130       0.775800
      819.672131       0.828800
      826.446281       0.874800
      833.333333       0.865700
      840.336134       0.898500
      847.457627       0.942600
      854.700855       0.937900
      862.068966       0.888800
      869.565217       0.916600
      877.192982       0.957500
      884.955752       0.992800
      892.857143       1.000000
      900.900901       0.989000
      909.090909       0.922400
      917.431193       0.884400
      925.925926       0.858000
      934.579439       0.892700
      943.396226       0.835500
      952.380952       0.755000
      961.538462       0.587100
      970.873786       0.433300
      980.392157       0.199600
      990.099010       0.076900
     1000.000000       0.029500
     1010.101010       0.024800
