11  ,noaa_10_hirs_11.flt   shift of -4.70cm-1 applied
Number of data points:
73
Wavenumber (cm-1)   Filter response
     1300.100000       0.000000
     1305.300000       0.004667
     1311.000000       0.010780
     1315.200000       0.012395
     1319.400000       0.015408
     1322.600000       0.019307
     1324.300000       0.029303
     1326.700000       0.042361
     1329.000000       0.060116
     1330.600000       0.084128
     1331.900000       0.110900
     1332.900000       0.137540
     1333.800000       0.159620
     1334.400000       0.190850
     1335.300000       0.233960
     1336.200000       0.276010
     1337.300000       0.328770
     1338.400000       0.395670
     1339.200000       0.443150
     1339.900000       0.486220
     1340.800000       0.542120
     1341.700000       0.585610
     1342.900000       0.643310
     1344.000000       0.693850
     1345.100000       0.740030
     1346.000000       0.782510
     1346.800000       0.809420
     1347.000000       0.833210
     1347.800000       0.864860
     1348.500000       0.896140
     1349.500000       0.924240
     1350.700000       0.948580
     1351.900000       0.966500
     1353.400000       0.980070
     1355.100000       0.993260
     1356.700000       1.000000
     1358.700000       0.999230
     1360.500000       0.996390
     1362.100000       0.984370
     1364.300000       0.957780
     1366.300000       0.931370
     1368.000000       0.899440
     1369.000000       0.868640
     1370.900000       0.828660
     1372.300000       0.789490
     1373.100000       0.742050
     1373.900000       0.689550
     1374.900000       0.646340
     1376.100000       0.600610
     1376.700000       0.554710
     1377.900000       0.511380
     1378.500000       0.470230
     1379.800000       0.406490
     1381.100000       0.345030
     1382.200000       0.300620
     1383.000000       0.272390
     1383.400000       0.251350
     1384.000000       0.222510
     1384.800000       0.193700
     1385.400000       0.162480
     1385.900000       0.142700
     1387.100000       0.120670
     1388.500000       0.097975
     1389.600000       0.086561
     1392.900000       0.060201
     1395.100000       0.040459
     1397.500000       0.025259
     1399.700000       0.012220
     1402.600000       0.010206
     1407.000000       0.008306
     1410.900000       0.004869
     1414.800000       0.003259
     1418.900000       0.000000
