02  , NOAA 15 vis chan 2  (http://www2.ncdc.noaa.gov/docs/klm/html/d/app-d1.htm)
Number of data points:
98
Wavenumber (cm-1)   Filter response
     9578.544100       0.000009
     9615.384600       0.000051
     9652.509700       0.000145
     9689.922500       0.000238
     9727.626500       0.000508
     9765.625000       0.001022
     9803.921600       0.002165
     9842.519700       0.004644
     9881.422900       0.010050
     9920.634900       0.021680
     9960.159400       0.043660
    10000.000000       0.078410
    10040.160600       0.125700
    10080.645200       0.184400
    10121.457500       0.261300
    10162.601600       0.361700
    10204.081600       0.478200
    10245.901600       0.582800
    10288.065800       0.646600
    10330.578500       0.680700
    10373.444000       0.703500
    10416.666700       0.719400
    10460.251000       0.728800
    10504.201700       0.736500
    10548.523200       0.748300
    10593.220300       0.765700
    10638.297900       0.795000
    10683.760700       0.820300
    10729.613700       0.848700
    10775.862100       0.879500
    10822.510800       0.903500
    10869.565200       0.914600
    10917.030600       0.912200
    10964.912300       0.903600
    11013.215900       0.892100
    11061.946900       0.888800
    11111.111100       0.894400
    11160.714300       0.910200
    11210.762300       0.928100
    11261.261300       0.944300
    11312.217200       0.951100
    11363.636400       0.951800
    11415.525100       0.941400
    11467.889900       0.930100
    11520.737300       0.921700
    11574.074100       0.923200
    11627.907000       0.929900
    11682.243000       0.940800
    11737.089200       0.954700
    11792.452800       0.968500
    11848.341200       0.979900
    11904.761900       0.985900
    11961.722500       0.991400
    12019.230800       0.994700
    12077.294700       0.998400
    12135.922300       1.000000
    12195.122000       0.998800
    12254.902000       0.998500
    12315.270900       0.994700
    12376.237600       0.985900
    12437.810900       0.975600
    12500.000000       0.972700
    12562.814100       0.981100
    12626.262600       0.990100
    12690.355300       0.989400
    12755.102000       0.988900
    12820.512800       0.997400
    12886.597900       0.993800
    12953.367900       0.962400
    13020.833300       0.914700
    13089.005200       0.865600
    13157.894700       0.858100
    13227.513200       0.876300
    13297.872300       0.902500
    13368.984000       0.919700
    13440.860200       0.881300
    13513.513500       0.761800
    13586.956500       0.616000
    13661.202200       0.495300
    13736.263700       0.420200
    13812.154700       0.365000
    13888.888900       0.300400
    13966.480400       0.226200
    14044.943800       0.148900
    14124.293800       0.078410
    14204.545500       0.035010
    14285.714300       0.014380
    14367.816100       0.005394
    14450.867100       0.001949
    14534.883700       0.000783
    14619.883000       0.000321
    14705.882400       0.000208
    14792.899400       0.000134
    14880.952400       0.000116
    14970.059900       0.000064
    15060.241000       0.000040
    15151.515200       0.000003
    15243.902400       0.000013
