03  , NOAA 15 vis chan 3A  (http://www2.ncdc.noaa.gov/docs/klm/html/d/app-d1.htm)
Number of data points:
96
Wavenumber (cm-1)   Filter response
     6038.647300       0.000445
     6042.296100       0.000262
     6045.949200       0.000261
     6049.606800       0.000355
     6053.268800       0.000680
     6056.935200       0.000402
     6060.606100       0.000540
     6064.281400       0.000864
     6067.961200       0.000798
     6071.645400       0.001410
     6075.334100       0.002340
     6079.027400       0.003400
     6082.725100       0.004960
     6086.427300       0.006950
     6090.134000       0.010200
     6093.845200       0.014200
     6097.561000       0.020200
     6101.281300       0.029100
     6105.006100       0.042800
     6108.735500       0.060200
     6112.469400       0.091400
     6116.208000       0.137000
     6119.951000       0.208000
     6123.698700       0.293000
     6127.451000       0.420000
     6131.207800       0.559000
     6134.969300       0.674000
     6138.735400       0.757000
     6142.506100       0.795000
     6146.281500       0.802000
     6150.061500       0.787000
     6153.846200       0.769000
     6157.635500       0.748000
     6161.429500       0.744000
     6165.228100       0.740000
     6169.031500       0.754000
     6172.839500       0.760000
     6176.652300       0.793000
     6180.469700       0.826000
     6184.291900       0.855000
     6188.118800       0.886000
     6191.950500       0.914000
     6195.786900       0.941000
     6199.628000       0.956000
     6203.473900       0.980000
     6207.324600       0.988000
     6211.180100       0.993000
     6215.040400       0.987000
     6218.905500       0.985000
     6222.775400       0.989000
     6226.650100       0.986000
     6230.529600       0.997000
     6234.414000       0.993000
     6238.303200       0.994000
     6242.197300       0.997000
     6246.096200       1.000000
     6250.000000       1.000000
     6253.908700       0.989000
     6257.822300       0.986000
     6261.740800       0.979000
     6265.664200       0.973000
     6269.592500       0.957000
     6273.525700       0.949000
     6277.463900       0.944000
     6281.407000       0.930000
     6285.355100       0.923000
     6289.308200       0.910000
     6293.266200       0.893000
     6297.229200       0.844000
     6301.197200       0.778000
     6305.170200       0.689000
     6309.148300       0.559000
     6313.131300       0.450000
     6317.119400       0.343000
     6321.112500       0.246000
     6325.110700       0.176000
     6329.113900       0.120000
     6333.122200       0.085200
     6337.135600       0.059100
     6341.154100       0.040100
     6345.177700       0.028700
     6349.206300       0.019900
     6353.240200       0.014700
     6357.279100       0.009770
     6361.323200       0.006920
     6365.372400       0.005610
     6369.426800       0.003740
     6373.486300       0.003120
     6377.551000       0.002540
     6381.620900       0.001020
     6385.696000       0.000905
     6389.776400       0.000858
     6393.861900       0.000430
     6397.952700       0.000309
     6402.048700       0.000368
     6406.149900       0.000179
