3 , NOAA16 AVHRR vis 3A filter   NOAA_16_A301C03A.txt
Number of data points:
80
Wavenumber (cm-1)   Filter response
     6079.027400       0.000000
     6082.725100       0.001000
     6086.427300       0.001000
     6090.134000       0.002000
     6093.845200       0.003000
     6097.561000       0.006000
     6101.281300       0.009000
     6105.006100       0.015000
     6108.735500       0.023000
     6112.469400       0.035000
     6116.208000       0.052000
     6119.951000       0.079000
     6123.698700       0.122000
     6127.451000       0.185000
     6131.207800       0.267000
     6134.969300       0.388000
     6138.735400       0.530000
     6142.506100       0.676000
     6146.281500       0.792000
     6150.061500       0.874000
     6153.846200       0.915000
     6157.635500       0.913000
     6161.429500       0.909000
     6165.228100       0.883000
     6169.031500       0.874000
     6172.839500       0.867000
     6176.652300       0.870000
     6180.469700       0.882000
     6184.291900       0.894000
     6188.118800       0.918000
     6191.950500       0.938000
     6195.786900       0.957000
     6199.628000       0.973000
     6203.473900       0.988000
     6207.324600       0.994000
     6211.180100       0.997000
     6215.040400       1.000000
     6218.905500       0.995000
     6222.775400       0.994000
     6226.650100       0.988000
     6230.529600       0.990000
     6234.414000       0.982000
     6238.303200       0.985000
     6242.197300       0.986000
     6246.096200       0.984000
     6250.000000       0.988000
     6253.908700       0.983000
     6257.822300       0.986000
     6261.740800       0.979000
     6265.664200       0.974000
     6269.592500       0.967000
     6273.525700       0.954000
     6277.463900       0.950000
     6281.407000       0.942000
     6285.355100       0.943000
     6289.308200       0.937000
     6293.266200       0.938000
     6297.229200       0.933000
     6301.197200       0.911000
     6305.170200       0.862000
     6309.148300       0.777000
     6313.131300       0.654000
     6317.119400       0.524000
     6321.112500       0.400000
     6325.110700       0.280000
     6329.113900       0.195000
     6333.122200       0.129000
     6337.135600       0.088000
     6341.154100       0.061000
     6345.177700       0.039000
     6349.206300       0.026000
     6353.240200       0.017000
     6357.279100       0.011000
     6361.323200       0.007000
     6365.372400       0.004000
     6369.426800       0.003000
     6373.486300       0.002000
     6377.551000       0.001000
     6381.620900       0.001000
     6385.696000       0.000000
