02, NOAA-N AVHRR CHANNEL 02
Number of data points:
967
Wavenumber (cm-1)   Filter response
     9570.000000       0.000000
     9575.000000       0.001000
     9580.000000       0.001000
     9585.000000       0.001000
     9590.000000       0.001000
     9595.000000       0.001000
     9600.000000       0.001000
     9605.000000       0.001000
     9610.000000       0.001000
     9615.000000       0.001000
     9620.000000       0.001000
     9625.000000       0.001000
     9630.000000       0.001000
     9635.000000       0.001000
     9640.000000       0.001000
     9645.000000       0.001000
     9650.000000       0.001000
     9655.000000       0.001000
     9660.000000       0.001000
     9665.000000       0.001000
     9670.000000       0.001000
     9675.000000       0.001000
     9680.000000       0.001000
     9685.000000       0.001000
     9690.000000       0.001000
     9695.000000       0.001000
     9700.000000       0.001000
     9705.000000       0.001000
     9710.000000       0.001000
     9715.000000       0.001000
     9720.000000       0.001000
     9725.000000       0.001000
     9730.000000       0.001000
     9735.000000       0.001000
     9740.000000       0.002000
     9745.000000       0.002000
     9750.000000       0.002000
     9755.000000       0.002000
     9760.000000       0.002000
     9765.000000       0.002000
     9770.000000       0.002000
     9775.000000       0.002000
     9780.000000       0.002000
     9785.000000       0.002000
     9790.000000       0.002000
     9795.000000       0.003000
     9800.000000       0.003000
     9805.000000       0.003000
     9810.000000       0.003000
     9815.000000       0.003000
     9820.000000       0.003000
     9825.000000       0.004000
     9830.000000       0.004000
     9835.000000       0.004000
     9840.000000       0.005000
     9845.000000       0.005000
     9850.000000       0.005000
     9855.000000       0.006000
     9860.000000       0.006000
     9865.000000       0.007000
     9870.000000       0.007000
     9875.000000       0.008000
     9880.000000       0.009000
     9885.000000       0.010000
     9890.000000       0.011000
     9895.000000       0.012000
     9900.000000       0.013000
     9905.000000       0.015000
     9910.000000       0.016000
     9915.000000       0.018000
     9920.000000       0.021000
     9925.000000       0.023000
     9930.000000       0.026000
     9935.000000       0.029000
     9940.000000       0.033000
     9945.000000       0.038000
     9950.000000       0.043000
     9955.000000       0.048000
     9960.000000       0.054000
     9965.000000       0.062000
     9970.000000       0.070000
     9975.000000       0.079000
     9980.000000       0.090000
     9985.000000       0.103000
     9990.000000       0.118000
     9995.000000       0.136000
    10000.000000       0.156000
    10005.000000       0.180000
    10010.000000       0.206000
    10015.000000       0.235000
    10020.000000       0.265000
    10025.000000       0.297000
    10030.000000       0.331000
    10035.000000       0.365000
    10040.000000       0.399000
    10045.000000       0.433000
    10050.000000       0.467000
    10055.000000       0.500000
    10060.000000       0.532000
    10065.000000       0.561000
    10070.000000       0.589000
    10075.000000       0.613000
    10080.000000       0.634000
    10085.000000       0.651000
    10090.000000       0.665000
    10095.000000       0.676000
    10100.000000       0.684000
    10105.000000       0.691000
    10110.000000       0.695000
    10115.000000       0.699000
    10120.000000       0.702000
    10125.000000       0.704000
    10130.000000       0.707000
    10135.000000       0.710000
    10140.000000       0.712000
    10145.000000       0.716000
    10150.000000       0.719000
    10155.000000       0.723000
    10160.000000       0.727000
    10165.000000       0.731000
    10170.000000       0.737000
    10175.000000       0.742000
    10180.000000       0.749000
    10185.000000       0.755000
    10190.000000       0.762000
    10195.000000       0.769000
    10200.000000       0.776000
    10205.000000       0.783000
    10210.000000       0.791000
    10215.000000       0.798000
    10220.000000       0.805000
    10225.000000       0.813000
    10230.000000       0.820000
    10235.000000       0.827000
    10240.000000       0.833000
    10245.000000       0.840000
    10250.000000       0.846000
    10255.000000       0.852000
    10260.000000       0.857000
    10265.000000       0.862000
    10270.000000       0.867000
    10275.000000       0.871000
    10280.000000       0.875000
    10285.000000       0.879000
    10290.000000       0.882000
    10295.000000       0.884000
    10300.000000       0.887000
    10305.000000       0.889000
    10310.000000       0.890000
    10315.000000       0.891000
    10320.000000       0.892000
    10325.000000       0.893000
    10330.000000       0.894000
    10335.000000       0.894000
    10340.000000       0.894000
    10345.000000       0.894000
    10350.000000       0.895000
    10355.000000       0.895000
    10360.000000       0.895000
    10365.000000       0.895000
    10370.000000       0.895000
    10375.000000       0.895000
    10380.000000       0.895000
    10385.000000       0.896000
    10390.000000       0.896000
    10395.000000       0.897000
    10400.000000       0.897000
    10405.000000       0.898000
    10410.000000       0.899000
    10415.000000       0.900000
    10420.000000       0.901000
    10425.000000       0.902000
    10430.000000       0.903000
    10435.000000       0.904000
    10440.000000       0.905000
    10445.000000       0.906000
    10450.000000       0.907000
    10455.000000       0.909000
    10460.000000       0.910000
    10465.000000       0.911000
    10470.000000       0.913000
    10475.000000       0.914000
    10480.000000       0.915000
    10485.000000       0.917000
    10490.000000       0.919000
    10495.000000       0.920000
    10500.000000       0.922000
    10505.000000       0.924000
    10510.000000       0.926000
    10515.000000       0.928000
    10520.000000       0.930000
    10525.000000       0.932000
    10530.000000       0.934000
    10535.000000       0.935000
    10540.000000       0.937000
    10545.000000       0.938000
    10550.000000       0.939000
    10555.000000       0.940000
    10560.000000       0.941000
    10565.000000       0.941000
    10570.000000       0.941000
    10575.000000       0.941000
    10580.000000       0.941000
    10585.000000       0.942000
    10590.000000       0.942000
    10595.000000       0.943000
    10600.000000       0.944000
    10605.000000       0.946000
    10610.000000       0.947000
    10615.000000       0.948000
    10620.000000       0.950000
    10625.000000       0.951000
    10630.000000       0.952000
    10635.000000       0.952000
    10640.000000       0.952000
    10645.000000       0.951000
    10650.000000       0.951000
    10655.000000       0.949000
    10660.000000       0.948000
    10665.000000       0.946000
    10670.000000       0.944000
    10675.000000       0.943000
    10680.000000       0.941000
    10685.000000       0.940000
    10690.000000       0.939000
    10695.000000       0.939000
    10700.000000       0.939000
    10705.000000       0.939000
    10710.000000       0.939000
    10715.000000       0.939000
    10720.000000       0.939000
    10725.000000       0.940000
    10730.000000       0.941000
    10735.000000       0.942000
    10740.000000       0.943000
    10745.000000       0.944000
    10750.000000       0.945000
    10755.000000       0.946000
    10760.000000       0.947000
    10765.000000       0.947000
    10770.000000       0.948000
    10775.000000       0.949000
    10780.000000       0.949000
    10785.000000       0.950000
    10790.000000       0.950000
    10795.000000       0.950000
    10800.000000       0.950000
    10805.000000       0.950000
    10810.000000       0.950000
    10815.000000       0.950000
    10820.000000       0.950000
    10825.000000       0.950000
    10830.000000       0.951000
    10835.000000       0.951000
    10840.000000       0.951000
    10845.000000       0.951000
    10850.000000       0.951000
    10855.000000       0.951000
