 3    ,noaa_19_avhrr_06.flt   Channel 3A
Number of data points:
93
Wavenumber (cm-1)   Filter response
     6038.647300       0.000000
     6042.296100       0.000017
     6045.949200       0.000806
     6049.606800       0.001941
     6053.268800       0.001487
     6056.935200       0.001987
     6060.606100       0.003197
     6064.281400       0.004317
     6067.961200       0.006733
     6071.645400       0.008514
     6075.334100       0.012576
     6079.027400       0.017752
     6082.725100       0.024271
     6086.427300       0.032768
     6090.134000       0.046096
     6093.845200       0.062458
     6097.561000       0.090034
     6101.281300       0.130480
     6105.006100       0.173040
     6108.735500       0.240130
     6112.469400       0.312410
     6116.208000       0.396590
     6119.951000       0.508000
     6123.698700       0.585480
     6127.451000       0.670120
     6131.207800       0.730960
     6134.969300       0.791130
     6138.735400       0.791800
     6142.506100       0.824610
     6146.281500       0.818750
     6150.061500       0.812180
     6153.846200       0.816460
     6157.635500       0.804790
     6161.429500       0.812460
     6165.228100       0.812600
     6169.031500       0.806380
     6172.839500       0.875800
     6176.652300       0.926970
     6180.469700       0.870040
     6184.291900       0.917730
     6188.118800       0.915390
     6191.950500       0.885000
     6195.786900       0.944960
     6199.628000       0.903180
     6203.473900       0.958030
     6207.324600       0.922870
     6211.180100       0.952620
     6215.040400       0.925120
     6218.905500       0.944540
     6222.775400       0.912510
     6226.650100       0.947150
     6230.529600       0.945410
     6234.414000       1.000000
     6238.303200       0.963180
     6242.197300       0.920630
     6246.096200       0.925830
     6250.000000       0.951030
     6253.908700       0.963920
     6257.822300       0.961250
     6261.740800       0.985390
     6265.664200       0.921350
     6269.592500       0.942720
     6273.525700       0.926400
     6277.463900       0.889240
     6281.407000       0.855880
     6285.355100       0.787870
     6289.308200       0.695530
     6293.266200       0.623320
     6297.229200       0.531440
     6301.197200       0.444140
     6305.170200       0.356180
     6309.148300       0.290520
     6313.131300       0.223470
     6317.119400       0.173160
     6321.112500       0.125700
     6325.110700       0.093609
     6329.113900       0.073386
     6333.122200       0.052677
     6337.135600       0.036578
     6341.154100       0.027512
     6345.177700       0.019459
     6349.206300       0.013567
     6353.240200       0.009464
     6357.279100       0.007239
     6361.323200       0.004624
     6365.372400       0.003403
     6369.426800       0.002301
     6373.486300       0.001654
     6377.551000       0.001384
     6381.620900       0.000342
     6385.696000       0.000837
     6389.776400       0.000525
     6393.861900       0.000000
