1,    JPSS-1 VIIRS I1 0.640mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_I1_BA_Fused_V2F.txt
Number of data points:
223
Wavenumber (cm-1)   Filter response
    13792.913200       0.000000
    13908.379900       0.000000
    14025.402800       0.000039
    14144.191500       0.000127
    14204.345700       0.000270
    14221.372700       0.000243
    14238.355500       0.000428
    14255.435700       0.000496
    14266.941000       0.000765
    14271.017200       0.000623
    14272.300400       0.000640
    14275.063000       0.000615
    14279.158100       0.000633
    14283.210600       0.000648
    14287.292000       0.000844
    14291.341000       0.000838
    14295.422900       0.000963
    14299.474500       0.000993
    14304.518600       0.001200
    14308.601900       0.001110
    14312.642500       0.001314
    14316.732500       0.001412
    14320.779700       0.001114
    14324.872300       0.001428
    14328.920100       0.001958
    14333.789800       0.001727
    14338.050200       0.001800
    14342.130100       0.002022
    14346.187600       0.002194
    14350.255600       0.002182
    14354.321800       0.002293
    14358.363500       0.002454
    14362.459100       0.002641
    14366.596200       0.002565
    14370.591100       0.003157
    14375.640100       0.003023
    14379.718600       0.003153
    14383.768400       0.003387
    14387.857800       0.003762
    14391.906000       0.003813
    14395.993800       0.004147
    14400.040300       0.004452
    14404.114000       0.004636
    14409.186600       0.004829
    14413.236400       0.005126
    14417.317600       0.005590
    14421.376200       0.005734
    14427.507800       0.006237
    14429.535500       0.006410
    14434.611400       0.006864
    14437.689500       0.007143
    14442.748200       0.007610
    14446.781500       0.008067
    14450.890000       0.008743
    14454.942400       0.009133
    14459.036800       0.009801
    14463.041500       0.010374
    14467.178200       0.011102
    14472.201000       0.011913
    14476.177400       0.012821
    14480.346700       0.013829
    14484.468100       0.014978
    14488.493200       0.016100
    14491.142800       0.016849
    14496.648800       0.018598
    14498.693900       0.019511
    14505.766800       0.021998
    14512.907600       0.025325
    14517.001200       0.027196
    14522.035500       0.029875
    14524.535000       0.031535
    14530.169900       0.035123
    14541.366000       0.043859
    14547.420300       0.048925
    14549.481800       0.051102
    14555.549200       0.057466
    14559.556700       0.062132
    14563.685100       0.067358
    14567.724600       0.072786
    14572.172000       0.080324
    14576.547600       0.087148
    14580.938700       0.095018
    14584.964400       0.103449
    14589.066800       0.112854
    14593.097000       0.122884
    14597.204000       0.133501
    14598.316400       0.137226
    14601.230200       0.144564
    14605.405800       0.157654
    14609.432200       0.171397
    14614.409000       0.189198
    14618.372000       0.203796
    14618.485300       0.205715
    14622.536000       0.222977
    14626.623300       0.242129
    14630.676400       0.262831
    14634.898800       0.286300
    14638.804300       0.306714
    14639.398000       0.314494
    14643.887000       0.338133
    14647.926100       0.364151
    14652.021100       0.391954
    14656.071100       0.418936
    14660.293200       0.453909
    14660.454300       0.451560
    14664.216600       0.480666
    14668.305600       0.509377
    14673.346400       0.548765
    14677.414600       0.580116
    14681.306300       0.605239
    14681.489500       0.609182
    14685.558000       0.640752
    14689.628700       0.670777
    14693.690900       0.698146
    14697.777000       0.729830
    14701.845800       0.754870
    14702.429400       0.752943
    14705.897500       0.779558
    14723.489900       0.865348
    14744.710800       0.935665
    14765.969000       0.972128
    14787.325700       0.985601
    14808.661000       0.990028
    14830.088700       0.989000
    14851.510100       0.986198
    14872.834300       0.981949
    14894.224200       0.977788
    14915.711300       0.974378
    14937.126600       0.973018
    14958.746800       0.974275
    14980.501400       0.976202
    15002.161800       0.980544
    15023.799200       0.984363
    15045.542100       0.987539
    15067.130100       0.989279
    15088.846100       0.990675
    15110.405700       0.992574
    15132.146000       0.994422
    15153.834100       0.996578
    15175.672100       0.998735
    15197.619200       1.000000
    15219.428400       0.997574
    15241.225900       0.993078
    15262.999800       0.984351
    15284.875700       0.973519
    15306.694900       0.962049
    15328.226400       0.949924
    15350.219100       0.940388
    15371.937100       0.931302
    15393.797200       0.925352
    15415.634000       0.920200
    15437.287400       0.916469
    15459.104500       0.914857
    15480.834700       0.915571
    15502.710300       0.919302
    15524.332000       0.924762
    15545.946400       0.933477
    15567.446700       0.942805
    15588.955400       0.950914
    15610.721100       0.957891
    15632.195700       0.961598
    15653.771100       0.961106
    15675.303000       0.958361
    15696.672500       0.952497
    15718.335000       0.945320
    15739.574300       0.938709
    15760.672300       0.929675
    15782.163200       0.921999
    15845.826400       0.887304
    15866.510600       0.877106
    15869.736100       0.871428
    15893.564000       0.863413
    15917.602800       0.857344
    15941.864500       0.864482
    15966.340400       0.864622
    15990.909500       0.870688
    16015.713300       0.888243
    16040.630300       0.893452
    16065.728100       0.906821
    16090.899400       0.912080
    16116.383500       0.911043
    16142.086500       0.909286
    16167.950100       0.907923
    16194.030400       0.904201
    16220.281800       0.909340
    16246.526100       0.905980
    16273.019600       0.900851
    16299.655500       0.902376
    16326.498600       0.892541
    16353.590800       0.877187
    16380.850900       0.854592
    16408.053900       0.832318
    16435.523000       0.806591
    16463.013700       0.786799
    16481.624700       0.776905
    16490.844000       0.775103
    16502.807500       0.769722
    16526.019200       0.748709
    16549.055300       0.695364
    16572.537400       0.590368
    16596.179900       0.449472
    16619.710400       0.311246
    16643.307800       0.200415
    16667.152800       0.123857
    16690.904600       0.075319
    16714.640500       0.045933
    16738.637200       0.029331
    16762.388300       0.019885
    16786.232200       0.014093
    16834.710700       0.008736
    16858.934400       0.006607
    16907.591400       0.005198
    16932.045400       0.004745
    16956.757200       0.003796
    16981.307700       0.003396
    17006.021800       0.003302
    17030.732600       0.001951
    17055.759700       0.002000
    17080.924600       0.001686
    17211.704000       0.000391
    17391.364800       0.000091
    17574.939500       0.000027
    17761.989300       0.000000
