6,    JPSS-1 VIIRS M4 0.555mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_M4_BA_Fused_V2F.txt
Number of data points:
230
Wavenumber (cm-1)   Filter response
    16949.210000       0.000018
    17080.924600       0.000074
    17105.941500       0.000097
    17131.026000       0.000137
    17156.516700       0.000166
    17180.914300       0.000255
    17181.522400       0.000243
    17184.593100       0.000235
    17189.354800       0.000266
    17194.299500       0.000285
    17199.318100       0.000303
    17204.410600       0.000310
    17207.045300       0.000276
    17209.375800       0.000333
    17214.699500       0.000363
    17219.857500       0.000364
    17224.908700       0.000403
    17230.141100       0.000417
    17232.492700       0.000423
    17235.142000       0.000452
    17240.321100       0.000471
    17245.327900       0.000494
    17250.516100       0.000538
    17255.502000       0.000570
    17257.762300       0.000590
    17260.610000       0.000609
    17265.574900       0.000637
    17270.817100       0.000669
    17275.826700       0.000742
    17280.884000       0.000793
    17283.171800       0.000809
    17286.030900       0.000840
    17291.121100       0.000905
    17296.295000       0.000959
    17301.391300       0.001034
    17306.568400       0.001140
    17311.751600       0.001215
    17316.955900       0.001313
    17322.088300       0.001422
    17327.361900       0.001522
    17332.380300       0.001671
    17337.633100       0.001818
    17342.720600       0.001954
    17347.931500       0.002139
    17352.992000       0.002337
    17358.151800       0.002549
    17363.269500       0.002788
    17368.513800       0.003031
    17373.577300       0.003318
    17378.836900       0.003643
    17384.078600       0.004020
    17389.175300       0.004438
    17394.444400       0.004888
    17399.686500       0.005420
    17404.858900       0.005977
    17410.001200       0.006630
    17415.182800       0.007351
    17420.367600       0.008143
    17425.522000       0.009031
    17430.643000       0.010013
    17435.821800       0.011166
    17440.939700       0.012441
    17446.091100       0.013909
    17451.221200       0.015518
    17456.497500       0.017365
    17461.606300       0.019336
    17466.870600       0.021569
    17472.049500       0.024092
    17477.323200       0.026927
    17482.520500       0.029990
    17487.650700       0.033355
    17492.924500       0.037178
    17498.063800       0.041159
    17503.252100       0.045586
    17508.305500       0.050144
    17513.573500       0.055378
    17518.663500       0.060741
    17523.821000       0.066592
    17528.972300       0.072827
    17534.182000       0.079652
    17539.317900       0.086748
    17544.573700       0.094298
    17549.743400       0.102252
    17554.977800       0.110810
    17560.215300       0.119808
    17565.483700       0.129449
    17570.724400       0.139336
    17575.983600       0.149788
    17581.239800       0.160723
    17586.533200       0.172392
    17591.758600       0.184299
    17596.987100       0.196989
    17602.184600       0.210250
    17607.434800       0.224189
    17612.613700       0.238477
    17627.457100       0.283297
    17632.803200       0.301051
    17638.081000       0.319090
    17643.430500       0.338271
    17648.711600       0.357919
    17659.233300       0.398906
    17664.558200       0.420783
    17669.801900       0.442951
    17675.045700       0.465575
    17680.317600       0.488923
    17685.770900       0.513234
    17691.014800       0.536601
    17696.227300       0.560526
    17701.521200       0.584395
    17706.786900       0.608605
    17712.055800       0.632375
    17717.362400       0.656096
    17722.694100       0.679480
    17727.959800       0.701972
    17733.297900       0.724410
    17738.573200       0.745063
    17739.954600       0.753674
    17740.288200       0.754214
    17740.936600       0.756647
    17743.873600       0.765728
    17749.123600       0.785350
    17749.252800       0.788446
    17754.420900       0.804389
    17759.711800       0.822036
    17764.971200       0.838667
    17766.350500       0.848022
    17770.167400       0.854255
    17778.855600       0.880713
    17782.209900       0.888160
    17783.098500       0.894388
    17783.999800       0.895138
    17806.001500       0.946577
    17806.020500       0.939128
    17807.412500       0.941958
    17814.740600       0.952634
    17826.252500       0.970024
    17833.322600       0.976867
    17834.381700       0.977131
    17834.944700       0.978115
    17836.726200       0.979481
    17849.002400       0.991154
    17858.530100       0.999283
    17858.820300       0.993808
    17861.962400       0.999833
    17877.552000       1.000000
    17890.761500       0.998996
    17892.743000       0.999382
    17897.389600       0.997667
    17900.272900       0.997798
    17908.453800       0.996175
    17911.542800       0.994540
    17919.130200       0.992129
    17919.172000       0.993142
    17924.050800       0.990768
    17926.120000       0.989572
    17926.255000       0.989758
    17937.078200       0.984360
    17940.785400       0.984046
    17942.211400       0.984691
    17942.288600       0.982318
    17950.556300       0.979173
    17952.673500       0.978079
    17956.184000       0.976238
    17967.860200       0.970900
    17970.869600       0.970567
    17973.673200       0.968407
    17975.217600       0.968968
    17980.718600       0.965961
    17982.645700       0.965934
    17984.712300       0.964605
    17992.653200       0.962249
    17994.304400       0.961996
    17996.179400       0.960941
    17999.843000       0.960651
    18003.398000       0.958751
    18003.962000       0.959200
    18004.344400       0.959377
    18011.280800       0.958564
    18015.739300       0.957425
    18019.232300       0.956956
    18024.159200       0.956814
    18030.668700       0.956389
    18040.417400       0.956711
    18049.831300       0.957262
    18064.951100       0.960037
    18072.257600       0.962102
    18095.794100       0.965180
    18101.198700       0.965560
    18117.468200       0.967336
    18118.741900       0.966813
    18129.509600       0.967527
    18134.082700       0.966656
    18143.772300       0.965571
    18175.090100       0.945580
    18193.531500       0.913086
    18202.201300       0.888811
    18214.120100       0.837606
    18251.062700       0.602638
    18262.795400       0.537786
    18294.375200       0.334525
    18313.039400       0.254248
    18328.032600       0.214234
    18341.617000       0.165160
    18347.933700       0.152299
    18358.352100       0.125564
    18367.675700       0.106194
    18384.171100       0.078817
    18399.643200       0.062459
    18412.893300       0.050113
    18423.935500       0.038761
    18439.559600       0.032042
    18450.126600       0.025030
    18457.676500       0.023636
    18471.781500       0.017887
    18484.107300       0.016761
    18499.556500       0.012136
    18506.434500       0.011774
    18518.343600       0.008695
    18525.211600       0.008795
    18537.337300       0.006787
    18541.730000       0.006907
    18552.841300       0.005474
    18554.930900       0.005698
    18568.884900       0.004672
    18583.481600       0.003868
    18597.890200       0.003203
    18611.843100       0.002573
    18624.759000       0.002181
    18637.084900       0.001859
    18751.748600       0.000598
