10,    JPSS-1 VIIRS DNB 0.7mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_DNBLGS_BA_Fused_V2FS.txt
Number of data points:
988
Wavenumber (cm-1)   Filter response
    10787.463200       0.000000
    10894.295300       0.000000
    10906.984500       0.000175
    10919.383700       0.000206
    10931.801600       0.000237
    10940.867600       0.000316
    10953.488000       0.000410
    10965.476200       0.000543
    10978.327000       0.000683
    10990.471200       0.000865
    10999.773800       0.001096
    11012.229900       0.001318
    11024.733500       0.001663
    11037.416700       0.002007
    11049.880000       0.002657
    11062.611400       0.003518
    11075.310800       0.004637
    11084.014400       0.005542
    11092.195200       0.006402
    11097.036400       0.007336
    11098.843200       0.007884
    11100.579100       0.008309
    11100.593900       0.008291
    11108.531500       0.010574
    11109.146000       0.009794
    11113.370800       0.011809
    11116.688000       0.012980
    11117.303400       0.013145
    11117.729900       0.013224
    11117.944900       0.012617
    11125.269900       0.016295
    11125.310700       0.016368
    11125.356500       0.015817
    11125.377600       0.016375
    11133.391500       0.020805
    11138.303400       0.023938
    11138.428700       0.024610
    11142.060000       0.027656
    11150.088100       0.036941
    11150.693600       0.036914
    11150.877600       0.037854
    11151.266800       0.038692
    11159.192400       0.051844
    11159.604600       0.052736
    11160.163800       0.052878
    11163.665900       0.061602
    11166.550600       0.068733
    11168.335200       0.073748
    11172.497800       0.087289
    11175.730400       0.098342
    11176.075200       0.099888
    11180.729800       0.119327
    11184.462500       0.137928
    11185.677300       0.143570
    11192.434100       0.183654
    11192.808700       0.185808
    11198.057800       0.222149
    11200.172400       0.237947
    11201.225000       0.245048
    11201.739400       0.249528
    11208.323400       0.302474
    11209.319700       0.311775
    11209.983200       0.316755
    11210.503400       0.321725
    11210.551200       0.322291
    11217.087700       0.379744
    11218.069200       0.390072
    11218.747500       0.395786
    11223.004500       0.437207
    11231.144600       0.510833
    11235.578900       0.551410
    11235.754300       0.554382
    11244.064700       0.621344
    11248.182700       0.652562
    11250.537800       0.670836
    11251.927700       0.679809
    11252.188600       0.680235
    11259.014500       0.724129
    11259.664900       0.728240
    11260.658900       0.734970
    11260.954400       0.737046
    11260.967100       0.737945
    11267.420300       0.770163
    11268.790300       0.773938
    11269.045500       0.776416
    11273.729700       0.794163
    11277.795700       0.808891
    11285.464000       0.822739
    11285.661400       0.785971
    11286.164500       0.825773
    11292.762700       0.832686
    11294.229500       0.829775
    11302.243300       0.833413
    11303.011100       0.832359
    11303.214300       0.832527
    11310.112500       0.828237
    11311.010600       0.829011
    11318.206600       0.824372
    11319.773500       0.823958
    11327.360500       0.821532
    11328.023900       0.822720
    11328.515400       0.822428
    11335.576900       0.818331
    11336.477800       0.818147
    11336.801600       0.819997
    11343.481100       0.818901
    11344.716500       0.817940
    11345.255800       0.817852
    11352.240300       0.818127
    11353.507200       0.819596
    11353.654200       0.818988
    11361.712600       0.821598
    11362.288400       0.823842
    11369.699800       0.832737
    11378.495600       0.839040
    11378.899600       0.839637
    11386.094100       0.844399
    11386.940800       0.842137
    11395.247800       0.848408
    11395.728300       0.847370
    11402.292700       0.844220
    11411.062300       0.847682
    11412.127500       0.847240
    11419.501100       0.847042
    11420.210500       0.849190
    11421.237000       0.850805
    11427.859600       0.853892
    11429.361700       0.855186
    11431.866400       0.857112
    11436.669900       0.864587
    11437.771300       0.864786
    11438.154600       0.865778
    11444.648900       0.870587
    11445.834400       0.871697
    11446.556300       0.874117
    11453.157100       0.880704
    11454.642200       0.881403
    11461.605700       0.893283
    11462.949800       0.894085
    11465.634900       0.898767
    11470.019500       0.903032
    11478.450900       0.911709
    11479.908300       0.913203
    11486.704700       0.916740
    11487.253600       0.916795
    11495.284800       0.916936
    11495.488300       0.918782
    11496.435900       0.916539
    11498.907900       0.917644
    11503.712400       0.912833
    11504.262900       0.911806
    11505.237100       0.911814
    11512.491600       0.902641
    11513.453900       0.901632
    11524.033900       0.895520
    11529.986600       0.896960
    11530.840100       0.896889
    11537.255000       0.896712
    11545.825600       0.898111
    11546.061500       0.900085
    11554.239300       0.900359
    11554.667800       0.903482
    11555.180600       0.903687
    11562.709400       0.909003
    11571.232200       0.920866
    11579.408100       0.926232
    11580.037000       0.926943
    11584.021000       0.898813
    11588.190500       0.934496
    11588.832400       0.934987
    11592.021600       0.938321
    11596.494000       0.937050
    11600.948300       0.936138
    11604.849800       0.930659
    11606.475500       0.931432
    11613.402400       0.925191
    11613.627600       0.922033
    11614.106400       0.921801
    11622.216100       0.916806
    11625.823800       0.913539
    11631.001400       0.913481
    11638.641600       0.916740
    11639.793100       0.916439
    11647.440800       0.919061
    11648.254900       0.917038
    11656.266900       0.922496
    11659.282600       0.926675
    11664.013900       0.930740
    11664.533600       0.931562
    11668.004200       0.934213
    11680.863400       0.950017
    11681.246800       0.949279
    11681.929100       0.951090
    11685.102800       0.954682
    11689.308500       0.956035
    11697.597500       0.958974
    11698.150300       0.958994
    11706.427200       0.956617
    11706.483300       0.957449
    11714.938100       0.945332
    11715.262000       0.947398
    11723.121900       0.939922
    11731.597900       0.935417
    11732.299900       0.936295
    11739.817500       0.933904
    11740.418400       0.933396
    11743.327500       0.934681
    11748.016800       0.933934
    11749.234200       0.932172
    11756.263500       0.931953
    11757.174400       0.933251
    11764.696200       0.934677
    11765.319100       0.934658
    11765.889400       0.936452
    11768.910800       0.940321
    11773.567900       0.943661
    11774.176500       0.942379
    11781.778400       0.948242
    11782.423900       0.948834
    11786.990200       0.953353
    11790.210200       0.956538
    11790.614700       0.956380
    11794.443100       0.960360
    11799.467100       0.961077
    11799.826300       0.960374
    11807.295500       0.957746
    11810.862700       0.957274
    11815.840700       0.950870
    11816.150600       0.951316
    11816.308400       0.951334
    11819.614200       0.948493
    11820.129800       0.947949
    11824.322700       0.944070
    11825.005100       0.943878
    11828.736900       0.938228
    11841.700600       0.935944
    11845.319600       0.935839
    11849.218700       0.931422
    11854.195300       0.928052
    11858.082000       0.928204
    11866.681200       0.930606
    11867.041700       0.928658
    11867.265600       0.929099
    11874.544000       0.931270
    11878.250800       0.933046
    11879.516500       0.934638
    11882.670000       0.939818
    11892.219900       0.947572
    11900.048600       0.950686
    11900.772300       0.950574
    11904.863900       0.952555
    11911.789900       0.955009
    11916.613300       0.954728
    11917.740900       0.956558
    11920.639100       0.953732
    11925.712800       0.952619
    11925.977400       0.951255
    11930.231500       0.953300
    11944.795500       0.952731
    11951.907900       0.950806
    11956.439300       0.950873
    11959.211900       0.949400
    11967.829500       0.948495
    11968.007100       0.948037
    11972.169500       0.947744
    11976.448100       0.951922
    11984.649600       0.954613
    11997.341400       0.959758
    12010.130800       0.965573
    12022.709000       0.963617
    12035.617700       0.956632
    12061.058900       0.943419
    12077.226100       0.939368
    12089.926300       0.941948
    12102.845100       0.950586
    12115.374700       0.962675
    12128.349500       0.962225
    12140.855300       0.967099
    12157.034900       0.965967
    12166.073200       0.962345
    12195.455100       0.952549
    12207.922400       0.963304
    12220.788600       0.968083
    12233.461900       0.971645
    12246.094100       0.974275
    12262.325500       0.970326
    12275.009800       0.963086
    12287.931800       0.951732
    12300.552700       0.955664
    12325.811600       0.966992
    12338.894100       0.965870
    12353.725700       0.967946
    12367.679700       0.962717
    12380.403800       0.946811
    12393.201600       0.938729
    12406.021300       0.944822
    12418.684000       0.950280
    12433.221200       0.955591
    12460.006500       0.972989
    12473.076900       0.966374
    12485.640000       0.953394
    12497.706700       0.950273
    12519.434900       0.961228
    12536.303600       0.969800
    12556.661900       0.985566
    12574.209800       0.984174
    12594.134900       0.971194
    12628.574700       0.983091
    12645.715000       0.998893
    12665.918800       1.000000
    12683.205700       0.986397
    12703.828200       0.972679
    12720.642700       0.969660
    12737.907500       0.975686
    12756.672200       0.985602
