13,    JPSS-1 VIIRS I3 1.61mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_I3_BA_V1F.txt
Number of data points:
169
Wavenumber (cm-1)   Filter response
     5889.333500       0.001421
     5906.692000       0.002056
     5910.182900       0.002094
     5913.660600       0.002135
     5917.177300       0.002238
     5920.698200       0.002364
     5924.135500       0.002522
     5927.699800       0.002619
     5931.250900       0.002748
     5934.753300       0.002914
     5938.242300       0.003150
     5941.735300       0.003310
     5945.356200       0.003578
     5948.875400       0.003799
     5952.398700       0.004088
     5955.943900       0.004336
     5959.546600       0.004693
     5963.082600       0.005062
     5966.551500       0.005296
     5970.095800       0.005815
     5973.715700       0.006213
     5977.268400       0.006723
     5980.879100       0.007241
     5984.494200       0.007772
     5988.024000       0.008404
     5991.557900       0.009088
     5995.257800       0.009721
     5998.764300       0.010582
     6002.382900       0.011487
     6005.969900       0.012358
     6009.651500       0.013513
     6013.229100       0.014810
     6016.811000       0.015803
     6020.487700       0.017336
     6024.060100       0.018864
     6027.745700       0.020564
     6031.399500       0.022885
     6034.984800       0.025297
     6038.665600       0.027875
     6042.332600       0.030592
     6045.930900       0.034174
     6049.625100       0.038058
     6053.232100       0.042808
     6056.935200       0.047821
     6060.661200       0.054258
     6064.318200       0.061294
     6067.961200       0.069364
     6071.627000       0.078513
     6075.315700       0.090609
     6079.027400       0.102928
     6082.743600       0.119591
     6086.390200       0.135121
     6090.208200       0.157642
     6093.882400       0.181816
     6097.579600       0.209068
     6101.262700       0.241998
     6104.968800       0.276754
     6108.716800       0.323535
     6112.450800       0.366606
     6116.189200       0.420033
     6119.951000       0.473568
     6123.623700       0.531805
     6127.394700       0.601426
     6131.189100       0.665674
     6134.969300       0.723935
     6138.660100       0.778620
     6142.468400       0.830528
     6146.262600       0.887022
     6150.061500       0.906110
     6153.770400       0.946094
     6157.654400       0.961708
     6161.467400       0.971259
     6165.247100       0.989624
     6169.050500       0.978366
     6172.839500       0.992791
     6176.614100       0.993231
     6180.393300       0.978645
     6184.349300       0.986715
     6188.118800       0.981386
     6191.873800       0.974418
     6195.825300       0.978265
     6199.589600       0.986749
     6203.435500       0.976152
     6207.363200       0.978800
     6211.122300       0.989866
     6215.059700       0.987299
     6218.905500       0.994797
     6222.756000       0.994475
     6226.688800       0.993611
     6230.549000       1.000000
     6234.414000       0.990355
     6238.283700       0.985813
     6242.197300       0.984336
     6246.174200       0.974434
     6250.000000       0.949203
     6253.908700       0.941407
     6257.744000       0.943303
     6261.799600       0.943240
     6265.683800       0.912501
     6269.651400       0.915555
     6273.565100       0.927457
     6277.483600       0.924227
     6281.426800       0.920515
     6285.374900       0.921918
     6289.328000       0.910108
     6293.305800       0.911196
     6297.308500       0.916264
     6301.117800       0.915258
     6305.130500       0.911159
     6309.168200       0.902106
     6313.111400       0.893953
     6317.159300       0.892182
     6321.132500       0.875072
     6325.090700       0.850307
     6329.053800       0.823477
     6333.142300       0.787795
     6337.115500       0.756768
     6341.194300       0.712850
     6345.258200       0.662088
     6349.145900       0.612718
     6353.220000       0.559154
     6357.299300       0.509778
     6361.282700       0.457686
     6365.331900       0.407778
     6369.406500       0.361361
     6373.466000       0.313939
     6377.510300       0.276722
     6381.559800       0.241119
     6385.716400       0.210286
     6389.858000       0.179442
     6393.902800       0.156089
     6397.932200       0.135986
     6402.069100       0.117756
     6406.088300       0.100118
     6410.297500       0.086943
     6414.347600       0.075511
     6418.485200       0.064616
     6422.525100       0.056141
     6426.755900       0.047793
     6430.888800       0.041527
     6434.944300       0.036274
     6439.108600       0.031605
     6443.299000       0.027468
     6447.494800       0.023827
     6451.592100       0.020853
     6455.819600       0.018274
     6459.927500       0.015974
     6464.082300       0.013992
     6468.347100       0.012318
     6472.533800       0.010858
     6476.725900       0.009527
     6480.965400       0.008553
     6485.168400       0.007600
     6489.208400       0.006739
     6493.485400       0.006059
     6497.768000       0.005403
     6501.950600       0.004905
     6506.159700       0.004355
     6510.374300       0.004000
     6514.721600       0.003588
     6518.841100       0.003244
     6523.199800       0.002994
     6527.479100       0.002700
     6531.636000       0.002458
     6536.011800       0.002253
     6540.286500       0.002221
     6544.459800       0.002226
     6548.852800       0.002064
     6587.637000       0.000958
