18,    JPSS-1 VIIRS M13 4.05mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_M13_BA_V2F.txt
Number of data points:
66
Wavenumber (cm-1)   Filter response
     2304.128900       0.000366
     2314.003300       0.000583
     2318.020900       0.000704
     2322.163000       0.000855
     2326.263000       0.001036
     2330.331500       0.001252
     2334.479600       0.001518
     2338.653400       0.001842
     2342.803700       0.002231
     2346.982600       0.002705
     2351.198500       0.003556
     2355.385200       0.004665
     2359.606400       0.006134
     2363.856600       0.008080
     2368.141900       0.010669
     2372.389200       0.014051
     2376.660200       0.022608
     2380.952400       0.034359
     2385.262900       0.051108
     2389.583300       0.073687
     2393.976800       0.109215
     2398.311600       0.159328
     2402.653500       0.236169
     2407.054600       0.345400
     2411.518400       0.493821
     2415.917000       0.654656
     2420.372800       0.803015
     2424.833200       0.900018
     2429.292400       0.947492
     2433.756200       0.955662
     2438.352400       0.954215
     2442.837600       0.946816
     2447.399300       0.947988
     2451.923900       0.954754
     2456.534700       0.967472
     2461.111400       0.979955
     2465.723400       0.981799
     2470.374000       1.000000
     2475.057600       0.993366
     2479.645200       0.968383
     2484.342400       0.927193
     2489.001700       0.864280
     2493.768700       0.780505
     2498.497800       0.660730
     2503.254200       0.523818
     2508.038300       0.391704
     2512.843800       0.276579
     2517.594800       0.189723
     2522.430700       0.130009
     2527.342700       0.087050
     2532.123100       0.060272
     2537.047200       0.041691
     2541.900000       0.029187
     2546.820100       0.020571
     2551.811300       0.014900
     2556.802600       0.010812
     2561.724800       0.007853
     2566.721900       0.005841
     2571.728700       0.004374
     2576.814900       0.003254
     2581.847800       0.002450
     2586.910500       0.001920
     2591.996400       0.001517
     2601.467000       0.001177
     2622.634400       0.000499
     2644.121100       0.000230
