1,    JPSS-2 VIIRS I1 0.64 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_I1_BA_Fused_V2F.txt
Number of data points:
296
Wavenumber (cm-1)   Filter response
    14025.265100       0.000000
    14144.301600       0.000000
    14265.253800       0.000079
    14321.518100       0.000178
    14330.897600       0.000213
    14343.847900       0.000235
    14353.236000       0.000246
    14355.275900       0.000248
    14363.193500       0.000277
    14372.359100       0.000336
    14378.414000       0.000360
    14387.205700       0.000414
    14394.930700       0.000531
    14395.593800       0.000478
    14397.148200       0.000449
    14403.701200       0.000565
    14405.008300       0.000537
    14413.126300       0.000701
    14419.382000       0.000866
    14419.964200       0.000775
    14428.161500       0.000909
    14437.326800       0.001150
    14438.118900       0.001081
    14445.919500       0.001258
    14454.877700       0.001538
    14458.075200       0.001557
    14469.476600       0.001945
    14478.359200       0.002478
    14479.575100       0.002454
    14487.609500       0.003009
    14501.328300       0.004010
    14510.544800       0.005002
    14518.929800       0.006221
    14520.447700       0.006287
    14529.034100       0.007608
    14543.593000       0.010809
    14543.804500       0.010926
    14552.079700       0.013541
    14561.488100       0.017789
    14562.293900       0.017831
    14568.616000       0.022605
    14584.679400       0.033259
    14585.423900       0.033770
    14593.640100       0.042465
    14602.825100       0.056103
    14603.763400       0.056828
    14617.019500       0.083681
    14623.859700       0.110915
    14626.126900       0.109881
    14635.931200       0.144308
    14650.383300       0.213022
    14650.962800       0.217533
    14657.791900       0.265668
    14666.218900       0.328718
    14668.133500       0.333081
    14682.390500       0.436425
    14692.184100       0.511758
    14692.788500       0.518181
    14700.910000       0.580693
    14709.603000       0.647798
    14715.360800       0.687774
    14730.642800       0.772956
    14741.609100       0.825731
    14752.156400       0.870426
    14763.765000       0.908148
    14774.584200       0.939544
    14785.419200       0.962271
    14796.401500       0.978337
    14807.772900       0.991267
    14818.437100       0.997401
    14819.798700       0.997404
    14829.556500       0.999447
    14830.568200       0.999186
    14839.745600       1.000000
    14841.111100       0.997782
    14852.882200       0.991925
    14861.866400       0.986820
    14873.980200       0.980027
    14886.025100       0.972621
    14896.780200       0.968773
    14908.284200       0.964995
    14919.338600       0.965133
    14930.743700       0.965533
    14941.251000       0.968041
