8,    JPSS-2 VIIRS M6 0.75 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_M6_BA_Fused_V2F.txt
Number of data points:
132
Wavenumber (cm-1)   Filter response
    12989.847100       0.000015
    13005.998400       0.000019
    13028.891600       0.000031
    13046.416500       0.000044
    13074.647100       0.000087
    13079.897200       0.000115
    13082.566700       0.000129
    13090.924300       0.000158
    13096.187600       0.000191
    13099.292600       0.000218
    13108.049700       0.000287
    13116.990400       0.000407
    13124.289600       0.000562
    13130.045200       0.000690
    13138.774400       0.000989
    13146.564500       0.001438
    13156.319400       0.002233
    13162.570900       0.003108
    13164.806300       0.003389
    13164.840900       0.003492
    13173.390800       0.005312
    13181.743300       0.008402
    13182.021300       0.008775
    13186.366900       0.010973
    13189.654000       0.013381
    13198.671700       0.022754
    13198.985300       0.023666
    13206.899300       0.038111
    13215.102200       0.068450
    13215.154600       0.065471
    13216.359700       0.070845
    13222.895700       0.110512
    13223.927400       0.116625
    13223.979800       0.122870
    13231.643700       0.192766
    13232.063900       0.197453
    13232.764300       0.206377
    13239.737200       0.311004
    13240.455900       0.323603
    13241.315000       0.338815
    13248.296900       0.479425
    13249.086800       0.492036
    13249.789000       0.506406
    13256.885300       0.649503
    13257.271900       0.657234
    13258.027700       0.671486
    13265.308800       0.793450
    13266.188700       0.806253
    13271.999000       0.874793
    13274.042600       0.894175
    13277.937800       0.923438
    13281.076700       0.942187
    13282.241000       0.947618
    13282.946700       0.950947
    13288.153600       0.967861
    13295.980500       0.980720
    13305.639900       0.986338
    13313.753200       0.989214
    13322.125000       0.991312
    13330.969300       0.992787
    13338.989100       0.994413
    13347.731100       0.996398
    13356.234800       0.997691
    13364.374300       0.998698
    13364.499300       0.998738
    13372.648900       0.999602
    13373.543100       0.999810
    13382.061900       1.000000
    13394.483600       0.998564
    13402.975200       0.997374
    13413.096500       0.996332
    13420.585000       0.995657
    13429.777000       0.996227
    13437.825900       0.997722
    13446.481000       0.998921
    13454.224000       0.999688
    13463.516600       0.998884
    13473.130500       0.994164
    13481.231400       0.979256
    13481.922100       0.977561
    13488.614300       0.944013
    13492.035700       0.915106
    13495.385900       0.877915
    13496.916000       0.857421
    13502.419600       0.767054
    13503.203600       0.752907
    13505.994000       0.696484
    13510.336800       0.605286
    13513.130000       0.543607
    13513.805700       0.529002
    13520.419900       0.391233
    13521.151100       0.377254
    13523.381900       0.335659
    13528.797400       0.242995
    13530.133600       0.227981
    13536.067500       0.156647
    13537.753400       0.139930
    13538.523200       0.133295
    13545.601900       0.082502
    13545.730400       0.081461
    13547.565500       0.071912
    13554.139300       0.045713
    13555.701100       0.041235
    13555.792900       0.040598
    13556.142100       0.040088
    13566.404200       0.020544
    13576.921400       0.011011
    13577.843100       0.010514
    13584.833900       0.007245
    13595.028600       0.004486
    13595.361300       0.004443
    13603.054700       0.003224
    13612.276100       0.002289
    13612.943200       0.002259
    13620.174200       0.001779
    13630.217600       0.001318
    13630.273400       0.001334
    13638.304000       0.001037
    13646.940000       0.000876
    13648.933100       0.000808
    13659.093600       0.000636
    13665.869500       0.000535
    13669.643000       0.000552
    13676.429400       0.000447
    13684.271000       0.000383
    13686.012800       0.000417
    13694.278000       0.000329
    13702.102600       0.000293
    13702.759700       0.000326
    13711.270800       0.000249
    13719.378300       0.000224
    13743.664200       0.000188
