22,    JPSS-2 VIIRS M16 11.92 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_M16_BA_V2F.txt
Number of data points:
37
Wavenumber (cm-1)   Filter response
      748.113800       0.000000
      755.463900       0.000000
      762.956900       0.000048
      770.600100       0.000238
      778.400900       0.000943
      782.353200       0.002157
      786.352100       0.004243
      790.382600       0.010112
      794.467300       0.026610
      798.604000       0.078267
      802.755100       0.244968
      806.978800       0.569905
      811.230700       0.799653
      815.521000       0.854015
      819.870400       0.854525
      824.276600       0.875451
      828.706400       0.905632
      833.194500       0.948324
      837.731400       0.979130
      842.314500       0.985731
      846.951600       0.992412
      851.647300       1.000000
      856.377000       0.980076
      861.174400       0.934886
      866.029600       0.922854
      870.939800       0.520504
      875.886800       0.109310
      880.898200       0.023271
      885.986800       0.007121
      891.102800       0.003065
      896.286200       0.001793
      901.546600       0.001479
      906.848500       0.001471
      917.683800       0.000561
      928.759500       0.000091
      940.110300       0.000000
      951.746500       0.000000
