 7 , VTPR channel 7 set4 extracted from VTPR_filters_chan7 (source Tom Kleespies, March 2008)
Number of data points:
245
Wavenumber (cm-1)   Filter response
      510.600000       0.000850
      510.800000       0.002370
      511.000000       0.003890
      511.200000       0.005310
      511.400000       0.006450
      511.600000       0.007500
      511.800000       0.008160
      512.000000       0.008730
      512.200000       0.009300
      512.400000       0.009770
      512.600000       0.010250
      512.800000       0.010910
      513.000000       0.011670
      513.200000       0.012520
      513.400000       0.013470
      513.600000       0.014520
      513.800000       0.015750
      514.000000       0.016890
      514.200000       0.018220
      514.400000       0.019450
      514.600000       0.020590
      514.800000       0.021730
      515.000000       0.022680
      515.200000       0.023720
      515.400000       0.024570
      515.600000       0.025430
      515.800000       0.026190
      516.000000       0.027040
      516.200000       0.028080
      516.400000       0.029320
      516.600000       0.030840
      516.800000       0.032640
      517.000000       0.034630
      517.200000       0.036810
      517.400000       0.038900
      517.600000       0.041080
      517.800000       0.043080
      518.000000       0.044970
      518.200000       0.046970
      518.400000       0.048960
      518.600000       0.051050
      518.800000       0.053230
      519.000000       0.055310
      519.200000       0.057400
      519.400000       0.059200
      519.600000       0.060720
      519.800000       0.062150
      520.000000       0.063660
      520.200000       0.065560
      520.400000       0.068310
      520.600000       0.072010
      520.800000       0.076850
      521.000000       0.082450
      521.200000       0.088520
      521.400000       0.094880
      521.600000       0.101140
      521.800000       0.107210
      522.000000       0.113190
      522.200000       0.119070
      522.400000       0.125050
      522.600000       0.131030
      522.800000       0.137100
      523.000000       0.143360
      523.200000       0.149810
      523.400000       0.156550
      523.600000       0.163570
      523.800000       0.171070
      524.000000       0.179320
      524.200000       0.188620
      524.400000       0.199150
      524.600000       0.211300
      524.800000       0.224670
      525.000000       0.238530
      525.200000       0.252000
      525.400000       0.264430
      525.600000       0.274960
      525.800000       0.283690
      526.000000       0.291470
      526.200000       0.299250
      526.400000       0.307980
      526.600000       0.318600
      526.800000       0.331130
      527.000000       0.344890
      527.200000       0.359020
      527.400000       0.372590
      527.600000       0.385020
      527.800000       0.395840
      528.000000       0.405420
      528.200000       0.413860
      528.400000       0.421450
      528.600000       0.428470
      528.800000       0.434930
      529.000000       0.441090
      529.200000       0.446880
      529.400000       0.452380
      529.600000       0.457600
      529.800000       0.462630
      530.000000       0.467380
      530.200000       0.471830
      530.400000       0.476010
      530.600000       0.479900
      530.800000       0.483310
      531.000000       0.486350
      531.200000       0.488910
      531.400000       0.491100
      531.600000       0.492800
      531.800000       0.494040
      532.000000       0.495080
      532.200000       0.495840
      532.400000       0.496600
      532.600000       0.497450
      532.800000       0.498310
      533.000000       0.498970
      533.200000       0.499350
      533.400000       0.499250
      533.600000       0.498500
      533.800000       0.497070
      534.000000       0.495360
      534.200000       0.493470
      534.400000       0.491760
      534.600000       0.490430
      534.800000       0.489480
      535.000000       0.488910
      535.200000       0.488250
      535.400000       0.487490
      535.600000       0.486350
      535.800000       0.484830
      536.000000       0.482840
      536.200000       0.480660
      536.400000       0.478290
      536.600000       0.475720
      536.800000       0.473070
      537.000000       0.470030
      537.200000       0.466520
      537.400000       0.462350
      537.600000       0.457410
      537.800000       0.451720
      538.000000       0.445840
      538.200000       0.440140
      538.400000       0.435120
      538.600000       0.431130
      538.800000       0.428100
      539.000000       0.425340
      539.200000       0.422120
      539.400000       0.417850
      539.600000       0.411680
      539.800000       0.403710
      540.000000       0.394510
      540.200000       0.384930
      540.400000       0.375440
      540.600000       0.366800
      540.800000       0.359120
      541.000000       0.351620
      541.200000       0.343750
      541.400000       0.334920
      541.600000       0.324580
      541.800000       0.312720
      542.000000       0.300010
      542.200000       0.287390
      542.400000       0.275430
      542.600000       0.265000
      542.800000       0.256080
      543.000000       0.248300
      543.200000       0.241090
      543.400000       0.233780
      543.600000       0.226000
      543.800000       0.217560
      544.000000       0.208540
      544.200000       0.199250
      544.400000       0.189760
      544.600000       0.180270
      544.800000       0.171070
      545.000000       0.162150
      545.200000       0.153610
      545.400000       0.145730
      545.600000       0.138430
      545.800000       0.131790
      546.000000       0.125530
      546.200000       0.119450
      546.400000       0.113190
      546.600000       0.106640
      546.800000       0.099910
      547.000000       0.093270
      547.200000       0.087190
      547.400000       0.082070
      547.600000       0.078280
      547.800000       0.075710
      548.000000       0.073910
      548.200000       0.072300
      548.400000       0.070310
      548.600000       0.067460
      548.800000       0.063660
      549.000000       0.059390
      549.200000       0.054940
      549.400000       0.050860
      549.600000       0.047440
      549.800000       0.044780
      550.000000       0.042790
      550.200000       0.041180
      550.400000       0.039750
      550.600000       0.038240
      550.800000       0.036530
      551.000000       0.034820
      551.200000       0.033210
      551.400000       0.031690
      551.600000       0.030360
      551.800000       0.029320
      552.000000       0.028370
      552.200000       0.027510
      552.400000       0.026570
      552.600000       0.025430
      552.800000       0.024190
      553.000000       0.022870
      553.200000       0.021630
      553.400000       0.020490
      553.600000       0.019550
      553.800000       0.018980
      554.000000       0.018410
      554.200000       0.017930
      554.400000       0.017360
      554.600000       0.016600
      554.800000       0.015660
      555.000000       0.014610
      555.200000       0.013470
      555.400000       0.012430
      555.600000       0.011580
      555.800000       0.010910
      556.000000       0.010250
      556.200000       0.009770
      556.400000       0.009300
      556.600000       0.008730
      556.800000       0.008160
      557.000000       0.007590
      557.200000       0.006930
      557.400000       0.006360
      557.600000       0.005690
      557.800000       0.005120
      558.000000       0.004460
      558.200000       0.003890
      558.400000       0.003320
      558.600000       0.002660
      558.800000       0.002090
      559.000000       0.001520
      559.200000       0.000950
      559.400000       0.000280
