7  ,noaa_07_hirs_07.flt   shift of 1.2cm-1 applied
Number of data points:
59
Wavenumber (cm-1)   Filter response
      721.200000       0.000000
      721.460000       0.000000
      725.180000       0.004467
      728.850000       0.009258
      732.070000       0.013241
      733.450000       0.023264
      734.490000       0.034769
      735.700000       0.056432
      736.680000       0.086308
      737.580000       0.127910
      738.240000       0.170310
      739.340000       0.283590
      740.190000       0.413110
      740.760000       0.488700
      741.060000       0.560040
      741.640000       0.656960
      742.250000       0.743340
      742.710000       0.805780
      742.790000       0.838960
      743.270000       0.874590
      743.880000       0.913400
      744.320000       0.927250
      744.970000       0.933490
      745.310000       0.926270
      745.990000       0.919110
      746.590000       0.913630
      747.210000       0.904230
      747.770000       0.900460
      748.960000       0.911190
      750.160000       0.933960
      751.690000       0.967690
      752.850000       0.987560
      753.600000       0.999580
      754.230000       1.000000
      754.910000       0.991200
      755.090000       0.985990
      755.330000       0.982920
      755.540000       0.974200
      756.180000       0.951750
      756.960000       0.906470
      757.660000       0.850160
      758.350000       0.787310
      759.020000       0.700600
      759.600000       0.614150
      760.130000       0.545990
      761.070000       0.412220
      761.660000       0.341830
      762.350000       0.270740
      763.300000       0.190640
      764.180000       0.132860
      765.330000       0.086756
      766.020000       0.067528
      767.020000       0.048851
      768.200000       0.031833
      769.840000       0.018647
      773.790000       0.010791
      779.060000       0.006872
      782.220000       0.000976
      783.210000       0.000000
