2, Resampled Sentinel-3A SLSTR S2 unpolarised FPA response at 87 K created 2015-01-22T17:20:15Z
Number of data points:
1601
Wavenumber (cm-1)   Filter response
    14306.151645       0.000462
    14307.175048       0.000492
    14308.198598       0.000517
    14309.222294       0.000538
    14310.246136       0.000552
    14311.270125       0.000559
    14312.294261       0.000561
    14313.318543       0.000558
    14314.342972       0.000553
    14315.367547       0.000549
    14316.392269       0.000547
    14317.417138       0.000551
    14318.442154       0.000563
    14319.467316       0.000581
    14320.492625       0.000607
    14321.518081       0.000638
    14322.543684       0.000672
    14323.569434       0.000705
    14324.595330       0.000734
    14325.621374       0.000756
    14326.647564       0.000769
    14327.673902       0.000771
    14328.700387       0.000761
    14329.727019       0.000741
    14330.753798       0.000711
    14331.780724       0.000675
    14332.807797       0.000633
    14333.835018       0.000591
    14334.862385       0.000549
    14335.889900       0.000510
    14336.917563       0.000476
    14337.945372       0.000446
    14338.973330       0.000421
    14340.001434       0.000401
    14341.029686       0.000385
    14342.058085       0.000373
    14343.086632       0.000364
    14344.115327       0.000358
    14345.144169       0.000356
    14346.173158       0.000358
    14347.202296       0.000363
    14348.231580       0.000373
    14349.261013       0.000388
    14350.290593       0.000406
    14351.320321       0.000428
    14352.350197       0.000453
    14353.380221       0.000479
    14354.410393       0.000505
    14355.440712       0.000530
    14356.471179       0.000554
    14357.501795       0.000575
    14358.532558       0.000593
    14359.563469       0.000609
    14360.594529       0.000621
    14361.625736       0.000631
    14362.657092       0.000637
    14363.688595       0.000641
    14364.720247       0.000641
    14365.752047       0.000638
    14366.783995       0.000632
    14367.816092       0.000622
    14368.848337       0.000609
    14369.880730       0.000594
    14370.913271       0.000575
    14371.945961       0.000554
    14372.978800       0.000532
    14374.011787       0.000509
    14375.044922       0.000486
    14376.078206       0.000464
    14377.111638       0.000444
    14378.145219       0.000427
    14379.178949       0.000413
    14380.212827       0.000402
    14381.246854       0.000393
    14382.281030       0.000388
    14383.315354       0.000385
    14384.349827       0.000383
    14385.384449       0.000382
    14386.419220       0.000380
    14387.454140       0.000378
    14388.489209       0.000375
    14389.524426       0.000370
    14390.559793       0.000363
    14391.595308       0.000355
    14392.630973       0.000346
    14393.666787       0.000337
    14394.702749       0.000329
    14395.738861       0.000323
    14396.775122       0.000320
    14397.811533       0.000320
    14398.848092       0.000324
    14399.884801       0.000331
    14400.921659       0.000342
    14401.958666       0.000354
    14402.995823       0.000367
    14404.033129       0.000379
    14405.070585       0.000389
    14406.108190       0.000396
    14407.145944       0.000401
    14408.183848       0.000402
    14409.221902       0.000400
    14410.260105       0.000396
    14411.298458       0.000390
    14412.336960       0.000384
    14413.375613       0.000378
    14414.414414       0.000372
    14415.453366       0.000365
    14416.492467       0.000358
    14417.531719       0.000351
    14418.571120       0.000343
    14419.610671       0.000334
    14420.650371       0.000326
    14421.690222       0.000319
