173, band 12 module 3 CCD column 374 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13126.171000       0.000000
    13127.580000       0.000000
    13128.990000       0.000000
    13130.400000       0.000000
    13131.809000       0.000000
    13133.220000       0.000000
    13134.630000       0.000000
    13136.041000       0.000000
    13137.453000       0.000000
    13138.864000       0.000000
    13140.276000       0.000000
    13141.688000       0.000000
    13143.101000       0.000001
    13144.513000       0.000001
    13145.926000       0.000002
    13147.339000       0.000004
    13148.753000       0.000006
    13150.167000       0.000010
    13151.581000       0.000017
    13152.996000       0.000027
    13154.411000       0.000043
    13155.826000       0.000069
    13157.242000       0.000108
    13158.657000       0.000168
    13160.073000       0.000257
    13161.490000       0.000390
    13162.906000       0.000585
    13164.323000       0.000868
    13165.740000       0.001272
    13167.158000       0.001843
    13168.576000       0.002641
    13169.995000       0.003742
    13171.412000       0.005243
    13172.831000       0.007262
    13174.251000       0.009946
    13175.670000       0.013468
    13177.090000       0.018033
    13178.509000       0.023876
    13179.930000       0.031257
    13181.351000       0.040464
    13182.772000       0.051800
    13184.193000       0.065574
    13185.614000       0.082093
    13187.036000       0.101640
    13188.459000       0.124459
    13189.882000       0.150739
    13191.304000       0.180589
    13192.727000       0.214023
    13194.151000       0.250943
    13195.574000       0.291131
    13196.998000       0.334242
    13198.422000       0.379807
    13199.847000       0.427245
    13201.272000       0.475880
    13202.698000       0.524970
    13204.122000       0.573739
    13205.549000       0.621416
    13206.975000       0.667267
    13208.402000       0.710640
    13209.829000       0.750992
    13211.255000       0.787911
    13212.683000       0.821138
    13214.111000       0.850563
    13215.539000       0.876221
    13216.966000       0.898275
    13218.395000       0.916988
    13219.824000       0.932694
    13221.254000       0.945762
    13222.684000       0.956571
    13224.113000       0.965474
    13225.543000       0.972787
    13226.974000       0.978771
    13228.405000       0.983634
    13229.835000       0.987533
    13231.267000       0.990584
    13232.699000       0.992879
    13234.131000       0.994500
    13235.564000       0.995530
    13236.996000       0.996064
    13238.429000       0.996210
    13239.862000       0.996090
    13241.296000       0.995827
    13242.730000       0.995543
    13244.164000       0.995338
    13245.598000       0.995286
    13247.034000       0.995427
    13248.469000       0.995758
    13249.904000       0.996245
    13251.340000       0.996823
    13252.776000       0.997413
    13254.213000       0.997936
    13255.649000       0.998377
    13257.086000       0.998627
    13258.523000       0.998670
    13259.961000       0.998524
    13261.399000       0.998237
    13262.838000       0.997878
    13264.276000       0.997529
    13265.715000       0.997267
    13267.154000       0.997153
    13268.594000       0.997222
    13270.033000       0.997478
    13271.473000       0.997890
    13272.914000       0.998414
    13274.355000       0.998964
    13275.796000       0.999456
    13277.237000       0.999819
    13278.679000       1.000000
    13280.121000       0.999976
    13281.564000       0.999756
    13283.005000       0.999381
    13284.449000       0.998916
    13285.892000       0.998440
    13287.336000       0.998029
    13288.780000       0.997747
    13290.223000       0.997631
    13291.668000       0.997684
    13293.113000       0.997874
    13294.559000       0.998132
    13296.004000       0.998360
    13297.449000       0.998443
    13298.896000       0.998259
    13300.342000       0.997687
    13301.789000       0.996618
    13303.235000       0.994955
    13304.683000       0.992609
    13306.131000       0.989494
    13307.579000       0.985513
    13309.028000       0.980545
    13310.475000       0.974429
    13311.925000       0.966960
    13313.374000       0.957875
    13314.824000       0.946864
    13316.274000       0.933578
    13317.723000       0.917647
    13319.174000       0.898710
    13320.625000       0.876442
    13322.077000       0.850588
    13323.527000       0.820994
    13324.979000       0.787630
    13326.432000       0.750608
    13327.884000       0.710192
    13329.337000       0.666791
    13330.789000       0.620945
    13332.243000       0.573304
    13333.697000       0.524593
    13335.151000       0.475579
    13336.605000       0.427029
    13338.059000       0.379681
    13339.515000       0.334203
    13340.970000       0.291172
    13342.426000       0.251053
    13343.881000       0.214189
    13345.337000       0.180798
    13346.794000       0.150977
    13348.251000       0.124713
    13349.709000       0.101897
    13351.165000       0.082345
    13352.623000       0.065813
    13354.082000       0.052020
    13355.540000       0.040662
    13356.998000       0.031431
    13358.458000       0.024026
    13359.917000       0.018160
    13361.377000       0.013573
    13362.837000       0.010032
    13364.297000       0.007331
    13365.758000       0.005297
    13367.219000       0.003785
    13368.681000       0.002674
    13370.141000       0.001868
    13371.604000       0.001290
    13373.066000       0.000881
    13374.529000       0.000595
    13375.992000       0.000397
    13377.455000       0.000262
    13378.918000       0.000171
    13380.382000       0.000110
    13381.847000       0.000070
    13383.312000       0.000044
    13384.776000       0.000028
    13386.241000       0.000017
    13387.707000       0.000010
    13389.173000       0.000006
    13390.638000       0.000004
    13392.105000       0.000002
    13393.572000       0.000001
    13395.039000       0.000001
    13396.507000       0.000000
    13397.974000       0.000000
    13399.442000       0.000000
    13400.910000       0.000000
    13402.379000       0.000000
    13403.849000       0.000000
    13405.317000       0.000000
    13406.787000       0.000000
    13408.257000       0.000000
    13409.728000       0.000000
    13411.198000       0.000000
    13412.669000       0.000000
