7, Resampled Sentinel-3B SLSTR S7 unpolarised FPA response at 87 K created 2017-02-07T12:16:13Z
Number of data points:
1301
Wavenumber (cm-1)   Filter response
     2272.727273       0.000000
     2273.243919       0.000000
     2273.760800       0.000000
     2274.277917       0.000000
     2274.795268       0.000000
     2275.312856       0.000000
     2275.830678       0.000000
     2276.348737       0.000000
     2276.867031       0.000000
     2277.385561       0.000000
     2277.904328       0.000000
     2278.423331       0.000000
     2278.942571       0.000000
     2279.462047       0.000000
     2279.981760       0.000135
     2280.501710       0.000237
     2281.021898       0.000248
     2281.542323       0.000143
     2282.062985       0.000000
     2282.583885       0.000000
     2283.105023       0.000000
     2283.626399       0.000000
     2284.148013       0.000000
     2284.669865       0.000000
     2285.191956       0.000000
     2285.714286       0.000000
     2286.236854       0.000000
     2286.759662       0.000000
     2287.282708       0.000000
     2287.805994       0.000000
     2288.329519       0.000000
     2288.853284       0.000000
     2289.377289       0.000000
     2289.901534       0.000000
     2290.426019       0.000000
     2290.950745       0.000000
     2291.475710       0.000000
     2292.000917       0.000000
     2292.526364       0.000000
     2293.052052       0.000000
     2293.577982       0.000000
     2294.104152       0.000000
     2294.630564       0.000000
     2295.157218       0.000000
     2295.684114       0.000192
     2296.211251       0.000461
     2296.738631       0.000665
     2297.266253       0.000739
     2297.794118       0.000656
     2298.322225       0.000440
     2298.850575       0.000151
     2299.379168       0.000000
     2299.908004       0.000000
     2300.437083       0.000000
     2300.966406       0.000000
     2301.495972       0.000000
     2302.025783       0.000000
     2302.555837       0.000000
     2303.086135       0.000000
     2303.616678       0.000000
     2304.147465       0.000000
     2304.678497       0.000000
     2305.209774       0.000000
     2305.741296       0.000000
     2306.273063       0.000000
     2306.805075       0.000000
     2307.337333       0.000000
     2307.869836       0.000000
     2308.402585       0.000000
     2308.935581       0.000000
     2309.468822       0.000000
     2310.002310       0.000000
     2310.536044       0.000000
     2311.070025       0.000000
     2311.604253       0.000000
     2312.138728       0.000000
     2312.673451       0.000000
     2313.208420       0.000000
     2313.743637       0.000000
     2314.279102       0.000000
     2314.814815       0.000010
     2315.350776       0.000000
     2315.886985       0.000000
     2316.423442       0.000000
     2316.960148       0.000000
     2317.497103       0.000000
     2318.034307       0.000000
     2318.571760       0.000000
     2319.109462       0.000000
     2319.647414       0.000000
     2320.185615       0.000000
     2320.724066       0.000000
     2321.262767       0.000000
     2321.801718       0.000000
     2322.340920       0.000000
     2322.880372       0.000000
     2323.420074       0.000000
     2323.960028       0.000109
     2324.500232       0.000193
     2325.040688       0.000246
     2325.581395       0.000298
     2326.122354       0.000386
     2326.663564       0.000518
     2327.205027       0.000657
     2327.746741       0.000729
     2328.288708       0.000678
     2328.830927       0.000503
     2329.373399       0.000271
     2329.916123       0.000082
     2330.459100       0.000012
     2331.002331       0.000073
     2331.545815       0.000214
     2332.089552       0.000359
     2332.633543       0.000453
     2333.177788       0.000483
     2333.722287       0.000476
     2334.267040       0.000473
     2334.812048       0.000510
     2335.357310       0.000596
     2335.902826       0.000711
     2336.448598       0.000800
     2336.994625       0.000809
     2337.540907       0.000717
     2338.087444       0.000562
     2338.634238       0.000416
     2339.181287       0.000340
     2339.728591       0.000353
     2340.276153       0.000443
     2340.823970       0.000582
     2341.372044       0.000746
     2341.920375       0.000901
     2342.468962       0.001003
     2343.017807       0.001012
     2343.566909       0.000914
     2344.116268       0.000740
     2344.665885       0.000558
